Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 57 yards, returned by Rashied Davis for 21 yards (tackle by T.J. Slaughter)",0.000,1.200
1,14:55,1,10,CHI 34,0,0,Thomas Jones left guard for 9 yards (tackle by Derek Smith and Manny Lawson),1.200,1.870
1,14:17,2,1,CHI 43,0,0,Rex Grossman pass complete short right to Thomas Jones for 7 yards (tackle by Manny Lawson),1.870,2.260
1,13:57,1,10,CHI 50,0,0,Thomas Jones left guard for 9 yards (tackle by Jeff Ulbrich),2.260,2.930
1,13:23,2,1,SFO 41,0,0,Rex Grossman pass complete short left to Bernard Berrian for 9 yards (tackle by Walt Harris),2.930,3.450
1,13:01,1,10,SFO 32,0,0,Thomas Jones right guard for 7 yards (tackle by Walt Harris and Mike Adams),3.450,3.850
1,12:22,2,3,SFO 25,0,0,Rex Grossman pass incomplete short right intended for Bernard Berrian,3.850,3.140
1,12:14,3,3,SFO 25,0,0,Rex Grossman pass incomplete short left intended for Desmond Clark,3.140,1.900
1,12:10,4,3,SFO 25,0,3,Robbie Gould 43 yard field goal good,1.900,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 72 yards, returned by Maurice Hicks for 17 yards (tackle by Brendon Ayanbadejo). Maurice Hicks fumbles (forced by Brendon Ayanbadejo), recovered by Cameron Worrell at SFO-15",0.000,-4.580
1,11:57,1,10,SFO 15,0,3,Thomas Jones left end for 8 yards (tackle by Mark Roman),4.580,5.410
1,11:20,2,2,SFO 7,0,3,Thomas Jones right tackle for no gain (tackle by Bryant Young),5.410,4.680
1,10:46,,,,0,3,Timeout #1 by San Francisco 49ers,0.000,4.680
1,10:46,3,2,SFO 7,0,9,"Thomas Jones right tackle for 7 yards, touchdown",4.680,7.000
1,,,,SFO 2,0,10,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,10,"Robbie Gould kicks off 62 yards, returned by Maurice Hicks for 21 yards (tackle by Adrian Peterson)",0.000,0.870
1,10:34,1,10,SFO 29,0,10,Frank Gore right tackle for 6 yards (tackle by Todd Johnson),0.870,1.140
1,9:56,2,4,SFO 35,0,10,Arnaz Battle left end for -3 yards (tackle by Charles Tillman),1.140,0.040
1,9:12,3,7,SFO 32,0,10,Alex Smith pass complete short right to Eric Johnson for 3 yards (tackle by Ricky Manning),0.040,-1.040
1,8:34,4,4,SFO 35,0,10,"Andy Lee punts 39 yards, fair catch by Devin Hester",-1.040,-0.670
1,8:27,1,10,CHI 26,0,10,Rex Grossman pass complete deep right to Muhsin Muhammad for 19 yards (tackle by Mike Adams). Penalty on Derek Smith: Illegal Contact (Declined),0.670,1.930
1,8:05,1,10,CHI 45,0,10,Thomas Jones right guard for 6 yards (tackle by Marques Douglas),1.930,2.190
1,7:31,2,4,SFO 49,0,10,Thomas Jones right tackle for -1 yards (tackle by Shawntae Spencer and Bryant Young),2.190,1.360
1,6:52,3,5,CHI 50,0,10,Rex Grossman pass complete short left to Bernard Berrian for 3 yards (tackle by Keith Lewis),1.360,0.130
1,6:16,4,2,SFO 47,0,10,"Brad Maynard punts 47 yards, touchback",0.130,-0.280
1,6:07,1,10,SFO 20,0,10,Frank Gore left tackle for 18 yards (tackle by Tank Johnson),0.280,1.470
1,5:32,1,10,SFO 38,0,10,Frank Gore right guard for 2 yards (tackle by Alex Brown),1.470,1.190
1,4:51,2,8,SFO 40,0,10,Alex Smith pass incomplete is intercepted by Brian Urlacher at SFO-41,1.190,-2.850
1,4:45,1,10,SFO 41,0,10,"Rex Grossman pass complete short left to Bernard Berrian for 13 yards (tackle by Walt Harris). Bernard Berrian fumbles (forced by Walt Harris), ball out of bounds at SFO-28",2.850,3.710
1,4:30,1,10,SFO 28,0,10,Cedric Benson right tackle for 1 yard (tackle by Shawntae Spencer),3.710,3.300
1,3:54,2,9,SFO 27,0,10,Rex Grossman pass complete deep left to Desmond Clark for 17 yards (tackle by Mike Adams),3.300,4.910
1,3:27,1,10,SFO 10,0,10,Cedric Benson right tackle for 2 yards (tackle by Melvin Oliver),4.910,4.570
1,2:47,2,8,SFO 8,0,10,Rex Grossman pass complete short right to Jason McKie for 3 yards (tackle by Jeff Ulbrich),4.570,4.260
1,2:01,3,5,SFO 5,0,16,"Rex Grossman pass complete short middle to Muhsin Muhammad for 5 yards, touchdown",4.260,7.000
1,,,,SFO 2,0,17,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,17,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,1:55,1,10,SFO 20,0,17,"Alex Smith for 3 yards (tackle by Lance Briggs). Alex Smith fumbles (forced by Lance Briggs), recovered by Tommie Harris at SFO-30 (tackle by Eric Heitmann)",0.280,-4.710
1,1:42,1,10,SFO 13,0,17,Rex Grossman pass complete short middle to Desmond Clark for 12 yards (tackle by Jeff Ulbrich),4.710,6.970
1,1:06,1,1,SFO 1,0,23,"Cedric Benson left guard for 1 yard, touchdown",6.970,7.000
1,,,,SFO 2,0,24,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,24,"Robbie Gould kicks off 66 yards, returned by Maurice Hicks for 23 yards (tackle by Brendon Ayanbadejo)",0.000,0.740
1,0:54,1,10,SFO 27,0,24,Frank Gore right tackle for 1 yard (tackle by Lance Briggs),0.740,0.330
1,0:17,2,9,SFO 28,0,24,Frank Gore right guard for 5 yards (tackle by Lance Briggs),0.330,0.300
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,SFO 33,0,24,Alex Smith sacked by Adewale Ogunleye for -6 yards,0.300,-1.570
2,14:40,4,10,SFO 27,0,24,"Andy Lee punts 39 yards, returned by Devin Hester for 42 yards (tackle by Andy Lee)",-1.570,-3.970
2,14:27,1,10,SFO 24,0,24,Thomas Jones left tackle for 4 yards (tackle by Derek Smith and Jeff Ulbrich),3.970,3.970
2,13:48,2,6,SFO 20,0,24,Thomas Jones left guard for 4 yards (tackle by Bryant Young),3.970,3.950
2,13:08,3,2,SFO 16,0,24,Rex Grossman pass complete short right to Desmond Clark for 12 yards (tackle by Walt Harris),3.950,6.280
2,12:25,1,4,SFO 4,0,24,"Thomas Jones right end for 2 yards (tackle by Mark Roman). Penalty on John Gilmore: Offensive Holding, 9 yards (no play)",6.280,4.530
2,12:00,1,13,SFO 13,0,24,Thomas Jones right guard for 6 yards (tackle by Keith Lewis),4.530,4.760
