Quarter,Time,Tm,Detail,CHI,PIT
1.0,8:02,Bears,Robbie Gould 47 yard field goal,3,0
,5:05,Bears,Matt Forte 5 yard rush (Robbie Gould kick),10,0
,2:01,Bears,Michael Bush 1 yard rush (Robbie Gould kick),17,0
2.0,13:36,Steelers,Shaun Suisham 27 yard field goal,17,3
,8:57,Bears,Major Wright 38 yard interception return (Robbie Gould kick),24,3
,6:27,Steelers,Antonio Brown 33 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,10
3.0,10:54,Bears,Robbie Gould 32 yard field goal,27,10
,5:38,Steelers,Shaun Suisham 36 yard field goal,27,13
,1:50,Steelers,Antonio Brown 21 yard pass from Ben Roethlisberger (Shaun Suisham kick),27,20
4.0,10:38,Steelers,Shaun Suisham 44 yard field goal,27,23
,5:48,Bears,Earl Bennett 17 yard pass from Jay Cutler (Robbie Gould kick),34,23
,3:57,Bears,Julius Peppers 42 yard defensive fumble return (Robbie Gould kick failed),40,23
