Quarter,Time,Down,ToGo,Location,DAL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 56 yards, returned by Marion Barber for 18 yards (tackle by Bhawoh Jue)",0.000,1.070
1,14:55,1,10,DAL 32,0,0,Julius Jones right end for 12 yards (tackle by Terrence Kiel),1.070,1.860
1,14:10,1,10,DAL 44,0,0,Drew Bledsoe pass complete to Julius Jones for 2 yards (tackle by Quentin Jammer and Ben Leber),1.860,1.590
1,13:26,2,8,DAL 46,0,0,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,1.590,0.890
1,13:21,3,8,DAL 46,0,0,Drew Bledsoe pass complete to Julius Jones for 14 yards (tackle by Shaun Phillips),0.890,2.920
1,12:50,1,10,SDG 40,0,0,Julius Jones right guard for no gain (tackle by Ben Leber and Donnie Edwards),2.920,2.370
1,12:06,2,10,SDG 40,0,0,"Drew Bledsoe for no gain. Drew Bledsoe fumbles, recovered by Ben Leber at SDG-33 (tackle by Terry Glenn)",2.370,-1.140
1,12:01,1,10,SDG 33,0,0,Drew Brees pass complete to Eric Parker for 8 yards (tackle by Anthony Henry),1.140,1.670
1,11:36,2,2,SDG 41,0,0,LaDainian Tomlinson left end for 4 yards (tackle by Anthony Henry),1.670,1.930
1,11:09,1,10,SDG 45,0,0,Drew Brees pass complete to Keenan McCardell for 9 yards (tackle by Bradie James),1.930,2.600
1,10:32,2,1,DAL 46,0,0,Lorenzo Neal left guard for 4 yards (tackle by Dat Nguyen and Anthony Henry),2.600,2.790
1,9:50,1,10,DAL 42,0,0,LaDainian Tomlinson right tackle for 5 yards (tackle by Dat Nguyen),2.790,2.920
1,9:11,2,5,DAL 37,0,0,Drew Brees pass complete to Eric Parker for 18 yards (tackle by Roy Williams and Keith Davis),2.920,4.310
1,8:29,1,10,DAL 19,0,0,LaDainian Tomlinson left tackle for 4 yards (tackle by Kenyon Coleman),4.310,4.350
1,7:49,2,6,DAL 15,0,0,Drew Brees pass incomplete intended for Keenan McCardell,4.350,3.580
1,7:45,3,6,DAL 15,0,0,LaDainian Tomlinson left end for 7 yards (tackle by Terence Newman),3.580,5.370
1,7:26,1,8,DAL 8,0,0,LaDainian Tomlinson left end for 6 yards (tackle by Anthony Henry),5.370,5.720
1,6:58,2,2,DAL 2,0,6,"LaDainian Tomlinson left tackle for 2 yards, touchdown",5.720,7.000
1,,,,DAL 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 71 yards, returned by Marion Barber for 19 yards (tackle by Kassim Osgood)",0.000,0.040
1,6:49,1,10,DAL 18,0,7,Drew Bledsoe up the middle for 9 yards (tackle by Randall Godfrey),0.040,0.820
1,6:15,2,1,DAL 27,0,7,"Julius Jones left tackle for 1 yard (tackle by Bhawoh Jue). Penalty on Lousaka Polite: Offensive Holding, 10 yards",0.820,-0.490
1,5:48,2,10,DAL 18,0,7,"Julius Jones up the middle for no gain (tackle by Donnie Edwards). Penalty on Rob Petitti: False Start, 5 yards (no play)",-0.490,-1.140
1,5:24,2,15,DAL 13,0,7,"Penalty on Jason Witten: False Start, 5 yards (no play)",-1.140,-1.510
1,5:04,2,20,DAL 8,0,7,Drew Bledsoe sacked by Steve Foley for -7 yards. Penalty on Flozell Adams: Offensive Holding (Declined),-1.510,-3.410
1,4:45,3,27,DAL 1,0,7,Julius Jones up the middle for 25 yards (tackle by Drayton Florence and Terrence Kiel). Penalty on Al Johnson: Offensive Holding (no play),-3.410,-3.410
1,4:20,3,27,DAL 1,0,7,Drew Bledsoe pass complete to Keyshawn Johnson for 7 yards (tackle by Drayton Florence),-3.410,-2.490
1,4:11,4,20,DAL 8,0,7,Mat McBriar punts 42 yards,-2.490,-2.260
1,4:00,1,10,SDG 50,0,7,Drew Brees pass incomplete intended for LaDainian Tomlinson,2.260,1.710
1,3:56,2,10,SDG 50,0,7,Drew Brees pass incomplete intended for Keenan McCardell (defended by Terence Newman),1.710,1.030
1,3:50,3,10,SDG 50,0,7,Drew Brees sacked by Roy Williams and Greg Ellis for -13 yards,1.030,-0.910
1,3:14,4,23,SDG 37,0,7,"Mike Scifres punts 45 yards, returned by Patrick Crayton for 2 yards (tackle by Matt Wilhelm)",-0.910,-0.280
1,3:10,1,10,DAL 20,0,7,Julius Jones left tackle for no gain (tackle by Randall Godfrey and Steve Foley),0.280,-0.270
1,2:25,2,10,DAL 20,0,7,Julius Jones right end for 1 yard (tackle by Donnie Edwards and Randall Godfrey),-0.270,-0.820
1,1:43,3,9,DAL 21,0,7,"Drew Bledsoe pass complete to Patrick Crayton for 32 yards (tackle by Terrence Kiel). Patrick Crayton fumbles (forced by Terrence Kiel), recovered by Patrick Crayton at SDG-47",-0.820,2.460
1,1:00,1,10,SDG 47,0,7,Julius Jones right tackle for 4 yards (tackle by Randall Godfrey),2.460,2.450
1,0:18,2,6,SDG 43,0,7,Julius Jones left end for 12 yards (tackle by Donnie Edwards),2.450,3.510
Quarter,Time,Down,ToGo,Location,DAL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 31,0,7,Drew Bledsoe pass complete to Terry Glenn for 14 yards (tackle by Steve Foley and Bhawoh Jue),3.510,4.440
2,14:22,1,10,SDG 17,0,7,Julius Jones up the middle for 2 yards (tackle by Randall Godfrey),4.440,4.150
2,13:46,2,8,SDG 15,0,7,Drew Bledsoe pass incomplete intended for Julius Jones,4.150,3.340
2,13:46,3,8,SDG 15,0,7,"Penalty on Drew Bledsoe: Delay of Game, 5 yards (no play)",3.340,2.810
2,13:41,3,13,SDG 20,6,7,"Drew Bledsoe pass complete to Patrick Crayton for 20 yards, touchdown",2.810,7.000
2,,,,SDG 2,7,7,Jose Cortez kicks extra point good,0.000,0.000
2,,,,DAL 30,7,7,"Jose Cortez kicks off 62 yards, returned by Eric Parker for 16 yards (tackle by Lousaka Polite)",0.000,0.540
2,13:29,1,10,SDG 24,7,7,Drew Brees pass incomplete intended for Eric Parker (defended by Terence Newman),0.540,0.000
2,13:25,2,10,SDG 24,7,7,LaDainian Tomlinson up the middle for -1 yards (tackle by DeMarcus Ware),0.000,-0.820
2,12:42,3,11,SDG 23,7,7,Drew Brees pass incomplete intended for Reche Caldwell is intercepted by Anthony Henry at SDG-35 and returned for 1 yard,-0.820,-3.310
2,12:33,1,10,SDG 34,7,7,Anthony Thomas right tackle for 1 yard (tackle by Igor Olshansky),3.310,2.910
2,11:56,2,9,SDG 33,7,7,Anthony Thomas up the middle for 5 yards (tackle by Randall Godfrey and Donnie Edwards),2.910,2.870
2,11:18,3,4,SDG 28,7,7,Drew Bledsoe pass complete to Jason Witten for 12 yards (tackle by Terrence Kiel),2.870,4.510
2,10:32,1,10,SDG 16,7,7,Anthony Thomas left end for 3 yards (tackle by Donnie Edwards and Drayton Florence),4.510,4.390
