Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nate Kaeding kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete deep middle to Julio Jones for 19 yards (tackle by Eric Weddle),0.280,1.530
1,14:18,1,10,ATL 39,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 9 yards (tackle by Atari Bigby and Jarret Johnson),1.530,2.200
1,13:41,2,1,ATL 48,0,0,Michael Turner up the middle for 3 yards (tackle by Takeo Spikes and Vaughn Martin),2.200,2.320
1,13:03,1,10,SDG 49,0,0,Matt Ryan pass complete short right to Michael Palmer for 1 yard (tackle by Takeo Spikes),2.320,1.920
1,12:25,2,9,SDG 48,0,0,Matt Ryan pass complete short right to Jacquizz Rodgers for 11 yards (tackle by Vaughn Martin and Atari Bigby),1.920,3.120
1,11:41,1,10,SDG 37,0,0,Jacquizz Rodgers up the middle for 2 yards (tackle by Aubrayo Franklin),3.120,2.840
1,10:58,2,8,SDG 35,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 13 yards (tackle by Donald Butler and Atari Bigby),2.840,4.110
1,10:21,1,10,SDG 22,0,0,Matt Ryan pass complete short left to Roddy White for 14 yards (tackle by Antoine Cason),4.110,5.370
1,9:56,1,8,SDG 8,0,0,Matt Ryan pass incomplete,5.370,4.570
1,9:49,2,8,SDG 8,6,0,"Matt Ryan pass complete short middle to Jacquizz Rodgers for 8 yards, touchdown",4.570,7.000
1,9:49,,,,6,0,"Two Point Attempt: Matt Bosher right end, conversion fails",0.000,-1.000
1,9:43,,,ATL 35,6,0,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,9:43,1,10,SDG 20,6,0,Ryan Mathews up the middle for 3 yards (tackle by Stephen Nicholas and Akeem Dent),0.280,0.140
1,9:04,2,7,SDG 23,6,0,Philip Rivers pass complete short right to Ryan Mathews for 10 yards (tackle by William Moore),0.140,1.140
1,8:29,1,10,SDG 33,6,0,Philip Rivers pass incomplete short right intended for Ryan Mathews,1.140,0.590
1,8:25,2,10,SDG 33,6,0,Philip Rivers pass complete short left to Robert Meachem for 4 yards (tackle by Stephen Nicholas),0.590,0.430
1,7:38,3,6,SDG 37,6,0,Philip Rivers pass complete short left to Eddie Royal for 3 yards (tackle by Thomas DeCoud),0.430,-0.720
1,7:08,4,3,SDG 40,6,0,"Mike Scifres punts 49 yards, returned by Dominique Franks for 12 yards (tackle by Marcus Gilchrist)",-0.720,-0.480
1,6:56,1,10,ATL 23,6,0,Matt Ryan pass complete short right to Michael Turner for 1 yard (tackle by Donald Butler),0.480,0.070
1,6:19,2,9,ATL 24,6,0,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Quentin Jammer and Eric Weddle),0.070,0.040
1,5:50,3,4,ATL 29,6,0,"Matt Ryan pass complete short middle to Roddy White for 9 yards (tackle by Demorrio Williams and Atari Bigby). Penalty on Jason Snelling: Illegal Formation, 5 yards (no play)",0.040,-0.630
1,5:26,3,9,ATL 24,6,0,Matt Ryan pass incomplete deep left intended for Roddy White,-0.630,-1.770
1,5:20,4,9,ATL 24,6,0,"Matt Bosher punts 51 yards, returned by Eddie Royal for 3 yards (tackle by Kroy Biermann)",-1.770,-0.810
1,5:06,1,10,SDG 28,6,0,Philip Rivers pass incomplete short left intended for Malcom Floyd,0.810,0.260
1,5:02,2,10,SDG 28,6,0,Philip Rivers pass incomplete short middle intended for Malcom Floyd,0.260,-0.430
1,4:57,3,10,SDG 28,6,0,Philip Rivers pass incomplete deep left intended for Malcom Floyd,-0.430,-1.500
1,4:50,4,10,SDG 28,6,0,"Mike Scifres punts 64 yards, returned by Dominique Franks for 22 yards (tackle by Corey Lynch)",-1.500,-0.940
1,4:37,1,10,ATL 30,6,0,Michael Turner left guard for 1 yard (tackle by Vaughn Martin and Donald Butler),0.940,0.530
1,4:03,2,9,ATL 31,6,0,"Matt Ryan pass incomplete short left intended for Roddy White. Penalty on Antoine Cason: Defensive Holding, 5 yards (no play)",0.530,1.330
1,3:58,1,10,ATL 36,6,0,Matt Ryan pass incomplete short middle intended for Tommy Gallarda,1.330,0.790
1,3:54,2,10,ATL 36,6,0,Michael Turner left tackle for 6 yards (tackle by Atari Bigby),0.790,0.890
1,3:13,3,4,ATL 42,6,0,Matt Ryan pass complete short right to Tony Gonzalez for 8 yards (tackle by Donald Butler and Demorrio Williams),0.890,2.260
1,2:35,1,10,,6,0,Jacquizz Rodgers right tackle for 9 yards (tackle by Atari Bigby and Takeo Spikes),2.260,2.930
1,1:56,2,1,SDG 41,6,0,"Matt Ryan pass complete deep right to Roddy White for 41 yards. Penalty on Roddy White: Offensive Pass Interference, 10 yards (no play)",2.930,1.580
1,1:46,2,11,ATL 49,6,0,Michael Turner up the middle for -1 yards (tackle by Donald Butler and Antwan Barnes),1.580,0.760
1,1:10,3,12,ATL 48,6,0,Matt Ryan pass complete short left to Jacquizz Rodgers for 6 yards (tackle by Atari Bigby and Marcus Gilchrist),0.760,0.200
1,0:29,4,6,SDG 46,6,0,"Matt Bosher punts 34 yards, fair catch by Micheal Spurlock",0.200,0.350
1,0:21,1,10,SDG 12,6,0,Ryan Mathews right end for 7 yards (tackle by Thomas DeCoud),-0.350,0.100
Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,SDG 19,6,0,Ryan Mathews up the middle for 5 yards (tackle by Sean Weatherspoon),0.100,0.540
2,14:21,1,10,SDG 24,6,0,Philip Rivers pass complete deep middle to Malcom Floyd for 16 yards (tackle by Dunta Robinson),0.540,1.600
2,13:38,1,10,SDG 40,6,0,Philip Rivers pass complete short right to Robert Meachem for 14 yards (tackle by Asante Samuel),1.600,2.520
2,13:17,1,10,ATL 46,6,0,Ryan Mathews left end for 1 yard (tackle by John Abraham and Akeem Dent),2.520,2.110
2,12:31,2,9,ATL 45,6,0,Philip Rivers pass complete deep left to Malcom Floyd for 28 yards (tackle by Dunta Robinson),2.110,4.440
2,12:06,1,10,ATL 17,6,0,Ryan Mathews up the middle for 3 yards (tackle by Akeem Dent and Ray Edwards),4.440,4.320
