Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,--,0.000,-3.580
1,14:56,1,10,CAR 30,0,0,Eddie George left guard for 5 yards (tackle by Dan Morgan),3.580,3.710
1,14:20,2,5,CAR 25,0,0,Steve McNair pass complete to Drew Bennett for 21 yards (tackle by Ricky Manning),3.710,6.280
1,13:47,1,4,CAR 4,0,0,Eddie George up the middle for -3 yards (tackle by Kris Jenkins),6.280,4.760
1,13:02,2,7,CAR 7,0,0,Steve McNair pass incomplete intended for Justin McCareins,4.760,3.810
1,12:57,3,7,CAR 7,6,0,"Steve McNair left end for 7 yards, touchdown",3.810,7.000
1,,,,CAR 2,7,0,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Craig Hentrich kicks off 70 yards, touchback",0.000,0.280
1,12:49,1,10,CAR 20,7,0,Stephen Davis left guard for 3 yards (tackle by Keith Bulluck),0.280,0.140
1,12:12,2,7,CAR 23,7,0,Jake Delhomme pass incomplete intended for Muhsin Muhammad (defended by Keith Bulluck),0.140,-0.560
1,12:07,3,7,CAR 23,7,0,Jake Delhomme pass complete to Steve Smith for 4 yards (tackle by Andre Dyson),-0.560,-1.570
1,11:26,4,3,CAR 27,7,0,"Todd Sauerbrun punts 48 yards, returned by Justin McCareins for 4 yards (tackle by Karl Hankton)",-1.570,-0.870
1,11:13,1,10,TEN 29,7,0,Eddie George right end for 5 yards (tackle by Mike Minter),0.870,1.000
1,10:34,2,5,TEN 34,7,0,Steve McNair pass incomplete (defended by Brentson Buckner),1.000,0.300
1,10:30,3,5,TEN 34,7,0,Steve McNair pass complete to Erron Kinney for 8 yards (tackle by Will Witherspoon),0.300,1.730
1,9:51,1,10,TEN 42,7,0,Eddie George right end for 7 yards (tackle by Greg Favors),1.730,2.130
1,9:07,2,3,TEN 49,7,0,Robert Holcombe up the middle for 1 yard (tackle by Lester Towns),2.130,1.550
1,8:24,3,2,CAR 50,7,0,Steve McNair pass incomplete intended for Justin McCareins,1.550,-0.060
