Quarter,Time,Down,ToGo,Location,STL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 70 yards, returned by Travis Minor for 27 yards (tackle by Jeff Ulbrich)",0.000,0.740
1,14:55,1,10,STL 27,0,0,Marc Bulger pass complete short right to Donnie Avery for 2 yards (tackle by Michael Lewis),0.740,0.470
1,14:16,2,8,STL 29,0,0,Antonio Pittman right tackle for 24 yards (tackle by Michael Lewis),0.470,2.460
1,13:48,1,10,SFO 47,0,0,Marc Bulger pass complete short left to Keenan Burton for 6 yards (tackle by Donald Strickland),2.460,2.720
1,13:12,2,4,SFO 41,0,0,Marc Bulger pass incomplete deep right intended for Torry Holt,2.720,2.010
1,13:07,3,4,SFO 41,0,0,Marc Bulger pass complete short right to Joe Klopfenstein for 5 yards (tackle by Mark Roman),2.010,3.180
1,12:30,1,10,SFO 36,0,0,Antonio Pittman right tackle for 2 yards (tackle by Michael Lewis and Justin Smith),3.180,2.910
1,11:51,2,8,SFO 34,0,0,Marc Bulger pass incomplete deep middle intended for Donnie Avery (defended by Walt Harris),2.910,2.210
1,11:44,3,8,SFO 34,0,0,Marc Bulger pass complete short right to Kenneth Darby for 4 yards (tackle by Nate Clements),2.210,1.460
1,11:05,4,4,SFO 30,0,0,Josh Brown 48 yard field goal no good,1.460,-1.470
1,10:59,1,10,SFO 38,0,0,Frank Gore up the middle for 4 yards (tackle by Pisa Tinoisamoa),1.470,1.460
1,10:26,2,6,SFO 42,0,0,"Frank Gore up the middle for 37 yards (tackle by O.J. Atogwe). Frank Gore fumbles (forced by O.J. Atogwe), recovered by Jason Craft at STL-13",1.460,0.320
1,10:15,1,10,STL 13,0,0,Antonio Pittman left tackle for 6 yards (tackle by Takeo Spikes),-0.320,0.030
1,9:39,2,4,STL 19,0,0,Antonio Pittman left end for 3 yards (tackle by Donald Strickland),0.030,-0.350
1,8:59,3,1,STL 22,0,0,Marc Bulger pass complete short left to Kenneth Darby for no gain,-0.350,-1.900
1,8:42,4,1,STL 22,0,0,"Donnie Jones punts 41 yards, returned by Allen Rossum for 29 yards (tackle by Todd Johnson)",-1.900,-3.310
1,8:31,1,10,STL 34,0,0,Shaun Hill pass complete short middle to Bryant Johnson for 9 yards (tackle by Fakhir Brown),3.310,3.990
1,7:51,2,1,STL 25,0,0,Frank Gore right end for 2 yards (tackle by Jason Craft and Pisa Tinoisamoa),3.990,4.040
1,7:25,1,10,STL 23,0,0,"Shaun Hill pass incomplete deep middle intended for Isaac Bruce. Penalty on Jason Craft: Defensive Pass Interference, 17 yards (no play)",4.040,5.830
