Quarter,Time,Down,ToGo,Location,GNB,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Graham Gano kicks off 69 yards, returned by Patrick Lee for 7 yards (tackle by Fred Davis)",0.000,-0.380
1,14:54,1,10,GNB 8,0,0,Aaron Rodgers pass complete short right to Greg Jennings for 8 yards (tackle by DeAngelo Hall),-0.380,-0.090
1,14:18,2,2,GNB 16,0,0,"Aaron Rodgers pass complete short left to Donald Lee for 17 yards (tackle by LaRon Landry). Donald Lee fumbles (forced by LaRon Landry), recovered by Kareem Moore at GNB-34 and returned for 13 yards (tackle by Bryan Bulaga)",-0.090,-4.170
1,14:04,1,10,GNB 21,0,0,Ryan Torain right end for no gain (tackle by Charles Woodson),4.170,3.630
1,13:27,2,10,GNB 21,0,0,Ryan Torain middle for -1 yards (tackle by B.J. Raji),3.630,2.810
1,12:46,3,11,GNB 22,0,0,"Donovan McNabb for no gain. Donovan McNabb fumbles, recovered by Donovan McNabb at GNB-41",2.810,0.330
1,12:23,4,33,GNB 44,0,0,Hunter Smith punts 34 yards,0.330,0.380
1,12:17,1,10,GNB 10,0,0,Brandon Jackson left guard for 71 yards (tackle by DeAngelo Hall and LaRon Landry),-0.380,4.310
1,11:45,1,10,WAS 19,0,0,Aaron Rodgers pass complete short right to James Jones for 9 yards (tackle by DeAngelo Hall and London Fletcher),4.310,5.360
1,11:07,2,1,WAS 10,0,0,John Kuhn right tackle for 5 yards (tackle by Kedric Golston),5.360,6.060
1,10:27,1,5,WAS 5,0,0,Aaron Rodgers pass complete short middle to John Kuhn for 4 yards (tackle by Rocky McIntosh),6.060,5.910
1,9:45,2,1,WAS 1,0,0,Brandon Jackson right end for -4 yards (tackle by Phillip Daniels),5.910,4.260
1,9:04,3,5,WAS 5,6,0,"Aaron Rodgers pass complete short middle to Donald Lee for 5 yards, touchdown",4.260,7.000
1,,,,WAS 2,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 30,7,0,"Mason Crosby kicks off 69 yards, returned by Chad Simpson for 27 yards (tackle by Brandon Underwood)",0.000,0.810
1,8:50,1,10,WAS 28,7,0,Donovan McNabb pass incomplete deep left intended for Anthony Armstrong,0.810,0.260
1,8:44,2,10,WAS 28,7,0,Donovan McNabb pass complete short middle to Ryan Torain for 11 yards (tackle by A.J. Hawk and Nick Collins),0.260,1.530
1,8:01,1,10,WAS 39,7,0,Ryan Torain right end for 8 yards (tackle by Charlie Peprah and Desmond Bishop),1.530,2.070
