Quarter,Time,Down,ToGo,Location,CAR,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Jason Baker kicks off 73 yards, returned by Maurice Jones-Drew for 22 yards (tackle by Adam Seward)",0.000,0.150
1,14:55,1,10,JAX 19,0,0,Fred Taylor up the middle for 4 yards (tackle by Jon Beason),0.150,0.210
1,14:18,2,6,JAX 23,0,0,David Garrard pass incomplete deep middle intended for Dennis Northcutt (defended by Na'il Diggs),0.210,-0.550
1,14:14,3,6,JAX 23,0,0,David Garrard pass complete short right to Reggie Williams for 7 yards (tackle by Chris Gamble),-0.550,0.940
1,13:39,1,10,JAX 30,0,0,Fred Taylor up the middle for 3 yards (tackle by Chris Harris),0.940,0.800
1,13:00,2,7,JAX 33,0,0,David Garrard pass complete short right to Ernest Wilford for 10 yards (tackle by Jon Beason),0.800,1.800
1,12:17,1,10,JAX 43,0,0,"David Garrard pass incomplete short left intended for Reggie Williams. Penalty on Ken Lucas: Defensive Pass Interference, 20 yards (no play)",1.800,3.120
1,12:10,1,10,CAR 37,0,0,David Garrard pass incomplete short right intended for Greg Jones,3.120,2.570
1,12:01,2,10,CAR 37,0,0,"Fred Taylor left end for -1 yards (tackle by Chris Harris). Penalty on Kindal Moorehead: Defensive Holding, 5 yards (no play)",2.570,3.450
1,11:37,1,10,CAR 32,0,0,Maurice Jones-Drew right end for 1 yard (tackle by Na'il Diggs),3.450,3.040
1,10:50,2,9,CAR 31,0,0,David Garrard pass incomplete short left intended for Maurice Jones-Drew,3.040,2.340
1,10:43,3,9,CAR 31,0,0,"David Garrard up the middle for 5 yards (tackle by Thomas Davis). Penalty on Maurice Williams: Offensive Holding, 10 yards (no play)",2.340,1.030
1,10:22,3,19,CAR 41,0,0,David Garrard pass incomplete deep middle intended for Dennis Northcutt (defended by Chris Harris),1.030,0.530
