Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 57 yards, returned by Koren Robinson for 18 yards (tackle by B.J. Ward). Penalty on Devard Darling: Offside on Free Kick, 5 yards",0.000,1.330
1,14:54,1,10,MIN 36,0,0,Brad Johnson pass complete to Michael Bennett for 10 yards (tackle by Samari Rolle),1.330,1.990
1,14:24,1,10,MIN 46,0,0,Brad Johnson pass complete to Nate Burleson for 4 yards (tackle by Deion Sanders),1.990,1.990
1,13:39,2,6,BAL 50,0,0,Michael Bennett right tackle for -1 yards (tackle by Bart Scott),1.990,1.160
1,12:56,3,7,MIN 49,0,0,Brad Johnson pass complete to Richard Angulo for 11 yards (tackle by Ed Reed and Bart Scott),1.160,2.920
1,12:18,1,10,BAL 40,0,0,Mewelde Moore left guard for 22 yards (tackle by Samari Rolle),2.920,4.370
1,11:49,1,10,BAL 18,0,0,Brad Johnson pass complete to Koren Robinson for 5 yards (tackle by Tommy Polley and Terrell Suggs),4.370,4.610
1,11:06,2,5,BAL 13,6,0,"Brad Johnson pass complete to Travis Taylor for 13 yards, touchdown",4.610,7.000
1,,,,BAL 2,7,0,Paul Edinger kicks extra point good,0.000,0.000
1,,,,MIN 30,7,0,"Paul Edinger kicks off 54 yards, returned by Chester Taylor for 11 yards (tackle by Rod Davis)",0.000,0.740
1,10:55,1,10,BAL 27,7,0,Jamal Lewis left tackle for 4 yards (tackle by Kevin Williams),0.740,0.740
1,10:25,2,6,BAL 31,7,0,Kyle Boller pass complete to Derrick Mason for 6 yards (tackle by Raonall Smith),0.740,1.400
1,9:48,1,10,BAL 37,7,0,Kyle Boller pass complete to Derrick Mason for 11 yards (tackle by Antoine Winfield),1.400,2.130
1,9:14,1,10,BAL 48,7,0,Jamal Lewis up the middle for 1 yard (tackle by Darrion Scott and Pat Williams),2.130,1.720
1,8:34,2,9,BAL 49,7,0,Kyle Boller pass complete to Todd Heap for 7 yards (tackle by Brian Williams),1.720,1.950
1,7:53,3,2,MIN 44,7,0,Kyle Boller pass complete to Derrick Mason for 3 yards (tackle by Ralph Brown),1.950,2.850
1,7:15,1,10,MIN 41,7,0,Jamal Lewis left end for 11 yards (tackle by C.J. Mosley),2.850,3.580
1,6:40,1,10,MIN 30,7,0,Kyle Boller pass incomplete intended for Mark Clayton (defended by Spencer Johnson),3.580,3.030
1,6:37,2,10,MIN 30,7,0,Jamal Lewis right guard for 6 yards (tackle by Sam Cowart and E.J. Henderson),3.030,3.140
1,5:55,3,4,MIN 24,7,0,Kyle Boller pass complete to Todd Heap for 6 yards (tackle by Lance Johnstone),3.140,4.370
1,5:14,1,10,MIN 18,7,0,Chester Taylor up the middle for 2 yards (tackle by Spencer Johnson and Erasmus James),4.370,4.090
1,4:35,2,8,MIN 16,7,0,Kyle Boller pass complete to Ovie Mughelli for 6 yards (tackle by E.J. Henderson),4.090,4.510
1,3:56,3,2,MIN 10,7,0,Jamal Lewis right guard for 1 yard (tackle by Raonall Smith and Darren Sharper),4.510,2.980
1,3:33,4,1,MIN 9,7,0,Kyle Boller up the middle for 2 yards (tackle by Spencer Johnson and Rod Davis),2.980,5.600
1,3:02,1,7,MIN 7,7,0,Jamal Lewis right tackle for 3 yards (tackle by Pat Williams and Spencer Johnson),5.600,5.340
1,2:22,2,4,MIN 4,7,0,Kyle Boller sacked by Raonall Smith for -2 yards,5.340,4.040
1,1:40,3,6,MIN 6,7,6,"Kyle Boller pass complete to Todd Heap for 6 yards, touchdown",4.040,7.000
1,,,,MIN 2,7,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,7,7,"Matt Stover kicks off 60 yards, returned by Koren Robinson for 24 yards (tackle by Dale Carter)",0.000,1.200
1,1:29,1,10,MIN 34,7,7,"Brad Johnson pass incomplete intended for Koren Robinson. Penalty on Terrell Suggs: Illegal Contact, 5 yards (no play)",1.200,1.530
1,1:24,1,10,MIN 39,7,7,Travis Taylor left end for -2 yards (tackle by Kelly Gregg and Bart Scott),1.530,0.720
1,0:48,2,12,MIN 37,7,7,Brad Johnson pass complete to Jermaine Wiggins for 5 yards (tackle by Tommy Polley),0.720,0.700
1,0:09,3,7,MIN 42,7,7,Brad Johnson pass incomplete intended for Marcus Robinson (defended by Ed Reed),0.700,-0.590
1,0:04,4,7,MIN 42,7,7,"Chris Kluwe punts 44 yards, fair catch by Mark Clayton",-0.590,0.280
Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 14,7,7,Jamal Lewis left guard for -3 yards (tackle by Raonall Smith and Pat Williams),-0.280,-1.000
2,14:26,2,13,BAL 11,7,7,Kyle Boller pass complete to Derrick Mason for 14 yards (tackle by Corey Chavous),-1.000,0.610
2,13:47,1,10,BAL 25,7,7,Kyle Boller pass complete to Jamal Lewis for no gain,0.610,0.060
2,13:12,2,10,BAL 25,7,7,"Penalty on Tony Pashos: False Start, 5 yards (no play)",0.060,-0.610
2,12:51,2,15,BAL 20,7,7,Kyle Boller sacked by Sam Cowart for -8 yards,-0.610,-2.940
2,12:14,3,23,BAL 12,7,7,Chester Taylor left tackle for 3 yards (tackle by Fred Smoot),-2.940,-2.440
2,11:29,4,20,BAL 15,7,7,"Dave Zastudil punts 55 yards, returned by Mewelde Moore for 16 yards (tackle by Chad Williams)",-2.440,-1.990
