Quarter,Time,Tm,Detail,STL,SFO
1.0,11:07,Rams,Jeff Wilkins 38 yard field goal,3,0
,8:28,49ers,Jose Cortez 33 yard field goal,3,3
,0:20,49ers,J.J. Stokes 13 yard pass from Jeff Garcia (Jose Cortez kick),3,10
2.0,7:42,49ers,Jeff Garcia 6 yard rush (Jose Cortez kick),3,17
,1:07,49ers,Jose Cortez 21 yard field goal,3,20
,0:04,49ers,Jason Webster 37 yard interception return (Jose Cortez kick),3,27
3.0,5:00,Rams,Jeff Wilkins 37 yard field goal,6,27
4.0,14:52,49ers,Jose Cortez 32 yard field goal,6,30
,9:53,49ers,Garrison Hearst 16 yard rush (Jose Cortez kick),6,37
,0:29,Rams,Lamar Gordon 7 yard pass from Jamie Martin (Jeff Wilkins kick),13,37
