Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 60 yards, returned by Josh Cribbs for 27 yards (tackle by Colin Allred)",0.000,1.400
1,14:53,1,10,CLE 37,0,0,Jamal Lewis right guard for 1 yard (tackle by David Thornton),1.400,0.990
1,14:16,2,9,CLE 38,0,0,Ken Dorsey pass complete short right to Braylon Edwards for 6 yards (tackle by Nick Harper),0.990,1.090
1,13:36,3,3,CLE 44,0,0,Ken Dorsey pass complete short middle to Braylon Edwards for 25 yards (tackle by Nick Harper),1.090,3.510
1,12:55,1,10,TEN 31,0,0,Ken Dorsey pass incomplete short right intended for Darnell Dinkins,3.510,2.970
1,12:49,2,10,TEN 31,0,0,Jamal Lewis right guard for 1 yard (tackle by Tony Brown and Stephen Tulloch),2.970,2.410
1,12:07,3,9,TEN 30,0,0,Ken Dorsey pass incomplete short right intended for Donte Stallworth,2.410,1.410
1,12:03,4,9,TEN 30,3,0,Phil Dawson 47 yard field goal good,1.410,3.000
1,,,,CLE 30,3,0,"Phil Dawson kicks off 70 yards, returned by Chris Carr for 40 yards (tackle by Brodney Pool). Penalty on Quinton Ganther: Illegal Block Above the Waist, 10 yards",0.000,-0.380
1,11:49,1,10,TEN 9,3,0,Chris Johnson right guard for 7 yards (tackle by Andra Davis and Shaun Rogers),-0.380,-0.160
1,11:15,2,3,TEN 16,3,0,Kerry Collins pass complete short left to Chris Johnson for 8 yards (tackle by D'Qwell Jackson),-0.160,0.540
1,10:35,1,10,TEN 24,3,0,Chris Johnson left tackle for 4 yards (tackle by Kamerion Wimbley and Shaun Smith),0.540,0.540
1,9:54,2,6,TEN 28,3,0,"Kerry Collins pass incomplete. Penalty on Kerry Collins: Intentional Grounding, 10 yards",0.540,-1.640
1,9:48,3,16,TEN 18,3,0,Chris Johnson right end for 17 yards (tackle by Mike Adams),-1.640,1.270
1,9:19,1,10,TEN 35,3,0,LenDale White left end for 7 yards (tackle by Kamerion Wimbley),1.270,1.670
1,8:51,2,3,TEN 42,3,0,Kerry Collins pass complete short right to Bo Scaife for 14 yards (tackle by Brodney Pool),1.670,2.650
1,8:13,1,10,CLE 44,3,0,LenDale White left guard for no gain (tackle by Louis Leonard and D'Qwell Jackson),2.650,2.110
1,7:32,2,10,CLE 44,3,0,Kerry Collins pass incomplete deep middle intended for Bo Scaife (defended by D'Qwell Jackson),2.110,1.420
1,7:25,3,10,CLE 44,3,0,Kerry Collins pass incomplete short middle intended for Brandon Jones,1.420,0.330
1,7:20,4,10,CLE 44,3,0,"Craig Hentrich punts 28 yards, returned by Josh Cribbs for 12 yards (tackle by Michael Griffin)",0.330,-0.810
1,7:08,1,10,CLE 28,3,0,"Ken Dorsey pass incomplete deep right intended for Braylon Edwards. Penalty on Nick Harper: Defensive Pass Interference, 29 yards (no play)",0.810,2.720
