#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,PIT 10,4,2:14,12,Interception
2,1,12:01,PIT 27,3,1:38,3,Punt
3,1,8:39,PIT 36,11,5:48,62,Field Goal
4,2,15:00,PIT 20,3,1:56,7,Punt
5,2,12:08,PIT 13,3,0:25,0,Punt
6,2,6:48,PIT 37,9,4:53,63,Touchdown
7,2,0:17,PIT 20,1,0:17,-1,End of Half
8,3,12:32,PIT 14,14,6:53,79,Field Goal
9,3,5:39,NWE 8,2,0:35,8,Touchdown
10,3,4:51,NWE 26,5,2:01,25,Field Goal
11,3,0:36,NWE 47,10,4:07,25,Missed FG
12,4,9:18,PIT 34,6,3:35,39,Field Goal
13,4,3:27,NWE 1,2,0:43,1,Touchdown
