Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass incomplete short left intended for Joshua Kelley,0.610,0.060
1,14:54,2,10,LAC 25,0,0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Roger McCreary),0.060,0.300
1,14:12,3,3,LAC 32,0,0,Justin Herbert sacked by Denico Autry for -7 yards,0.300,-1.700
1,13:30,4,10,LAC 25,0,0,"JK Scott punts 40 yards, returned by Kearis Jackson for no gain (tackle by Nick Niemann). Penalty on Tre Avery: Offensive Holding, 10 yards (accepted)",-1.700,-0.610
1,13:20,1,10,TEN 25,0,0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by J.C. Jackson),0.610,1.010
1,12:49,2,3,TEN 32,0,0,Derrick Henry right guard for 5 yards (tackle by Derwin James and Kenneth Murray),1.010,1.400
1,12:08,1,10,TEN 37,0,0,Derrick Henry right guard for 4 yards (tackle by Kenneth Murray and Austin Johnson),1.400,1.400
1,11:28,2,6,TEN 41,0,0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Derwin James and Nick Williams),1.400,1.220
1,11:00,3,2,TEN 45,0,0,Tyjae Spears right tackle for 3 yards (tackle by Alohi Gilman and Ja'Sir Taylor),1.220,2.130
1,10:25,1,10,TEN 48,0,0,Tyjae Spears right end for 4 yards (tackle by Khalil Mack),2.130,2.120
1,9:39,2,6,LAC 48,0,0,Derrick Henry left end for 1 yard (tackle by Kenneth Murray and Tuli Tuipulotu),2.120,1.550
1,8:58,3,5,LAC 47,0,0,Tyjae Spears up the middle for 1 yard (tackle by Tuli Tuipulotu and Nick Niemann),1.550,0.200
1,8:15,4,4,LAC 46,0,0,Ryan Tannehill sacked by Kenneth Murray for -6 yards,0.200,-2.390
1,8:11,1,10,TEN 48,0,0,Joshua Kelley left guard for 1 yard (tackle by Roger McCreary),2.390,1.980
