Quarter,Time,Tm,Detail,DAL,CHI
1.0,9:02,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),7,0
,1:35,Bears,Earl Bennett 4 yard pass from Josh McCown (Robbie Gould kick),7,7
2.0,8:58,Bears,Josh McCown 7 yard rush (Robbie Gould kick),7,14
,5:22,Cowboys,Jason Witten 10 yard pass from Tony Romo (Dan Bailey kick),14,14
,1:33,Bears,Robbie Gould 27 yard field goal,14,17
,0:10,Bears,Alshon Jeffery 25 yard pass from Josh McCown (Robbie Gould kick),14,24
3.0,12:02,Bears,Robbie Gould 34 yard field goal,14,27
,2:20,Bears,Matt Forte 4 yard pass from Josh McCown (Brandon Marshall pass from Josh McCown),14,35
4.0,14:24,Bears,Michael Bush 17 yard pass from Josh McCown (Robbie Gould kick),14,42
,10:52,Cowboys,Cole Beasley 9 yard pass from Tony Romo (Dan Bailey kick),21,42
,3:47,Bears,Robbie Gould 23 yard field goal,21,45
,0:06,Cowboys,Joseph Randle 1 yard rush (Dan Bailey kick),28,45
