Quarter,Time,Down,ToGo,Location,LAR,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Royce Freeman right guard for 2 yards (tackle by Matt Longacre),0.610,0.330
1,14:25,2,8,DEN 27,0,0,Royce Freeman up the middle for 1 yard (tackle by Aaron Donald),0.330,-0.230
1,13:45,3,7,DEN 28,0,0,"Case Keenum for no gain (tackle by Samson Ebukam). Case Keenum fumbles (forced by Samson Ebukam), recovered by Case Keenum at DEN-18 Case Keenum pass incomplete short middle intended for Courtland Sutton (defended by Nickell Robey-Coleman)",-0.230,-1.500
1,13:39,4,7,DEN 28,0,0,"Colby Wadman punts 46 yards, returned by Jojo Natson for 3 yards (tackle by Josey Jewell and Tim Patrick)",-1.500,-0.870
1,13:26,1,10,LAR 29,0,0,Jared Goff pass incomplete short right intended for Brandin Cooks,0.870,0.330
1,13:21,2,10,LAR 29,0,0,Jared Goff pass complete short right to Robert Woods for 15 yards (tackle by Justin Simmons),0.330,1.860
1,12:57,1,10,LAR 44,0,0,Jared Goff pass complete deep right to Brandin Cooks for 44 yards (tackle by Justin Simmons),1.860,4.780
1,12:14,1,10,DEN 12,0,0,Jared Goff pass incomplete short middle intended for Todd Gurley,4.780,4.100
1,12:13,2,10,DEN 12,0,0,Jared Goff pass complete short right to Todd Gurley for 4 yards (tackle by Todd Davis),4.100,3.930
1,11:32,3,6,DEN 8,0,0,Jared Goff pass incomplete short left intended for Gerald Everett,3.930,2.960
1,11:27,4,6,DEN 8,3,0,Cairo Santos 26 yard field goal good,2.960,3.000
1,11:23,,,LAR 35,3,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,11:23,1,10,DEN 25,3,0,Case Keenum pass complete short right to Phillip Lindsay for 13 yards (tackle by Troy Hill),0.610,1.470
1,10:43,1,10,DEN 38,3,0,Case Keenum pass complete short right to Phillip Lindsay for 3 yards (tackle by Ndamukong Suh),1.470,1.330
1,10:04,2,7,DEN 41,3,0,Royce Freeman right guard for 1 yard (tackle by Michael Brockers),1.330,0.760
1,9:27,3,6,DEN 42,3,0,Case Keenum pass complete short right to Emmanuel Sanders for 5 yards (tackle by Marcus Peters),0.760,-0.260
1,8:55,4,1,DEN 47,3,0,"Colby Wadman punts 45 yards, fair catch by Jojo Natson at LA-8",-0.260,0.380
1,8:47,1,10,LAR 8,3,0,Todd Gurley left tackle for 21 yards (tackle by Tramaine Brock),-0.380,0.870
1,8:10,1,10,LAR 29,3,0,Todd Gurley right tackle for 10 yards (tackle by Brandon Marshall),0.870,1.530
1,7:24,1,10,LAR 39,3,0,Todd Gurley right tackle for 4 yards (tackle by Shane Ray),1.530,1.530
1,6:40,2,6,LAR 43,3,0,Jared Goff pass incomplete short left intended for Cooper Kupp,1.530,0.830
1,6:33,3,6,LAR 43,3,0,Jared Goff pass complete short right to Robert Woods for 28 yards (tackle by Darian Stewart),0.830,3.640
1,5:54,1,10,DEN 29,3,0,Todd Gurley left tackle for 3 yards (tackle by Todd Davis and Justin Simmons),3.640,3.510
1,5:12,2,7,DEN 26,3,0,Todd Gurley right tackle for 5 yards (tackle by Darian Stewart),3.510,3.470
1,4:30,3,2,DEN 21,3,0,Jared Goff pass incomplete short left intended for Robert Woods,3.470,2.180
1,4:25,4,2,DEN 21,6,0,Cairo Santos 39 yard field goal good,2.180,3.000
1,4:21,,,LAR 35,6,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,4:21,1,10,DEN 25,6,0,Case Keenum pass complete short right to Emmanuel Sanders for 13 yards (tackle by John Johnson),0.610,1.470
1,3:38,1,10,DEN 38,6,0,Phillip Lindsay up the middle for 3 yards (tackle by Michael Brockers),1.470,1.330
1,2:58,2,7,DEN 41,6,0,Case Keenum pass complete short left to Phillip Lindsay for 10 yards (tackle by Troy Hill),1.330,2.320
1,2:23,1,10,LAR 49,6,0,Royce Freeman up the middle for 5 yards (tackle by Samson Ebukam and John Franklin-Myers),2.320,2.460
1,1:47,2,5,LAR 44,6,0,"Case Keenum pass complete deep left to Emmanuel Sanders for 43 yards (tackle by Troy Hill). Penalty on Emmanuel Sanders: Taunting, 15 yards",2.460,4.510
1,1:29,1,10,LAR 16,6,0,Royce Freeman left guard for 1 yard (tackle by Aaron Donald and Lamarcus Joyner),4.510,4.050
1,0:55,2,9,LAR 15,6,0,Phillip Lindsay up the middle for 5 yards (tackle by Mark Barron and Matt Longacre),4.050,4.170
1,0:15,3,4,LAR 10,6,0,Case Keenum pass incomplete short left intended for Jeff Heuerman,4.170,2.840
1,0:07,4,4,LAR 10,6,3,Brandon McManus 28 yard field goal good,2.840,3.000
1,0:03,,,DEN 35,6,3,"Brandon McManus kicks off 62 yards, returned by Blake Countess for no gain (tackle by Will Parks)",0.000,1.200
Quarter,Time,Down,ToGo,Location,LAR,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 34,6,3,Todd Gurley left tackle for 29 yards (tackle by Shaquil Barrett),1.200,3.120
2,14:20,1,10,DEN 37,6,3,Todd Gurley right tackle for 5 yards (tackle by Darian Stewart),3.120,3.250
2,13:40,2,5,DEN 32,6,3,Jared Goff pass complete short middle to Todd Gurley for 13 yards (tackle by Adam Gotsis),3.250,4.310
2,13:16,1,10,DEN 19,6,3,Jared Goff right end for 3 yards (tackle by Chris Harris),4.310,4.180
2,12:31,2,7,DEN 16,6,3,Malcolm Brown left tackle for 5 yards (tackle by Brandon Marshall),4.180,4.430
2,11:47,3,2,DEN 11,6,3,Todd Gurley right tackle for 1 yard (tackle by Bradley Chubb and Zach Kerr),4.430,2.910
2,11:02,,,,,,Timeout #1 by Los Angeles Rams,,
2,11:02,4,1,DEN 10,12,3,"Todd Gurley left tackle for 10 yards, touchdown",2.910,7.000
2,10:57,,,DEN 15,13,3,Cairo Santos kicks extra point good,0.000,0.000
2,10:57,,,LAR 35,13,3,"Cairo Santos kicks off 63 yards, returned by Phillip Lindsay for no gain (tackle by Marqui Christian)",0.000,0.610
2,10:50,1,10,DEN 25,13,3,Case Keenum pass incomplete short right intended for Matt LaCosse,0.610,0.060
