Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Ryan Longwell kicks off 60 yards, returned by Micheal Spurlock for 21 yards (tackle by Kenny Onatolu)",0.000,0.670
1,14:55,1,10,TAM 26,0,0,Josh Freeman sacked by Jared Allen for -6 yards,0.670,-0.680
1,14:23,2,16,TAM 20,0,0,LeGarrette Blount right guard for no gain (tackle by Antoine Winfield),-0.680,-1.350
1,13:44,3,16,TAM 20,0,0,Josh Freeman pass complete short middle to Earnest Graham for 4 yards (tackle by Chad Greenway),-1.350,-1.770
1,13:09,4,12,TAM 24,0,0,"Michael Koenen punts 47 yards, returned by Marcus Sherels for 1 yard (tackle by Erik Lorig). Penalty on Husain Abdullah: Illegal Block Above the Waist, 10 yards",-1.770,-0.280
1,13:00,1,10,MIN 20,0,0,Donovan McNabb pass complete short right to Michael Jenkins for 16 yards (tackle by Cody Grimm),0.280,1.330
1,12:38,1,10,MIN 36,0,0,Adrian Peterson right guard for 11 yards (tackle by Sean Jones),1.330,2.060
1,11:56,1,10,MIN 47,0,0,Adrian Peterson right end for 10 yards (tackle by Sean Jones),2.060,2.720
1,11:22,1,10,TAM 43,0,0,Donovan McNabb pass incomplete short right intended for Bernard Berrian,2.720,2.180
1,11:18,2,10,TAM 43,0,0,Donovan McNabb pass incomplete deep left intended for Bernard Berrian,2.180,1.490
1,11:12,3,10,TAM 43,0,0,Donovan McNabb pass incomplete deep middle intended for Visanthe Shiancoe,1.490,0.400
1,11:08,4,10,TAM 43,0,0,"Chris Kluwe punts 35 yards, fair catch by Preston Parker",0.400,0.380
1,11:00,1,10,TAM 8,0,0,LeGarrette Blount left tackle for 7 yards (tackle by Husain Abdullah),-0.380,-0.210
1,10:23,2,3,TAM 15,0,0,LeGarrette Blount left guard for no gain (tackle by Jamarca Sanford and Chad Greenway),-0.210,-0.600
1,9:45,3,3,TAM 15,0,0,Josh Freeman right end for 12 yards (tackle by Antoine Winfield),-0.600,0.740
1,8:56,1,10,TAM 27,0,0,Josh Freeman pass complete short right to Kellen Winslow Jr. for 18 yards (tackle by Husain Abdullah),0.740,1.930
1,8:14,1,10,TAM 45,0,0,LeGarrette Blount up the middle for -3 yards (tackle by Jamarca Sanford),1.930,0.980
1,7:34,2,13,TAM 42,0,0,Josh Freeman pass incomplete deep middle intended for Mike Williams,0.980,0.300
1,7:28,3,13,TAM 42,0,0,Josh Freeman pass complete short right to Dezmon Briscoe for 9 yards (tackle by Antoine Winfield),0.300,0.000
1,6:49,4,4,MIN 49,0,0,"Michael Koenen punts 39 yards, fair catch by Marcus Sherels",0.000,0.380
1,6:43,1,10,MIN 10,0,0,Adrian Peterson left guard for 2 yards (tackle by Roy Miller and Mason Foster),-0.380,-0.630
1,6:07,2,8,MIN 12,0,0,Donovan McNabb pass complete short middle to Adrian Peterson for 3 yards (tackle by Geno Hayes),-0.630,-0.840
