Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Desmond Ridder pass complete short right to Desmond Ridder for -6 yards (tackle by Justin Houston),0.610,-0.810
1,14:24,2,16,ATL 19,0,0,Bijan Robinson left tackle for 8 yards (tackle by Jeremy Chinn),-0.810,-0.360
1,13:45,3,8,ATL 27,0,0,"Desmond Ridder sacked by Brian Burns for -8 yards. Desmond Ridder fumbles (forced by Brian Burns), recovered by Desmond Ridder at ATL-19 (tackle by Brian Burns)",-0.360,-2.140
1,13:12,4,16,ATL 19,0,0,"Bradley Pinion punts 31 yards out of bounds. Penalty on Sam Franklin: Offensive Holding, 10 yards (accepted)",-2.140,-1.600
1,13:02,1,10,CAR 40,0,0,Miles Sanders left tackle for 4 yards (tackle by Grady Jarrett),1.600,1.590
1,12:18,2,6,CAR 44,0,0,Bryce Young pass complete short middle to Terrace Marshall for 12 yards (tackle by Jessie Bates and AJ Terrell),1.590,2.650
1,11:40,1,10,ATL 44,0,0,Miles Sanders right guard for 9 yards (tackle by Jessie Bates and Kaden Elliss),2.650,3.330
1,10:55,2,1,ATL 35,0,0,Chuba Hubbard right tackle for 2 yards (tackle by AJ Terrell),3.330,3.380
1,10:16,1,10,ATL 33,0,0,"Bryce Young for -3 yards. Bryce Young fumbles, recovered by Bryce Young at ATL-36 (tackle by Troy Andersen)",3.380,2.430
1,9:38,2,13,ATL 36,0,0,Bryce Young pass complete short right to Laviska Shenault for 2 yards (tackle by Jessie Bates),2.430,2.010
1,8:58,3,11,ATL 34,0,0,Bryce Young pass complete short left to Laviska Shenault for 14 yards (tackle by Richie Grant and Tre Flowers),2.010,4.240
1,8:16,1,10,ATL 20,0,0,Chuba Hubbard left guard for 5 yards (tackle by Richie Grant and Jessie Bates),4.240,4.450
1,7:35,2,5,ATL 15,0,0,Miles Sanders right tackle for 4 yards (tackle by Kaden Elliss and Arnold Ebiketie),4.450,4.590
1,6:55,3,1,ATL 11,0,0,Laviska Shenault left guard for no gain (tackle by Richie Grant and Bud Dupree),4.590,2.850
1,6:14,4,1,ATL 11,0,0,Chuba Hubbard left tackle for -1 yards (tackle by David Onyemata and Bud Dupree),2.850,0.350
1,6:08,1,10,ATL 12,0,0,Tyler Allgeier right end for 19 yards (tackle by Jeremy Chinn),-0.350,1.000
1,5:28,1,10,ATL 31,0,0,Tyler Allgeier right tackle for 22 yards (tackle by Vonn Bell),1.000,2.460
1,4:53,1,10,CAR 47,0,0,Tyler Allgeier right tackle for 4 yards (tackle by Brian Burns),2.460,2.450
1,4:13,2,6,CAR 43,0,0,Desmond Ridder sacked by Brian Burns for -3 yards,2.450,1.350
1,3:29,3,9,CAR 46,0,0,Desmond Ridder pass complete short right to Bijan Robinson for -6 yards (tackle by Brian Burns),1.350,-0.190
1,2:55,4,15,ATL 48,0,0,"Bradley Pinion punts 38 yards, fair catch by Ihmir Smith-Marsette at CAR-14",-0.190,0.280
1,2:47,1,10,CAR 14,0,0,"Bryce Young pass complete short right to Adam Thielen for no gain (tackle by Richie Grant). Penalty on Adam Thielen: Offensive Pass Interference, 7 yards (accepted) (no play)",-0.280,-0.650
1,2:16,1,17,CAR 7,0,0,"Penalty on CAR: Delay of Game, 4 yards (accepted) (no play)",-0.650,-0.800
1,1:50,1,21,CAR 3,0,0,Miles Sanders right guard for 5 yards (tackle by Jessie Bates and Ta'Quon Graham),-0.800,-1.220
1,1:10,2,16,CAR 8,0,0,Bryce Young pass short middle intended for Hayden Hurst is intercepted by Jessie Bates at CAR-20 and returned for 3 yards (tackle by Jonathan Mingo),-1.220,-4.440
