Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Jay Feely kicks off 70 yards, returned by Tyson Thompson for 18 yards (tackle by Will Allen). Penalty on Derrick Pope: Unnecessary Roughness, 15 yards",0.000,1.140
1,14:54,1,10,DAL 33,0,0,Julius Jones up the middle for 6 yards (tackle by Joey Porter),1.140,1.400
1,14:19,2,4,DAL 39,0,0,Tony Romo pass incomplete short right intended for Terrell Owens,1.400,0.700
1,14:09,3,4,DAL 39,0,0,Tony Romo pass incomplete short middle intended for Terrell Owens,0.700,-0.780
1,14:05,4,4,DAL 39,0,0,Mat McBriar punts 47 yards,-0.780,-1.400
1,13:53,1,10,MIA 37,0,0,Ronnie Brown right tackle for 3 yards (tackle by Jay Ratliff),1.400,1.260
1,13:11,2,7,MIA 40,0,0,Ronnie Brown left end for 1 yard (tackle by Bradie James),1.260,0.700
1,12:29,3,6,MIA 41,0,0,Trent Green pass complete short middle to Derek Hagan for 12 yards (tackle by Jacques Reeves). Penalty on Chris L. Canty: Defensive Offside (Declined),0.700,2.460
1,12:02,1,10,DAL 47,0,0,Trent Green up the middle for 5 yards (tackle by Anthony Spencer),2.460,2.590
1,11:27,2,5,DAL 42,0,0,Ronnie Brown up the middle for 3 yards (tackle by Bradie James and Chris L. Canty),2.590,2.280
1,10:44,3,2,DAL 39,0,0,Jesse Chatman up the middle for 11 yards (tackle by Roy Williams and Pat Watkins),2.280,3.710
1,10:01,1,10,DAL 28,0,0,Ronnie Brown left end for 2 yards (tackle by Bradie James),3.710,3.440
1,9:23,2,8,DAL 26,0,0,Trent Green pass complete short middle to Ronnie Brown for 12 yards (tackle by Ken Hamlin),3.440,4.650
1,8:37,1,10,DAL 14,0,0,Ronnie Brown left end for no gain (tackle by Marcus R. Spears),4.650,4.000
1,8:01,2,10,DAL 14,0,0,Chris Chambers right end for -5 yards (tackle by Anthony Spencer),4.000,2.730
1,7:12,3,15,DAL 19,0,0,Trent Green pass incomplete short middle intended for Chris Chambers,2.730,2.180
1,7:07,4,15,DAL 19,0,3,Jay Feely 37 yard field goal good,2.180,3.000
1,,,,MIA 30,0,3,"Jay Feely kicks off 75 yards, touchback",0.000,0.280
1,7:03,1,10,DAL 20,0,3,Tony Romo pass complete short middle to Julius Jones for 24 yards (tackle by Travares Tillman),0.280,1.860
1,6:21,1,10,DAL 44,0,3,Julius Jones up the middle for no gain (tackle by Matt Roth),1.860,1.320
1,5:42,2,10,DAL 44,0,3,"Tony Romo pass incomplete short left intended for Terrell Owens. Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",1.320,1.990
1,5:37,2,5,DAL 49,0,3,Tony Romo up the middle for 1 yard (tackle by Channing Crowder),1.990,1.420
1,4:52,3,4,,0,3,Tony Romo pass complete short left to Terrell Owens for 13 yards (tackle by Jason Taylor),1.420,3.120
1,4:06,1,10,MIA 37,0,3,Terrell Owens right end for 5 yards (tackle by Zach Thomas),3.120,3.250
1,3:20,2,5,MIA 32,0,3,Julius Jones left tackle for 7 yards (tackle by Travares Tillman),3.250,3.910
1,2:39,1,10,MIA 25,0,3,Tony Romo pass incomplete short left intended for Jason Witten (defended by Joey Porter),3.910,3.360
1,2:35,2,10,MIA 25,0,3,"Marion Barber right tackle for 5 yards (tackle by Zach Thomas and Travares Tillman). Penalty on Joey Porter: Personal Foul, 10 yards",3.360,4.910
1,2:00,1,10,MIA 10,0,3,Marion Barber left guard for 3 yards (tackle by Zach Thomas),4.910,4.760
1,1:19,2,7,MIA 7,0,3,Marion Barber up the middle for 2 yards (tackle by Vonnie Holliday),4.760,4.260
1,0:32,3,5,MIA 5,0,3,Tony Romo pass complete short left to Marion Barber for -3 yards (tackle by Will Allen),4.260,2.950
1,0:07,,,,0,3,Timeout #1 by Miami Dolphins,0.000,2.950
1,0:07,4,8,MIA 8,3,3,Nick Folk 26 yard field goal good,2.950,3.000
1,,,,DAL 30,3,3,"Nick Folk kicks off 50 yards, fair catch by Rob Ninkovich",0.000,0.280
1,0:03,1,10,MIA 20,3,3,Ronnie Brown left tackle for no gain (tackle by Marcus R. Spears),0.280,-0.270
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,MIA 20,3,3,Trent Green pass incomplete deep left intended for Marty Booker is intercepted by Anthony Henry at DAL-37,-0.270,-1.400
2,14:53,1,10,DAL 37,3,3,Tony Romo pass complete short left to Marion Barber for 9 yards (tackle by Zach Thomas),1.400,2.070
2,14:15,2,1,DAL 46,3,3,Marion Barber up the middle for 9 yards (tackle by Jason Taylor),2.070,2.590
2,13:28,,,,3,3,Timeout #1 by Dallas Cowboys,0.000,2.590
2,13:28,1,10,MIA 45,3,3,Marion Barber left guard for 3 yards (tackle by Channing Crowder),2.590,2.450
2,12:44,2,7,MIA 42,3,3,Tony Romo pass incomplete deep left intended for Jason Witten (defended by Zach Thomas),2.450,1.750
2,12:35,3,7,MIA 42,3,3,Tony Romo left end for 10 yards (tackle by Renaldo Hill),1.750,3.450
2,11:46,1,10,MIA 32,3,3,Tony Romo pass incomplete deep right intended for Patrick Crayton (defended by Will Allen),3.450,2.900
2,11:39,2,10,MIA 32,3,3,Tony Romo pass incomplete short middle intended for Jason Witten (defended by Zach Thomas),2.900,2.210
2,11:33,3,10,MIA 32,3,3,"Julius Jones left tackle for 2 yards (tackle by Cameron Worrell). Penalty on Leonard Davis: Offensive Holding, 10 yards",2.210,1.160
2,11:04,3,18,MIA 40,3,3,Julius Jones up the middle for no gain (tackle by Vonnie Holliday),1.160,0.590
2,10:28,4,18,MIA 40,3,3,"Mat McBriar punts 31 yards, fair catch by Ted Ginn Jr.",0.590,0.380
2,10:21,1,10,MIA 9,3,3,Trent Green pass complete short right to Chris Chambers for 4 yards (tackle by Jacques Reeves),-0.380,-0.480
2,9:49,2,6,MIA 13,3,3,Trent Green sacked by Bradie James for -9 yards,-0.480,-2.010
2,9:11,3,15,MIA 4,3,3,Jesse Chatman up the middle for 7 yards (tackle by DeMarcus Ware),-2.010,-2.490
2,8:30,4,8,MIA 11,3,3,Brandon Fields punts 49 yards,-2.490,-1.600
2,8:22,1,10,DAL 40,3,3,Julius Jones up the middle for no gain (tackle by Vonnie Holliday),1.600,1.050
2,7:41,2,10,DAL 40,3,3,Tony Romo pass incomplete short right intended for Julius Jones,1.050,0.370
2,7:35,3,10,DAL 40,3,3,"Tony Romo pass complete short right to Terrell Owens for 14 yards (tackle by Renaldo Hill). Penalty on DAL: Illegal Shift, 5 yards (no play)",0.370,-0.300
2,7:09,3,15,DAL 35,3,3,"Tony Romo pass complete deep middle to Terrell Owens for 28 yards (tackle by Cameron Worrell). Penalty on Terrell Owens: Delay of Game, 5 yards",-0.300,2.790
