Quarter,Time,Tm,Detail,WAS,KAN
1.0,11:52,Redskins,Terrelle Pryor 44 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
,2:47,Redskins,Dustin Hopkins 19 yard field goal,10,0
2.0,1:54,Chiefs,Travis Kelce 17 yard pass from Alex Smith (Harrison Butker kick),10,7
3.0,9:20,Chiefs,Alex Smith 1 yard rush (Harrison Butker kick),10,14
,7:42,Redskins,Ryan Grant 3 yard pass from Kirk Cousins (Dustin Hopkins kick),17,14
,0:01,Chiefs,Harrison Butker 26 yard field goal,17,17
4.0,4:51,Chiefs,Harrison Butker 32 yard field goal,17,20
,0:47,Redskins,Dustin Hopkins 40 yard field goal,20,20
,0:04,Chiefs,Harrison Butker 43 yard field goal,20,23
,0:00,Chiefs,Justin Houston 13 yard fumble return (run failed),20,29
