Quarter,Time,Tm,Detail,MIN,ATL
1.0,11:57,Falcons,Jay Feely 34 yard field goal,0,3
,7:40,Falcons,Jay Feely 33 yard field goal,0,6
2.0,13:35,Vikings,Randy Moss 32 yard pass from Gus Frerotte (Aaron Elling kick),7,6
,10:23,Vikings,"Safety,",9,6
,8:06,Vikings,Aaron Elling 32 yard field goal,12,6
,6:56,Falcons,Warrick Dunn 8 yard rush (Jay Feely kick),12,13
,0:10,Falcons,Peerless Price 6 yard pass from Doug Johnson (Jay Feely kick),12,20
3.0,7:34,Vikings,Randy Moss 17 yard pass from Gus Frerotte (Onterrio Smith pass from Gus Frerotte),20,20
,2:39,Vikings,Moe Williams 11 yard rush (Aaron Elling kick),27,20
4.0,13:05,Vikings,Moe Williams 5 yard rush (Aaron Elling kick),34,20
,11:38,Vikings,"Safety,",36,20
,2:52,Vikings,Aaron Elling 24 yard field goal,39,20
,1:43,Falcons,Jimmy Farris 8 yard pass from Doug Johnson (pass failed),39,26
