Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 71 yards, returned by Quintin Demps for 37 yards (tackle by Jeff Reed)",0.000,1.330
1,14:54,1,10,PHI 36,0,0,Donovan McNabb pass complete short right to Hank Baskett for 9 yards (tackle by James Farrior),1.330,2.010
1,14:21,2,1,PHI 45,0,0,Donovan McNabb pass complete short right to Tony Hunt for 7 yards (tackle by Bryant McFadden),2.010,2.390
1,13:37,1,10,PIT 48,0,0,Donovan McNabb pass complete short right to Hank Baskett for 7 yards (tackle by Bryant McFadden),2.390,2.790
1,13:01,2,3,PIT 41,0,0,Brian Westbrook left end for 2 yards (tackle by Travis Kirschke),2.790,2.340
1,12:24,3,1,PIT 39,0,0,Brian Westbrook up the middle for 2 yards (tackle by Travis Kirschke),2.340,3.120
1,11:48,1,10,PIT 37,0,0,Brian Westbrook up the middle for 2 yards (tackle by Aaron Smith and James Harrison),3.120,2.840
1,11:11,2,8,PIT 35,0,0,"Donovan McNabb pass incomplete short left intended for Tony Hunt. Penalty on Tra Thomas: Offensive Holding, 12 yards (no play)",2.840,1.220
1,11:06,2,20,PIT 47,0,0,Donovan McNabb pass complete short left to Correll Buckhalter for 3 yards (tackle by James Harrison),1.220,0.960
1,10:21,3,17,PIT 44,0,0,Donovan McNabb pass complete deep right to Jason Avant for 19 yards (tackle by Ryan Clark),0.960,3.910
1,9:39,1,10,PIT 25,0,0,"Donovan McNabb pass complete short right to Tony Hunt for 5 yards (tackle by James Farrior). Tony Hunt fumbles (forced by James Farrior), recovered by Bryant McFadden at PIT-20 (tackle by Tony Hunt)",3.910,-0.280
,,,,,,,"PIT challenged the runner was down by contact ruling, and the original play was overturned.",,
1,9:30,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short left to Heath Miller for 9 yards (tackle by Quintin Mikell),0.280,0.950
1,8:52,2,1,PIT 29,0,0,Willie Parker up the middle for -1 yards (tackle by Trent Cole),0.950,0.100
1,8:08,3,2,PIT 28,0,0,"Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",0.100,1.140
1,7:41,1,10,PIT 33,0,0,Ben Roethlisberger pass complete deep right to Santonio Holmes for 16 yards,1.140,2.190
1,7:09,1,10,PIT 49,0,0,Ben Roethlisberger pass complete short right to Santonio Holmes for 6 yards (tackle by Asante Samuel),2.190,2.460
1,6:41,2,4,PHI 45,0,0,Ben Roethlisberger pass incomplete short middle intended for Santonio Holmes,2.460,1.750
1,6:38,3,4,PHI 45,0,0,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Lito Sheppard),1.750,2.980
1,5:54,1,10,PHI 39,0,0,Willie Parker right end for -1 yards (tackle by Stewart Bradley),2.980,2.300
1,5:12,2,11,PHI 40,0,0,Ben Roethlisberger pass complete short right to Nate Washington for 16 yards (tackle by Brian Dawkins),2.300,3.970
1,4:28,1,10,PHI 24,0,0,Willie Parker left end for 6 yards (tackle by Quintin Mikell),3.970,4.290
1,3:43,2,4,PHI 18,0,0,Willie Parker up the middle for -1 yards (tackle by Stewart Bradley and Trent Cole),4.290,3.410
1,3:01,3,5,PHI 19,0,0,Ben Roethlisberger pass incomplete short right intended for Hines Ward,3.410,2.240
1,2:55,4,5,PHI 19,3,0,Jeff Reed 37 yard field goal good,2.240,3.000
1,,,,PIT 30,3,0,"Jeff Reed kicks off 66 yards, returned by Quintin Demps for 21 yards (tackle by Carey Davis). Penalty on Jason Avant: Offensive Holding, 10 yards",0.000,-0.220
1,2:45,1,10,PHI 15,3,0,Donovan McNabb pass complete short left to Correll Buckhalter for 11 yards (tackle by Ryan Clark),-0.220,0.670
1,2:07,1,10,PHI 26,3,0,Donovan McNabb pass complete short right to DeSean Jackson for 4 yards (tackle by Troy Polamalu),0.670,0.670
1,1:21,2,6,PHI 30,3,0,Brian Westbrook right tackle for 4 yards (tackle by James Farrior),0.670,0.500
1,0:36,3,2,PHI 34,3,0,Donovan McNabb pass complete short right to DeSean Jackson for 5 yards (tackle by Bryant McFadden),0.500,1.530
1,0:03,1,10,PHI 39,3,0,Donovan McNabb sacked by Travis Kirschke and Larry Foote for -7 yards,1.530,0.040
Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,17,PHI 32,3,0,Brian Westbrook left end for 2 yards (tackle by Travis Kirschke),0.040,-0.360
2,14:14,3,15,PHI 34,3,0,Donovan McNabb pass complete deep left to Hank Baskett for 20 yards (tackle by Ike Taylor),-0.360,2.520
2,13:34,1,10,PIT 46,3,0,Correll Buckhalter up the middle for 9 yards (tackle by LaMarr Woodley and Larry Foote),2.520,3.190
2,12:53,2,1,PIT 37,3,0,Donovan McNabb pass complete short right to Hank Baskett for 6 yards (tackle by Bryant McFadden),3.190,3.510
2,12:15,1,10,PIT 31,3,0,"Penalty on James Harrison: Defensive Offside, 5 yards (no play)",3.510,4.240
2,11:40,1,5,PIT 26,3,0,Correll Buckhalter up the middle for 2 yards (tackle by Larry Foote),4.240,3.910
2,11:02,2,3,PIT 24,3,0,Correll Buckhalter right end for no gain (tackle by Chris Hoke),3.910,3.200
2,10:16,3,3,PIT 24,3,0,Donovan McNabb pass complete short right to Lorenzo Booker for 4 yards (tackle by LaMarr Woodley),3.200,4.240
2,9:31,1,10,PIT 20,3,6,"Donovan McNabb pass complete short left to Correll Buckhalter for 20 yards, touchdown",4.240,7.000
2,,,,PIT 2,3,7,David Akers kicks extra point good,0.000,0.000
