Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 67 yards, returned by Devin Hester for 12 yards (tackle by Brynden Trawick)",0.000,0.380
1,14:55,1,10,ATL 10,0,0,Matt Ryan pass incomplete short right intended for Roddy White,-0.380,-0.780
1,14:50,2,10,ATL 10,0,0,Steven Jackson left guard for no gain (tackle by C.J. Mosley),-0.780,-1.420
1,14:12,3,10,ATL 10,0,0,Matt Ryan pass complete short right to Julio Jones for 7 yards (tackle by Lardarius Webb),-1.420,-2.320
1,13:48,4,3,ATL 17,0,0,"Matthew Bosher punts 42 yards, returned by Jacoby Jones for 7 yards (tackle by Josh Harris)",-2.320,-2.130
1,13:36,1,10,BAL 48,0,0,"Justin Forsett right end for 3 yards (tackle by Desmond Trufant and Joplo Bartu). Penalty on Tyson Jackson: Illegal Use of Hands, 5 yards",2.130,2.650
1,13:06,1,10,ATL 44,0,0,Joe Flacco pass complete short middle to Owen Daniels for 2 yards (tackle by Jonathan Massaquoi),2.650,2.380
1,12:42,2,8,ATL 42,0,0,"Joe Flacco pass incomplete deep left intended for Torrey Smith (defended by Robert Alford). Penalty on Robert Alford: Defensive Pass Interference, 36 yards (no play)",2.380,5.830
1,12:34,1,6,ATL 6,0,0,Joe Flacco pass incomplete short right intended for Justin Forsett,5.830,4.950
1,12:23,2,6,ATL 6,0,0,Justin Forsett right tackle for 1 yard (tackle by Joplo Bartu and Paul Worrilow),4.950,4.260
1,11:52,3,5,ATL 5,0,6,"Joe Flacco pass complete short middle to Owen Daniels for 5 yards, touchdown",4.260,7.000
1,11:52,,,ATL 2,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,11:52,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,11:47,1,10,ATL 20,0,7,Steven Jackson left guard for 3 yards (tackle by Daryl Smith and Courtney Upshaw),0.280,0.140
1,11:12,2,7,ATL 23,0,7,Steven Jackson left tackle for 4 yards (tackle by Daryl Smith and DeAngelo Tyson),0.140,-0.030
1,10:32,3,3,ATL 27,0,7,Matt Ryan pass incomplete short left intended for Roddy White,-0.030,-1.570
1,10:27,4,3,ATL 27,0,7,"Matthew Bosher punts 57 yards, returned by Jacoby Jones for no gain. Penalty on Dominique Franks: Offensive Holding, 8 yards",-1.570,0.380
1,10:17,1,10,BAL 8,0,7,Justin Forsett right guard for 9 yards (tackle by Kemal Ishmael and Desmond Trufant),-0.380,0.050
