Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Ryan Succop kicks off 74 yards, returned by Kevin Ogletree for 32 yards (tackle by Jackie Battle)",0.000,0.810
1,14:55,1,10,DAL 28,0,0,Marion Barber left end for 7 yards (tackle by Corey Mays),0.810,1.210
1,14:12,2,3,DAL 35,0,0,Tony Romo pass complete short right to Jason Witten for 8 yards (tackle by Demorrio Williams),1.210,1.800
1,13:36,1,10,DAL 43,0,0,Tony Romo pass complete short left to Patrick Crayton for 8 yards (tackle by Brandon Flowers),1.800,2.330
1,13:13,2,2,KAN 49,0,0,Marion Barber middle for 2 yards (tackle by Glenn Dorsey),2.330,2.460
1,12:27,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,2.460
1,12:27,1,10,KAN 47,0,0,Marion Barber middle for -4 yards (tackle by Ron Edwards and Corey Mays),2.460,1.370
1,11:45,2,14,DAL 49,0,0,"Tony Romo pass complete short left to Marion Barber for 7 yards (tackle by Mike Brown). Penalty on Andre Gurode: Ineligible Downfield Pas, 5 yards (no play)",1.370,0.700
1,11:20,2,19,DAL 44,0,0,Tony Romo pass complete short right to Miles Austin for 6 yards (tackle by Mike Vrabel),0.700,0.830
1,10:34,3,13,,0,0,Tony Romo pass complete short right to Miles Austin for 10 yards (tackle by Donald Washington),0.830,0.590
1,10:00,4,3,KAN 40,0,0,"Mat McBriar punts 31 yards, fair catch by Bobby Wade",0.590,0.380
1,9:52,1,10,KAN 9,0,0,Larry Johnson middle for 4 yards (tackle by Pat Watkins),-0.380,-0.480
1,9:21,2,6,KAN 13,0,0,"Matt Cassel pass incomplete deep middle intended for Mark Bradley. Penalty on Terence Newman: Defensive Holding, 5 yards (no play)",-0.480,0.040
1,9:14,1,10,KAN 18,0,0,Mark Bradley left end for -2 yards (tackle by Keith Brooking),0.040,-0.800
1,8:48,2,12,KAN 16,0,0,Larry Johnson middle for 1 yard (tackle by Keith Brooking),-0.800,-1.340
1,8:06,3,11,KAN 17,0,0,Matt Cassel pass complete short right to Jackie Battle for 3 yards (tackle by Bradie James and DeMarcus Ware),-1.340,-2.030
1,7:29,4,8,KAN 20,0,0,"Dustin Colquitt punts 48 yards, muffed catch by Patrick Crayton, ball out of bounds at DAL-32",-2.030,-1.070
1,7:20,1,10,DAL 32,0,0,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Mike Brown),1.070,1.800
1,6:50,1,10,DAL 43,0,0,Marion Barber middle for 6 yards (tackle by Demorrio Williams),1.800,2.060
1,6:06,2,4,DAL 49,0,0,Marion Barber middle for 1 yard (tackle by Glenn Dorsey),2.060,1.490
1,5:38,3,3,,0,0,Tony Romo pass complete short right to Patrick Crayton for 9 yards (tackle by Donald Washington),1.490,2.850
1,4:53,1,10,KAN 41,0,0,Tashard Choice middle for 5 yards (tackle by Corey Mays),2.850,2.980
1,4:53,2,5,KAN 36,0,0,"Penalty on Marc Colombo: False Start, 5 yards (no play)",2.980,2.310
1,3:49,,,,0,0,Timeout #2 by Dallas Cowboys,0.000,2.310
1,3:49,2,10,KAN 41,0,0,Tony Romo pass complete short right to Patrick Crayton for 18 yards (tackle by Donald Washington),2.310,4.040
1,3:07,1,10,KAN 23,0,0,"Marion Barber right guard for 16 yards (tackle by Jarrad Page). Penalty on Kyle Kosier: Offensive Holding, 10 yards (no play)",4.040,3.380
1,2:41,1,20,KAN 33,0,0,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Mike Brown),3.380,3.630
1,1:58,2,9,KAN 22,0,0,Tony Romo pass incomplete deep right intended for Miles Austin,3.630,2.940
1,1:52,3,9,KAN 22,0,0,Tony Romo pass incomplete short right intended for Tashard Choice,2.940,1.990
1,1:47,4,9,KAN 22,0,0,Nick Folk 40 yard field goal no good,1.990,-0.940
1,1:42,1,10,KAN 30,0,0,Jamaal Charles left guard for 7 yards (tackle by Pat Watkins),0.940,1.340
1,1:10,2,3,KAN 37,0,0,Matt Cassel sacked by Igor Olshansky for 0 yards,1.340,0.630
1,0:29,3,3,KAN 37,0,0,Matt Cassel pass incomplete short left intended for Mark Bradley (defended by Terence Newman),0.630,-0.910
1,0:24,4,3,KAN 37,0,0,"Dustin Colquitt punts 40 yards, muffed catch by Patrick Crayton, recovered by Maurice Leggett and returned for no gain",-0.910,4.040
1,0:13,1,10,DAL 23,0,0,Larry Johnson left guard for -6 yards (tackle by Jay Ratliff),4.040,2.690
Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,16,DAL 29,0,0,Larry Johnson middle for 1 yard (tackle by DeMarcus Ware),2.690,2.150
2,14:23,3,15,DAL 28,0,0,Matt Cassel pass incomplete short left intended for Sean Ryan,2.150,1.590
2,14:18,4,15,DAL 28,0,3,Ryan Succop 47 yard field goal good,1.590,3.000
2,,,,KAN 30,0,3,"Ryan Succop kicks off 69 yards, returned by Kevin Ogletree for 17 yards (tackle by Terrance Copper)",0.000,0.040
2,14:08,1,10,DAL 18,0,3,Tashard Choice middle for 4 yards (tackle by Corey Mays and Demorrio Williams),0.040,0.140
2,13:25,2,6,DAL 22,0,3,"Tony Romo for no gain. Tony Romo fumbles, recovered by Mike Brown at DAL-20 and returned for 4 yards (tackle by Tashard Choice)",0.140,-4.510
2,13:19,1,10,DAL 16,0,3,Larry Johnson middle for 3 yards (tackle by Junior Siavii and Igor Olshansky),4.510,4.390
2,12:42,2,7,DAL 13,0,3,Matt Cassel pass complete short right to Larry Johnson for 9 yards (tackle by Bradie James),4.390,6.280
2,12:22,1,4,DAL 4,0,3,Larry Johnson middle for 2 yards (tackle by Ken Hamlin and Junior Siavii),6.280,5.720
2,11:46,2,2,DAL 2,0,3,Larry Johnson left guard for 1 yard (tackle by Keith Brooking and Igor Olshansky),5.720,5.170
2,11:04,3,1,DAL 1,0,9,"Matt Cassel pass complete short left to Mike Vrabel for 1 yard, touchdown",5.170,7.000
2,,,,DAL 2,0,10,Ryan Succop kicks extra point good,0.000,0.000
2,,,,KAN 30,0,10,"Ryan Succop kicks off 69 yards, returned by Kevin Ogletree for 20 yards (tackle by David Herron)",0.000,0.340
2,10:53,1,10,DAL 21,0,10,Marion Barber middle for 11 yards (tackle by Mike Brown and Mike Vrabel),0.340,1.070
2,10:21,1,10,DAL 32,0,10,"Marion Barber middle for 3 yards (tackle by Corey Mays). Penalty on Miles Austin: Illegal Formation, 5 yards (no play)",1.070,0.740
2,10:21,1,15,DAL 27,0,10,"Penalty on Flozell Adams: False Start, 5 yards (no play)",0.740,0.410
2,9:34,1,20,DAL 22,0,10,Tony Romo pass incomplete short left intended for Marion Barber,0.410,-0.820
2,9:30,2,20,DAL 22,0,10,Tony Romo pass incomplete short middle intended for Miles Austin,-0.820,-1.480
