Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Jason Baker kicks off 60 yards, returned by Terrence McGee for 23 yards (tackle by Kawika Mitchell)",0.000,1.140
1,14:53,1,10,BUF 33,0,0,Travis Henry right end for no gain (tackle by Mike Maslowski and Scott Fujita),1.140,0.590
1,14:21,2,10,BUF 33,0,0,Drew Bledsoe pass complete to Josh Reed for 12 yards (tackle by Dexter McCleon),0.590,1.930
1,14:02,1,10,BUF 45,0,0,"Penalty on Eric Moulds: Illegal Substitution, 5 yards (no play)",1.930,1.600
1,13:38,1,15,BUF 40,0,0,Travis Henry up the middle for 1 yard (tackle by Vonnie Holliday),1.600,0.840
1,13:03,2,14,BUF 41,0,0,Drew Bledsoe pass complete to Josh Reed for 12 yards (tackle by Eric Warfield),0.840,1.750
1,12:25,3,2,KAN 47,0,0,Drew Bledsoe pass incomplete intended for Bobby Shaw,1.750,0.130
1,12:25,4,2,KAN 47,0,0,"Brian Moorman punts 37 yards, fair catch by Dante Hall",0.130,0.380
1,12:12,1,10,KAN 10,0,0,Priest Holmes right tackle for 5 yards (tackle by Lawyer Milloy),-0.380,-0.350
1,11:33,2,5,KAN 15,0,0,Priest Holmes left end for -2 yards (tackle by Pat Williams),-0.350,-1.070
1,10:49,3,7,KAN 13,0,0,Trent Green pass incomplete intended for Eddie Kennison,-1.070,-2.490
1,10:39,4,7,KAN 13,2,0,"Jason Baker punts no gain, safety",-2.490,-2.000
1,,,,KAN 20,2,0,"Jason Baker kicks off 57 yards, returned by Antonio Brown for 23 yards (tackle by Gary Stills)",0.000,1.990
1,10:28,1,10,BUF 46,2,0,Travis Henry left end for 4 yards (tackle by Mike Maslowski),1.990,1.990
1,9:51,2,6,BUF 50,2,0,Travis Henry right end for 2 yards (tackle by Shawn Barber),1.990,1.550
1,9:08,3,4,KAN 48,2,0,Drew Bledsoe pass complete to Eric Moulds for 7 yards (tackle by Greg Wesley),1.550,2.850
1,8:28,1,10,KAN 41,2,0,Travis Henry up the middle for 3 yards (tackle by Mike Maslowski),2.850,2.710
