Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Kyle Brindza kicks off 71 yards, returned by Bishop Sankey for 17 yards (tackle by Bruce Carter)",0.000,0.370
1,14:56,1,10,TEN 11,0,0,"Marcus Mariota pass incomplete short right intended for Bishop Sankey (defended by Major Wright). Penalty on Major Wright: Unnecessary Roughness, 15 yards (no play)",-0.370,0.670
1,14:50,1,10,TEN 26,0,0,Bishop Sankey left tackle for no gain (tackle by Clinton McDonald),0.670,0.130
1,14:12,2,10,TEN 26,0,0,Marcus Mariota pass incomplete short left intended for Bishop Sankey,0.130,-0.560
1,14:06,3,10,TEN 26,0,0,Marcus Mariota pass complete short middle to Delanie Walker for 22 yards (tackle by Chris Conte),-0.560,2.130
1,13:22,1,10,TEN 48,6,0,"Marcus Mariota pass complete short right to Kendall Wright for 52 yards, touchdown",2.130,7.000
1,13:22,,,TAM 48,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,13:22,,,TEN 35,7,0,"Ryan Succop kicks off 68 yards, returned by Bobby Rainey for 23 yards (tackle by Phillip Supernaw)",0.000,-0.280
1,13:04,1,10,TAM 20,7,0,Doug Martin right guard for 5 yards (tackle by DaQuan Jones),0.280,0.410
1,12:33,2,5,TAM 25,7,0,Doug Martin right guard for 2 yards (tackle by Derrick Morgan),0.410,-0.030
1,11:58,3,3,TAM 27,13,0,"Jameis Winston pass incomplete short left intended for Adam Humphries is intercepted by Coty Sensabaugh at TAM-26 and returned for 26 yards, touchdown",-0.030,-7.000
1,11:48,,,TAM 27,14,0,Ryan Succop kicks extra point good,0.000,0.000
1,11:48,,,TEN 35,14,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,11:48,1,10,TAM 20,14,0,Jameis Winston pass incomplete short right intended for Vincent Jackson,0.280,-0.270
1,11:43,2,10,TAM 20,14,0,Doug Martin right guard for -2 yards (tackle by Jurrell Casey),-0.270,-1.330
1,11:07,3,12,TAM 18,14,0,Jameis Winston left end for 3 yards (tackle by Derrick Morgan),-1.330,-1.960
1,10:23,4,9,TAM 21,14,0,"Jake Schum punts 42 yards, out of bounds",-1.960,-1.400
1,10:16,1,10,TEN 37,14,0,Bishop Sankey left guard for 7 yards (tackle by D.J. Swearinger and Lavonte David),1.400,1.800
1,9:36,2,3,TEN 44,14,0,"Penalty on Jeremiah Poutasi: False Start, 5 yards (no play)",1.800,1.130
1,9:08,2,8,TEN 39,14,0,Marcus Mariota pass complete short middle to Justin Hunter for 11 yards (tackle by Alterraun Verner),1.130,2.260
1,8:50,1,10,,14,0,Marcus Mariota pass complete short middle to Kendall Wright for 13 yards (tackle by Bradley McDougald),2.260,3.120
1,8:50,1,10,TAM 37,14,0,"Penalty on Gerald McCoy: Neutral Zone Infraction, 5 yards (no play)",3.120,3.850
1,7:39,1,5,TAM 32,14,0,Marcus Mariota pass incomplete short right intended for Justin Hunter (defended by Kwon Alexander),3.850,3.250
1,7:35,2,5,TAM 32,14,0,Marcus Mariota pass complete deep right to Harry Douglas for 20 yards (tackle by Johnthan Banks),3.250,4.780
1,6:56,1,10,TAM 12,20,0,"Marcus Mariota pass complete short right to Bishop Sankey for 12 yards, touchdown",4.780,7.000
1,6:56,,,TAM 12,21,0,Ryan Succop kicks extra point good,0.000,0.000
1,6:56,,,TEN 35,21,0,"Ryan Succop kicks off 61 yards, returned by Bobby Rainey for 28 yards (tackle by Phillip Supernaw)",0.000,-1.070
1,6:41,1,10,TAM 32,21,0,Doug Martin left end for 5 yards (tackle by Avery Williamson),1.070,1.200
1,6:02,2,5,TAM 37,21,0,Doug Martin left guard for 14 yards (tackle by Perrish Cox),1.200,2.320
1,5:23,1,10,TEN 49,21,0,Doug Martin left end for 14 yards (tackle by Michael Griffin),2.320,3.250
1,4:40,1,10,TEN 35,21,0,Doug Martin left guard for 3 yards (tackle by Michael Griffin),3.250,3.110
1,3:57,2,7,TEN 32,21,0,Jameis Winston pass incomplete deep left intended for Vincent Jackson,3.110,2.410
1,3:49,3,7,TEN 32,21,0,Jameis Winston pass complete short left to Vincent Jackson for 6 yards (tackle by Perrish Cox),2.410,2.410
1,3:17,3,7,TEN 32,21,0,Timeout #1 by Tampa Bay Buccaneers,2.410,1.890
1,3:17,4,1,TEN 26,21,0,Jameis Winston right end for 5 yards (tackle by Zach Brown),1.890,4.170
1,2:38,1,10,TEN 21,21,0,"Jameis Winston for no gain. Jameis Winston fumbles, recovered by Jameis Winston at TEN-28",4.170,2.680
1,1:53,2,17,TEN 28,21,0,Jameis Winston pass complete deep left to Austin Seferian-Jenkins for 21 yards,2.680,5.600
1,1:27,1,7,TEN 7,21,0,Doug Martin right guard for no gain (tackle by DaQuan Jones and Karl Klug),5.600,5.600
1,0:41,1,7,TEN 7,21,0,Timeout #2 by Tampa Bay Buccaneers,5.600,4.760
1,0:41,2,7,TEN 7,21,0,Jameis Winston pass complete short middle to Doug Martin for 2 yards (tackle by Angelo Blackson),4.760,4.260
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,TEN 5,21,6,"Jameis Winston pass complete short left to Austin Seferian-Jenkins for 5 yards, touchdown",4.260,7.000
2,15:00,,,TEN 5,21,7,Kyle Brindza kicks extra point good,0.000,0.000
2,15:00,,,TAM 35,21,7,"Kyle Brindza kicks off 65 yards, touchback",0.000,-0.280
