Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 65 yards, returned by Leon Washington for 24 yards (tackle by Colt Anderson)",0.000,0.540
1,14:53,1,10,SEA 24,0,0,"Marshawn Lynch right end for 1 yard (tackle by Jason Babin and Mike Patterson). Penalty on SEA: Illegal Shift, 5 yards (no play)",0.540,0.130
1,14:34,1,15,SEA 19,0,0,Marshawn Lynch left tackle for 5 yards (tackle by Jamar Chaney and Nate Allen),0.130,0.000
1,13:54,2,10,SEA 24,0,0,Tarvaris Jackson left tackle for 5 yards (tackle by Jamar Chaney),0.000,-0.030
1,13:16,3,5,SEA 29,0,0,"Tarvaris Jackson sacked by Trent Cole for -4 yards. Tarvaris Jackson fumbles, recovered by Tarvaris Jackson at SEA-22",-0.030,-1.700
1,12:48,4,9,SEA 25,0,0,Jon Ryan punts 44 yards,-1.700,-1.000
1,12:38,1,10,PHI 31,0,0,Vince Young pass incomplete deep right intended for DeSean Jackson is intercepted by Kam Chancellor at SEA-39 and returned for 1 yard (tackle by DeSean Jackson),1.000,-1.600
,,,,,,,"PHI challenged the incomplete pass ruling, and the play was upheld.",,
1,12:26,1,10,SEA 40,0,0,Tarvaris Jackson pass complete short right to Michael Robinson for 19 yards (tackle by Jamar Chaney),1.600,2.850
1,11:49,1,10,PHI 41,0,0,Marshawn Lynch left tackle for 9 yards (tackle by Trevor Laws),2.850,3.520
1,11:14,2,1,PHI 32,0,0,Marshawn Lynch left end for -4 yards (tackle by Darryl Tapp and Brian Rolle),3.520,2.280
1,10:31,3,5,PHI 36,0,0,Tarvaris Jackson pass complete deep middle to Ben Obomanu for 26 yards (tackle by Kurt Coleman and Joselio Hanson),2.280,4.910
1,9:55,1,10,PHI 10,0,0,"Penalty on Robert Gallery: False Start, 5 yards (no play)",4.910,4.370
1,9:28,1,15,PHI 15,0,6,"Marshawn Lynch right tackle for 15 yards, touchdown",4.370,7.000
1,,,,PHI 2,0,7,Steven Hauschka kicks extra point good,0.000,0.000
1,,,,SEA 35,0,7,"Steven Hauschka kicks off 69 yards, returned by Dion Lewis for 19 yards (tackle by Chris Maragos)",0.000,-0.220
1,9:12,1,10,PHI 15,0,7,Vince Young up the middle for 1 yard (tackle by Chris Clemons),-0.220,-0.580
1,8:28,2,9,PHI 16,0,7,LeSean McCoy right tackle for 3 yards (tackle by LeRoy Hill),-0.580,-0.880
1,7:47,3,6,PHI 19,0,7,Vince Young pass incomplete deep left intended for Riley Cooper (defended by Brandon Browner),-0.880,-2.140
1,7:41,4,6,PHI 19,0,7,"Chas Henry punts 45 yards, returned by Leon Washington for no gain",-2.140,-1.330
1,7:31,1,10,SEA 36,0,7,Tarvaris Jackson sacked by Jason Babin for -7 yards,1.330,-0.160
1,6:58,2,17,SEA 29,0,7,Leon Washington up the middle for 4 yards (tackle by Trent Cole and Mike Patterson),-0.160,-0.300
1,6:16,3,13,SEA 33,0,7,Tarvaris Jackson pass incomplete short middle intended for Doug Baldwin,-0.300,-1.180
1,5:56,4,13,SEA 33,0,7,"Jon Ryan punts 35 yards, fair catch by DeSean Jackson",-1.180,-1.070
1,5:49,1,10,PHI 32,0,7,LeSean McCoy left end for 20 yards (tackle by Brandon Mebane),1.070,2.390
1,5:11,1,10,SEA 48,0,7,LeSean McCoy right end for -4 yards (tackle by K.J. Wright),2.390,1.310
1,4:27,2,14,PHI 48,0,7,Vince Young pass complete short right to DeSean Jackson for 5 yards (tackle by Richard Sherman),1.310,1.290
1,4:05,3,9,SEA 47,0,7,"Penalty on Danny Watkins: False Start, 5 yards (no play)",1.290,0.630
1,3:35,3,14,PHI 48,0,7,Vince Young pass complete short right to Brent Celek for 8 yards (tackle by David Hawthorne and Raheem Brock),0.630,0.330
1,2:55,4,6,SEA 44,0,7,"Chas Henry punts 32 yards, muffed catch by Leon Washington, recovered by Leon Washington and returned for no gain",0.330,0.350
1,2:44,1,10,SEA 12,0,7,Marshawn Lynch left tackle for 3 yards (tackle by Brian Rolle and Akeem Jordan),-0.350,-0.500
1,2:15,2,7,SEA 15,0,7,"Marshawn Lynch right tackle for 2 yards (tackle by Derek Landri). Penalty on Juqua Parker: Defensive Offside, 5 yards (no play)",-0.500,0.290
1,1:55,2,2,SEA 20,0,7,Marshawn Lynch left end for 16 yards (tackle by Nate Allen),0.290,1.330
1,1:16,1,10,SEA 36,0,7,Tarvaris Jackson pass incomplete short right intended for Mike Williams,1.330,0.790
1,1:10,2,10,SEA 36,0,7,Leon Washington left tackle for 3 yards (tackle by Akeem Jordan),0.790,0.500
1,0:28,3,7,SEA 39,0,7,Tarvaris Jackson pass complete short left to Doug Baldwin for 21 yards (tackle by Kurt Coleman),0.500,2.920
Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 40,0,13,"Marshawn Lynch right tackle for 40 yards, touchdown",2.920,7.000
2,,,,PHI 2,0,14,Steven Hauschka kicks extra point good,0.000,0.000
2,,,,SEA 35,0,14,"Steven Hauschka kicks off 61 yards, returned by Dion Lewis for 25 yards (tackle by Heath Farwell)",0.000,0.870
2,14:43,1,10,PHI 29,0,14,Vince Young pass complete short middle to Riley Cooper for 16 yards (tackle by Richard Sherman),0.870,1.930
2,13:59,1,10,PHI 45,0,14,DeSean Jackson up the middle for 5 yards (tackle by Brandon Browner),1.930,2.060
2,13:16,2,5,,0,14,Vince Young pass complete deep left to Riley Cooper for 47 yards (tackle by Kam Chancellor),2.060,6.510
2,12:27,1,3,SEA 3,0,14,LeSean McCoy up the middle for 2 yards (tackle by Earl Thomas and Clinton McDonald),6.510,5.910
2,11:47,2,1,SEA 1,6,14,"LeSean McCoy right tackle for 1 yard, touchdown",5.910,7.000
2,,,,SEA 2,7,14,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,7,14,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
2,11:43,1,10,SEA 20,7,14,Leon Washington up the middle for -2 yards (tackle by Brian Rolle),0.280,-0.630
2,11:08,2,12,SEA 18,7,14,Golden Tate right end for 8 yards (tackle by Brian Rolle),-0.630,-0.160
2,10:25,3,4,SEA 26,7,14,Tarvaris Jackson pass complete short left to Golden Tate for 25 yards (tackle by Nnamdi Asomugha),-0.160,2.320
2,9:39,1,10,PHI 49,7,14,Justin Forsett right tackle for 6 yards (tackle by Kurt Coleman),2.320,2.590
2,9:12,2,4,PHI 43,7,14,Justin Forsett up the middle for -1 yards (tackle by Jamar Chaney),2.590,1.750
