Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,BAL 20,0,0,Justin Forsett left guard for -2 yards (tackle by Cameron Heyward),0.280,-0.630
1,14:32,2,12,BAL 18,0,0,Joe Flacco pass complete short middle to Owen Daniels for 7 yards (tackle by Jason Worilds),-0.630,-0.630
1,13:53,2,12,BAL 18,0,0,Timeout #1 by Baltimore Ravens,-0.630,-0.300
1,13:53,3,5,BAL 25,0,0,Joe Flacco pass complete short left to Owen Daniels for 12 yards (tackle by William Gay and Ryan Shazier),-0.300,1.400
1,13:19,1,10,BAL 37,0,0,Joe Flacco pass complete short right to Torrey Smith for 14 yards (tackle by Michael Mitchell),1.400,2.320
1,12:44,1,10,PIT 49,0,0,Lorenzo Taliaferro up the middle for 6 yards (tackle by Troy Polamalu and Ryan Shazier),2.320,2.590
1,12:02,2,4,PIT 43,0,0,Lorenzo Taliaferro left tackle for 1 yard (tackle by Steve McLendon and James Harrison),2.590,2.020
1,11:20,3,3,PIT 42,0,0,Joe Flacco pass incomplete short left intended for Steve Smith,2.020,0.460
1,11:17,4,3,PIT 42,0,0,"Sam Koch punts 34 yards, fair catch by Antonio Brown",0.460,0.380
1,11:09,1,10,PIT 8,0,0,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant,-0.380,-0.780
1,11:05,2,10,PIT 8,0,0,Le'Veon Bell right tackle for 3 yards (tackle by Elvis Dumervil),-0.780,-1.070
1,10:19,3,7,PIT 11,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 3 yards (tackle by C.J. Mosley),-1.070,-2.470
1,10:00,4,4,PIT 14,0,0,"Brad Wing punts 46 yards, returned by Jacoby Jones for 25 yards (tackle by Vince Williams)",-2.470,-3.250
1,9:47,1,10,PIT 35,6,0,"Joe Flacco pass complete deep right to Torrey Smith for 35 yards, touchdown",3.250,7.000
1,9:47,,,PIT 2,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,9:47,,,BAL 35,7,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,9:41,1,10,PIT 20,7,0,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Lardarius Webb),0.280,-0.270
1,9:33,2,10,PIT 20,7,0,Le'Veon Bell up the middle for 5 yards (tackle by Daryl Smith and Matt Elam),-0.270,-0.300
1,8:48,3,5,PIT 25,7,0,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by Lardarius Webb),-0.300,-1.700
