Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 75 yards, returned by Yamon Figurs for 24 yards (tackle by Ryan Mouton). Yamon Figurs fumbles (forced by Ryan Mouton), recovered by Ricky Brown at OAK-22",0.000,0.410
1,14:52,1,10,OAK 22,0,0,Jason Campbell pass incomplete short right intended for Darren McFadden (defended by Jason Jones),0.410,-0.130
1,14:52,2,10,OAK 22,0,0,"Penalty on Jason Campbell: Delay of Game, 5 yards (no play)",-0.130,-0.940
1,14:48,2,15,OAK 17,0,0,Darren McFadden right guard for 2 yards (tackle by Tony Brown and Jamie Winborn),-0.940,-1.290
1,14:05,3,13,OAK 19,0,0,Jason Campbell pass complete short right to Brandon Myers for 5 yards (tackle by Cortland Finnegan),-1.290,-1.770
1,13:47,4,8,OAK 24,0,0,"Shane Lechler punts 54 yards, returned by Marc Mariani for 2 yards (tackle by Tyvon Branch)",-1.770,-0.540
1,13:35,1,10,TEN 24,0,0,Vince Young right end for 20 yards (tackle by Rolando McClain),0.540,1.860
1,12:56,1,10,TEN 44,0,0,Chris Johnson left tackle for 4 yards (tackle by Quentin Groves and Rolando McClain),1.860,1.860
1,12:19,2,6,TEN 48,0,0,Vince Young pass complete short right to Nate Washington for 11 yards (tackle by Tyvon Branch),1.860,2.850
1,11:39,1,10,OAK 41,0,0,Vince Young pass complete short right to Chris Johnson for -2 yards (tackle by Michael Huff),2.850,2.040
1,11:12,2,12,OAK 43,0,0,Vince Young pass incomplete short middle intended for Justin Gage (defended by Stanford Routt),2.040,1.350
1,11:07,3,12,OAK 43,0,0,"Vince Young sacked by Kamerion Wimbley for -9 yards. Vince Young fumbles (forced by Kamerion Wimbley), recovered by Richard Seymour at TEN-47 and returned for 13 yards (tackle by Jake Scott)",1.350,-3.310
1,10:53,1,10,TEN 34,0,0,Jason Campbell sacked by Will Witherspoon for -7 yards,3.310,1.830
1,10:21,2,17,TEN 41,0,0,Darren McFadden right tackle for 1 yard (tackle by Jamie Winborn and Jovan Haye),1.830,1.290
1,9:39,3,16,TEN 40,0,0,"Jason Campbell sacked by Derrick Morgan for -8 yards. Penalty on Derrick Morgan: Unnecessary Roughness, 16 yards",1.290,3.450
1,9:20,1,10,TEN 32,0,0,Jason Campbell pass complete short left to Yamon Figurs for 6 yards (tackle by Michael Griffin and Jason McCourty),3.450,3.710
1,8:51,2,4,TEN 26,0,0,Darren McFadden left tackle for 7 yards (tackle by Tony Brown),3.710,4.310
1,8:13,1,10,TEN 19,0,0,Darren McFadden right tackle for -1 yards (tackle by Jason Jones),4.310,3.630
1,7:34,2,11,TEN 20,0,0,Jason Campbell pass complete short right to Darren McFadden for 3 yards (tackle by Michael Griffin),3.630,3.260
1,7:09,3,8,TEN 17,0,0,"Penalty on Langston Walker: False Start, 5 yards (no play)",3.260,2.680
