Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rodrigo Blankenship kicks off 65 yards, returned by Keke Coutee for 22 yards (tackle by Zaire Franklin)",0.000,0.410
1,14:56,1,10,HOU 22,0,0,Deshaun Watson pass complete short left to Duke Johnson for 1 yard (tackle by Tavon Wilson),0.410,0.000
1,14:22,2,9,HOU 23,0,0,David Johnson right tackle for 1 yard (tackle by Grover Stewart),0.000,-0.560
1,13:38,3,8,HOU 24,0,0,Deshaun Watson pass incomplete short right,-0.560,-1.770
1,13:31,4,8,HOU 24,0,0,"Bryan Anger punts 52 yards, returned by Nyheim Hines for 9 yards (tackle by Justin Reid)",-1.770,-1.140
1,13:20,1,10,IND 33,0,0,Philip Rivers pass complete short right to T.Y. Hilton for 18 yards (tackle by Tyrell Adams),1.140,2.320
1,12:47,1,10,HOU 49,0,0,Jonathan Taylor up the middle for 12 yards (tackle by Justin Reid),2.320,3.120
1,12:10,1,10,HOU 37,0,0,Philip Rivers pass complete short left to Jack Doyle for 12 yards (tackle by Justin Reid and Tyrell Adams),3.120,3.910
1,11:31,1,10,HOU 25,0,0,Jonathan Taylor right guard for -2 yards (tackle by Charles Omenihu),3.910,3.090
1,10:53,2,12,HOU 27,0,0,"Penalty on Michael Pittman: False Start, 5 yards (no play)",3.090,2.420
1,10:33,2,17,HOU 32,0,0,Philip Rivers pass complete short right to Michael Pittman for 11 yards (tackle by Lonnie Johnson),2.420,3.200
1,9:59,3,6,HOU 21,6,0,"Philip Rivers pass complete short left to T.Y. Hilton for 21 yards, touchdown",3.200,7.000
1,9:52,,,HOU 15,7,0,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,9:52,,,IND 35,7,0,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
1,9:52,1,10,HOU 25,7,0,Deshaun Watson sacked by DeForest Buckner for -7 yards,0.610,-0.980
1,9:12,2,17,HOU 18,7,0,Deshaun Watson right end for 7 yards (tackle by Darius Leonard),-0.980,-0.620
1,8:42,3,10,HOU 25,7,0,Deshaun Watson pass complete deep right to Keke Coutee for 64 yards (tackle by Tavon Wilson),-0.620,4.840
1,7:56,1,10,IND 11,7,6,"Deshaun Watson right end for 11 yards, touchdown",4.840,7.000
1,7:51,,,IND 15,7,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,7:51,,,HOU 35,7,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,7:51,1,10,IND 25,7,7,Philip Rivers pass complete short left to Jordan Wilkins for -5 yards (tackle by J.J. Watt),0.610,-0.610
1,7:06,2,15,IND 20,7,7,Philip Rivers pass incomplete short middle intended for Trey Burton,-0.610,-1.290
1,7:00,3,15,IND 20,7,7,Philip Rivers pass complete short left to T.Y. Hilton for 1 yard (tackle by Vernon Hargreaves),-1.290,-1.960
1,6:32,4,14,IND 21,7,7,"Ryan Allen punts 47 yards, returned by Keke Coutee for 8 yards (tackle by Anthony Walker)",-1.960,-1.600
1,6:21,1,10,HOU 40,7,7,Deshaun Watson pass complete short middle to Brandin Cooks for 11 yards (tackle by Tavon Wilson and Julian Blackmon),1.600,2.320
1,6:00,1,10,IND 49,7,7,"Deshaun Watson pass incomplete deep left intended for Brandin Cooks. Penalty on Taylor Stallworth: Defensive Offside, 5 yards (no play)",2.320,3.050
1,5:54,1,5,IND 44,7,7,David Johnson right guard for 7 yards (tackle by Al-Quadin Muhammad),3.050,3.120
1,5:28,1,10,IND 37,7,7,David Johnson left tackle for 3 yards (tackle by DeForest Buckner),3.120,2.980
1,4:50,2,7,IND 34,7,7,Deshaun Watson pass incomplete deep middle intended for Brandin Cooks (defended by Xavier Rhodes),2.980,2.280
1,4:41,3,7,IND 34,7,7,Deshaun Watson pass incomplete deep middle intended for Brandin Cooks (defended by Anthony Walker),2.280,1.060
1,4:37,4,7,IND 34,7,10,Ka'imi Fairbairn 52 yard field goal good,1.060,3.000
1,4:33,,,HOU 35,7,10,"Ka'imi Fairbairn kicks off 69 yards, returned by Isaiah Rodgers for 32 yards (tackle by Peter Kalambayi and Keion Crossen)",0.000,0.810
1,4:28,1,10,IND 28,7,10,Philip Rivers pass incomplete short right intended for Ashton Dulin (defended by Charles Omenihu),0.810,0.260
1,4:25,2,10,IND 28,7,10,Philip Rivers pass complete short right to Mo Alie-Cox for 1 yard (tackle by Eric Murray),0.260,-0.300
1,3:40,3,9,IND 29,7,10,Philip Rivers pass complete deep right to T.Y. Hilton for 21 yards (tackle by Phillip Gaines and A.J. Moore),-0.300,2.260
1,3:23,1,10,IND 50,7,10,Philip Rivers pass complete short right to Nyheim Hines for 5 yards (tackle by Phillip Gaines),2.260,2.390
1,2:47,2,5,HOU 45,7,10,"Nyheim Hines right guard for -2 yards (tackle by Eric Murray). Penalty on Eric Murray: Face Mask (15 Yards), 15 yards (no play)",2.390,3.580
1,2:36,1,10,HOU 30,7,10,Philip Rivers pass complete short middle to Zach Pascal for 11 yards (tackle by Eric Murray and Tyrell Adams),3.580,4.310
1,2:05,1,10,HOU 19,7,10,Nyheim Hines up the middle for 1 yard (tackle by J.J. Watt and Carlos Watkins),4.310,3.880
1,1:23,2,9,HOU 18,7,10,Philip Rivers pass complete short left to T.Y. Hilton for 13 yards (tackle by Justin Reid),3.880,6.060
1,0:46,1,5,HOU 5,13,10,"Nyheim Hines right guard for 5 yards, touchdown",6.060,7.000
1,0:41,,,HOU 15,14,10,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,0:41,,,IND 35,14,10,"Rodrigo Blankenship kicks off 56 yards, returned by Keke Coutee for 17 yards (tackle by Jordan Glasgow and Ashton Dulin)",0.000,0.670
1,0:37,1,10,HOU 26,14,10,Deshaun Watson pass complete short middle to Chad Hansen for 14 yards (tackle by Anthony Walker),0.670,1.600
Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 40,14,10,Duke Johnson left tackle for 4 yards (tackle by Taylor Stallworth and Anthony Walker),1.600,1.590
