#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:59,PHI 33,4,2:16,-1,Punt
2,1,7:30,NYG 2,3,1:32,2,Touchdown
3,1,1:58,PHI 10,3,1:55,0,Punt
4,2,13:18,PHI 5,2,0:44,-5,Safety
5,2,8:53,PHI 36,9,4:55,23,Interception
6,2,1:33,PHI 25,12,1:33,68,Field Goal
7,3,15:00,PHI 47,2,0:52,2,Interception
8,3,12:33,PHI 25,12,4:48,58,Field Goal
9,3,4:20,PHI 37,10,4:24,63,Touchdown
10,4,12:29,NYG 45,3,2:07,8,Punt
11,4,6:28,NYG 48,6,2:30,46,Field Goal
12,4,3:15,PHI 32,3,1:11,-1,Punt
13,4,0:58,NYG 40,2,0:58,-2,End of Game
