Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Steven Hauschka kicks off 62 yards, muffed catch by Darren Sproles, recovered by Curtis Brinkley and returned for no gain",0.000,1.400
1,14:52,1,10,SDG 37,0,0,Ryan Mathews left tackle for 9 yards (tackle by Mario Haggan),1.400,2.070
1,14:19,2,1,SDG 46,0,0,Ryan Mathews left guard for 2 yards (tackle by Wesley Woodyard),2.070,2.130
1,13:43,1,10,SDG 48,0,0,Ryan Mathews right end for no gain (tackle by Jamal Williams),2.130,1.580
1,12:57,2,10,SDG 48,0,0,Ryan Mathews left end for no gain (tackle by Andre' Goodman),1.580,0.890
1,12:11,3,10,SDG 48,0,0,Philip Rivers sacked by Brian Dawkins for -7 yards,0.890,-0.650
1,11:46,4,17,SDG 41,0,0,"Mike Scifres punts 59 yards, touchback",-0.650,-0.280
1,11:37,1,10,DEN 20,0,0,Knowshon Moreno left guard for 3 yards (tackle by Luis Castillo),0.280,0.140
1,11:05,2,7,DEN 23,0,0,Tim Tebow pass incomplete short right intended for Daniel Coats,0.140,-0.560
1,10:58,3,7,DEN 23,0,0,Tim Tebow pass incomplete deep right intended for Brandon Lloyd,-0.560,-1.830
1,10:51,4,7,DEN 23,0,0,"Britton Colquitt punts 57 yards, returned by Antoine Cason for 14 yards (tackle by David Bruton)",-1.830,-1.200
1,10:39,1,10,SDG 34,0,0,Ryan Mathews middle for 3 yards (tackle by Mario Haggan),1.200,1.060
1,10:00,2,7,SDG 37,0,0,Philip Rivers sacked by D.J. Williams for -7 yards,1.060,-0.560
1,9:29,3,14,SDG 30,0,0,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by D.J. Williams),-0.560,-0.650
1,8:55,4,3,SDG 41,0,0,"Mike Scifres punts 59 yards, touchback",-0.650,-0.280
1,8:45,1,10,DEN 20,0,0,"Penalty on Chris Kuper: False Start, 5 yards (no play)",0.280,-0.310
1,8:45,1,15,DEN 15,0,0,Lance Ball right tackle for no gain (tackle by Kevin Burnett),-0.310,-1.070
1,8:11,2,15,DEN 15,0,0,Tim Tebow pass complete short right to Correll Buckhalter for 17 yards (tackle by Kevin Burnett and Eric Weddle),-1.070,1.070
1,7:42,1,10,DEN 32,0,0,Tim Tebow pass incomplete deep middle intended for Brandon Lloyd is intercepted by Eric Weddle at SDG-19 and returned for 23 yards,1.070,-1.730
1,7:28,1,10,SDG 42,0,0,Philip Rivers pass incomplete deep right intended for Legedu Naanee (defended by Perrish Cox),1.730,1.190
1,7:20,2,10,SDG 42,0,0,Philip Rivers pass complete short right to Ryan Mathews for 16 yards (tackle by Renaldo Hill),1.190,2.790
1,6:37,1,10,DEN 42,0,0,Ryan Mathews middle for 2 yards (tackle by Mario Haggan),2.790,2.510
1,5:55,2,8,DEN 40,0,0,Philip Rivers pass incomplete short left intended for Vincent Jackson (defended by Perrish Cox),2.510,1.820
1,5:51,3,8,DEN 40,0,0,Philip Rivers pass incomplete short middle intended for Malcom Floyd is intercepted by Renaldo Hill at DEN-29 and returned for 31 yards,1.820,-2.920
1,5:39,1,10,SDG 40,0,0,Knowshon Moreno left tackle for 2 yards (tackle by Paul Oliver),2.920,2.640
1,5:05,2,8,SDG 38,0,0,Tim Tebow pass complete short right to Jabar Gaffney for 12 yards (tackle by Brandon Siler),2.640,3.840
1,4:25,1,10,SDG 26,0,0,Tim Tebow pass incomplete short left intended for Demaryius Thomas,3.840,3.300
1,4:22,2,10,SDG 26,0,0,Lance Ball right tackle for 2 yards (tackle by Vaughn Martin),3.300,2.870
1,3:44,3,8,SDG 24,0,0,Tim Tebow middle for 10 yards (tackle by Shaun Phillips),2.870,4.650
1,3:03,1,10,SDG 14,0,6,"Tim Tebow pass complete short right to Brandon Lloyd for 14 yards, touchdown",4.650,7.000
1,,,,SDG 2,0,7,Steven Hauschka kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Steven Hauschka kicks off 72 yards, returned by Darren Sproles for 26 yards (tackle by David Veikune)",0.000,0.540
1,2:52,1,10,SDG 24,0,7,Philip Rivers pass complete short right to Ryan Mathews for no gain,0.540,0.000
1,2:07,2,10,SDG 24,0,7,Ryan Mathews middle for 3 yards (tackle by Brian Dawkins),0.000,-0.300
1,1:24,3,7,SDG 27,0,7,Philip Rivers pass complete short right to Kelley Washington for 16 yards (tackle by Perrish Cox),-0.300,1.800
1,0:48,1,10,SDG 43,0,7,Ryan Mathews middle for 2 yards (tackle by Mario Haggan),1.800,1.520
1,0:11,2,8,SDG 45,0,7,Philip Rivers middle for 1 yard (tackle by Wesley Woodyard),1.520,0.960
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,SDG 46,0,7,Philip Rivers pass complete deep right to Vincent Jackson for 19 yards (tackle by Nate Jones),0.960,3.250
2,14:34,1,10,DEN 35,0,7,Philip Rivers pass complete short middle to Vincent Jackson for 8 yards (tackle by Mario Haggan),3.250,3.780
2,14:00,2,2,DEN 27,6,7,"Ryan Mathews middle for 27 yards, touchdown. Penalty on Brian Dawkins: Face Mask (15 Yards), 15 yards",3.780,7.000
2,,,,DEN 2,7,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 45,7,7,"Nate Kaeding kicks off 55 yards, touchback",0.000,0.280
2,13:51,1,10,DEN 20,7,7,Lance Ball right tackle for 4 yards (tackle by Quentin Jammer),0.280,0.270
2,13:13,2,6,DEN 24,7,7,"Tim Tebow pass incomplete deep right intended for Brandon Lloyd. Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",0.270,-1.180
2,13:07,2,16,DEN 14,7,7,Correll Buckhalter middle for 3 yards (tackle by Antwan Barnes),-1.180,-1.510
2,12:29,3,13,DEN 17,7,7,Tim Tebow pass incomplete short right intended for Brandon Lloyd,-1.510,-2.320
2,12:23,4,13,DEN 17,7,7,"Britton Colquitt punts 52 yards, returned by Antoine Cason for 19 yards (tackle by Nate Jones)",-2.320,-2.260
2,12:10,1,10,,7,7,Philip Rivers pass incomplete short right intended for Kion Wilson (defended by Justin Bannan),2.260,1.710
2,12:06,2,10,,7,7,"Ryan Mathews right tackle for 2 yards (tackle by Perrish Cox). Ryan Mathews fumbles (forced by Perrish Cox), recovered by Ryan Mathews at DEN-48",1.710,1.290
2,11:23,3,8,DEN 48,7,7,Philip Rivers pass complete deep right to Malcom Floyd for 41 yards (tackle by Brian Dawkins). Penalty on Perrish Cox: Defensive Pass Interfere (Declined),1.290,5.600
2,11:02,1,7,DEN 7,7,7,Darren Sproles middle for 3 yards (tackle by Mario Haggan),5.600,5.340
2,10:24,2,4,DEN 4,7,7,"Philip Rivers pass incomplete short right intended for Vincent Jackson. Penalty on Philip Rivers: Intentional Grounding, 16 yards",5.340,2.340
2,10:19,3,20,DEN 20,7,7,Philip Rivers sacked by Kevin Vickerson for -4 yards,2.340,1.870
2,10:04,4,24,DEN 24,10,7,Nate Kaeding 42 yard field goal good,1.870,3.000
2,,,,SDG 30,10,7,"Nate Kaeding kicks off 70 yards, returned by Eric Decker for 30 yards (tackle by Brandon Moore)",0.000,0.940
2,9:52,1,10,DEN 30,10,7,Knowshon Moreno right guard for 2 yards (tackle by Jacques Cesaire),0.940,0.660
2,9:16,2,8,DEN 32,10,7,Tim Tebow pass incomplete deep left intended for Jabar Gaffney,0.660,-0.030
2,9:07,3,8,DEN 32,10,7,Tim Tebow pass incomplete short right intended for Daniel Graham,-0.030,-1.240
2,9:01,4,8,DEN 32,10,7,Britton Colquitt punts 51 yards,-1.240,0.060
2,8:50,1,10,SDG 17,10,7,Ryan Mathews left guard for 2 yards (tackle by Robert Ayers),-0.060,-0.250
2,8:09,2,8,SDG 19,10,7,Philip Rivers pass complete short left to Ryan Mathews for 3 yards (tackle by Andre' Goodman),-0.250,-0.620
2,7:24,3,5,SDG 22,10,7,Philip Rivers pass complete deep right to Vincent Jackson for 26 yards (tackle by Perrish Cox),-0.620,2.130
2,6:46,1,10,SDG 48,10,7,Philip Rivers pass incomplete deep left intended for Malcom Floyd,2.130,1.580
