Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,SFO 20,0,0,Frank Gore right end for 1 yard (tackle by Jerod Mayo),0.280,-0.130
1,14:22,2,9,SFO 21,0,0,J.T. O'Sullivan pass incomplete short middle intended for Delanie Walker,-0.130,-0.820
1,14:16,3,9,SFO 21,0,0,J.T. O'Sullivan pass incomplete short left intended for Isaac Bruce,-0.820,-1.960
1,14:09,4,9,SFO 21,0,0,"Andy Lee punts 55 yards, returned by Kevin Faulk for 13 yards (tackle by Brian Jennings)",-1.960,-1.400
1,13:57,1,10,NWE 37,0,0,Laurence Maroney left tackle for 4 yards (tackle by Takeo Spikes),1.400,1.400
1,13:23,2,6,NWE 41,0,0,Matt Cassel pass complete short left to Wes Welker for 7 yards (tackle by Donald Strickland),1.400,2.130
1,13:03,1,10,NWE 48,0,0,Matt Cassel pass incomplete short right intended for Wes Welker is intercepted by Takeo Spikes at SFO-42 and returned for 13 yards (tackle by Wes Welker),2.130,-2.590
1,12:51,1,10,NWE 45,0,0,J.T. O'Sullivan pass incomplete deep middle intended for Delanie Walker is intercepted by Brandon Meriweather at NWE-4,2.590,0.380
1,12:44,1,10,NWE 4,0,0,Laurence Maroney right guard for 4 yards (tackle by Michael Lewis and Patrick Willis),-0.380,-0.490
1,12:08,2,6,NWE 8,0,0,Laurence Maroney left end for no gain (tackle by Donald Strickland),-0.490,-0.950
1,11:26,3,6,NWE 8,0,0,Matt Cassel pass complete short middle to Wes Welker for no gain,-0.950,-2.490
1,10:49,4,6,NWE 8,0,0,"Chris Hanson punts 35 yards, returned by Nate Clements for 13 yards (tackle by Lonie Paxton)",-2.490,-3.580
1,10:32,1,10,NWE 30,0,0,Frank Gore up the middle for 6 yards (tackle by Ty Warren),3.580,3.840
1,10:03,2,4,NWE 24,0,0,Frank Gore left guard for 2 yards (tackle by Ty Warren),3.840,3.400
1,9:22,3,2,NWE 22,0,0,"J.T. O'Sullivan up the middle for 1 yard (tackle by Adalius Thomas). Penalty on Deltha O'Neal: Defensive Holding, 5 yards",3.400,4.510
1,9:05,1,10,NWE 16,0,6,"J.T. O'Sullivan pass complete deep middle to Frank Gore for 16 yards, touchdown",4.510,7.000
1,,,,NWE 2,0,7,Joe Nedney kicks extra point good,0.000,0.000
1,,,,SFO 30,0,7,"Joe Nedney kicks off 73 yards, returned by Ellis Hobbs for 35 yards (tackle by Donald Strickland)",0.000,1.070
1,8:49,1,10,NWE 32,0,7,Matt Cassel pass complete short left to Kevin Faulk for 2 yards (tackle by Donald Strickland),1.070,0.800
1,8:21,2,8,NWE 34,0,7,"Matt Cassel for no gain. Matt Cassel fumbles, recovered by Matt Cassel at NWE-34",0.800,0.100
1,7:44,3,8,NWE 34,6,7,"Matt Cassel pass complete deep middle to Randy Moss for 66 yards, touchdown",0.100,7.000
1,,,,SFO 2,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,7,"Stephen Gostkowski kicks off 68 yards, returned by Allen Rossum for 34 yards (tackle by Pierre Woods)",0.000,1.330
1,7:29,1,10,SFO 36,7,7,Frank Gore right guard for 4 yards (tackle by Vince Wilfork and Ty Warren),1.330,1.330
1,6:44,2,6,SFO 40,7,7,J.T. O'Sullivan pass complete deep left to Isaac Bruce for 38 yards (tackle by James Sanders),1.330,4.110
1,5:59,1,10,NWE 22,7,7,Frank Gore for 16 yards (tackle by Ellis Hobbs),4.110,5.830
1,5:31,1,6,NWE 6,7,13,"J.T. O'Sullivan pass complete short right to Isaac Bruce for 6 yards, touchdown",5.830,7.000
1,,,,NWE 2,7,14,Joe Nedney kicks extra point good,0.000,0.000
1,,,,SFO 30,7,14,"Joe Nedney kicks off 62 yards, returned by Ellis Hobbs for 16 yards (tackle by Delanie Walker)",0.000,0.540
1,5:20,1,10,NWE 24,7,14,Sammy Morris up the middle for 2 yards (tackle by Patrick Willis). Penalty on Matt Light: Illegal Formation (Declined),0.540,0.270
