Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,MIN,21,71,0,3,15,0.7,56,2.7,0,
Alexander Mattison,MIN,3,6,0,,3,1.0,3,1.0,0,
Ameer Abdullah,MIN,1,2,0,0,2,2.0,0,0.0,0,
Kirk Cousins,MIN,1,5,0,0,5,5.0,0,0.0,0,
Stefon Diggs,MIN,1,12,0,1,10,10.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Damien Williams,KAN,12,125,1,2,31,2.6,94,7.8,0,
LeSean McCoy,KAN,3,9,0,,4,1.3,5,1.7,0,
Mecole Hardman,KAN,1,7,0,,7,7.0,0,0.0,0,
Tyreek Hill,KAN,1,5,0,0,4,4.0,1,1.0,0,
Darrel Williams,KAN,1,1,0,,0,0.0,1,1.0,0,
