Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dave Rayner kicks off 69 yards, returned by Joe McKnight for 32 yards (tackle by Arthur Moats)",0.000,0.810
1,14:53,1,10,NYJ 28,0,0,John Conner right tackle for 4 yards (tackle by Kellen Heard),0.810,0.800
1,14:18,2,6,NYJ 32,0,0,Mark Sanchez pass incomplete short left intended for Dustin Keller,0.800,0.100
1,14:14,3,6,NYJ 32,0,0,Mark Sanchez pass incomplete deep right intended for Dustin Keller,0.100,-1.240
1,14:05,4,6,NYJ 32,0,0,"T.J. Conley punts 45 yards, fair catch by Leodis McKelvin",-1.240,-0.480
1,14:01,1,10,BUF 23,0,0,C.J. Spiller right guard for 1 yard (tackle by Sione Pouha),0.480,0.070
1,13:26,2,9,BUF 24,0,0,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson (defended by Darrelle Revis),0.070,-0.630
1,13:21,3,9,BUF 24,0,0,Ryan Fitzpatrick pass incomplete deep left intended for David Nelson (defended by Kyle Wilson),-0.630,-1.770
1,13:16,4,9,BUF 24,0,0,"Brian Moorman punts 31 yards. Penalty on Nick Bellore: Offensive Holding, 10 yards",-1.770,-1.270
1,13:08,1,10,NYJ 35,0,0,Santonio Holmes right end for 5 yards (tackle by Drayton Florence),1.270,1.400
1,12:29,2,5,NYJ 40,0,0,Shonn Greene right guard for 3 yards (tackle by Chris Kelsay),1.400,1.090
1,11:50,3,2,NYJ 43,0,0,Shonn Greene left end for 16 yards (tackle by Nick Barnett),1.090,2.850
1,11:17,1,10,BUF 41,0,0,Mark Sanchez pass incomplete deep middle intended for Plaxico Burress (defended by Drayton Florence),2.850,2.310
1,11:13,2,10,BUF 41,0,0,Shonn Greene up the middle for 2 yards (tackle by Nick Barnett),2.310,1.880
1,10:36,3,8,BUF 39,0,0,Mark Sanchez pass incomplete short left intended for Dustin Keller,1.880,0.660
1,10:32,4,8,BUF 39,0,0,"T.J. Conley punts 29 yards, fair catch by Leodis McKelvin",0.660,0.380
1,10:25,1,10,BUF 10,0,0,C.J. Spiller left tackle for 4 yards (tackle by Muhammad Wilkerson),-0.380,-0.460
1,9:48,2,6,BUF 14,0,0,"C.J. Spiller left end for no gain (tackle by Darrelle Revis). Penalty on Brodney Pool: Face Mask (15 Yards), 15 yards (no play)",-0.460,0.870
1,9:26,1,10,BUF 29,0,0,Ryan Fitzpatrick pass complete deep right to Brad Smith for 17 yards (tackle by Antonio Cromartie),0.870,1.990
1,8:44,1,10,BUF 46,0,0,C.J. Spiller right guard for 7 yards (tackle by Calvin Pace),1.990,2.400
1,8:11,2,3,NYJ 47,0,0,"C.J. Spiller right tackle for no gain (tackle by Sione Pouha). Penalty on Erik Pears: Offensive Holding, 10 yards (no play)",2.400,1.050
1,7:44,2,13,BUF 43,0,0,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Darrelle Revis),1.050,1.420
1,6:58,3,5,NYJ 49,0,0,Ryan Fitzpatrick pass complete short left to Scott Chandler for 13 yards (tackle by Jim Leonhard and Brodney Pool),1.420,3.180
1,6:21,1,10,NYJ 36,0,0,"C.J. Spiller right end for no gain (tackle by David Harris). Penalty on Chad Rinehart: Offensive Holding, 10 yards (no play)",3.180,2.520
1,5:54,1,20,NYJ 46,0,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 15 yards (tackle by Jim Leonhard),2.520,3.310
1,5:16,2,5,NYJ 31,0,0,C.J. Spiller left guard for 3 yards (tackle by David Harris),3.310,3.010
1,4:32,3,2,NYJ 28,0,0,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 13 yards,3.010,4.580
1,4:02,1,10,NYJ 15,0,0,C.J. Spiller left end for 7 yards (tackle by Antonio Cromartie),4.580,5.220
1,3:31,2,3,NYJ 8,0,0,Johnny White left guard for 2 yards (tackle by David Harris),5.220,4.900
1,2:49,,,,0,0,Timeout #1 by New York Jets,0.000,4.900
1,2:49,3,1,NYJ 6,0,0,C.J. Spiller right end for 1 yard (tackle by Darrelle Revis),4.900,6.060
1,2:22,1,5,NYJ 5,0,0,C.J. Spiller right guard for -3 yards (tackle by Muhammad Wilkerson),6.060,4.570
1,1:41,2,8,NYJ 8,6,0,"Ryan Fitzpatrick pass complete short middle to David Nelson for 8 yards, touchdown",4.570,7.000
1,,,,NYJ 2,7,0,Dave Rayner kicks extra point good,0.000,0.000
