Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 66 yards, returned by Keshawn Martin for 20 yards (tackle by Robert Francois)",0.000,0.150
1,14:54,1,10,HOU 19,0,0,Matt Schaub sacked by C.J. Wilson for -2 yards,0.150,-0.720
1,14:34,2,12,HOU 17,0,0,Matt Schaub pass incomplete short left intended for Arian Foster,-0.720,-1.420
1,14:27,3,12,HOU 17,0,0,Ben Tate up the middle for 10 yards (tackle by M.D. Jennings and Tramon Williams),-1.420,-1.570
1,13:51,4,2,HOU 27,0,0,"Donnie Jones punts 50 yards, returned by Randall Cobb for 10 yards (tackle by Bryan Braman)",-1.570,-1.140
1,13:38,1,10,GNB 33,0,0,Alex Green right guard for 3 yards (tackle by Glover Quin and J.J. Watt),1.140,1.000
1,13:15,2,7,GNB 36,0,0,Alex Green right tackle for 2 yards (tackle by Brooks Reed),1.000,0.560
1,12:44,3,5,GNB 38,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Johnathan Joseph),0.560,2.060
1,12:27,1,10,GNB 47,0,0,Alex Green right tackle for 7 yards (tackle by Bradie James and Glover Quin),2.060,2.460
1,12:03,2,3,HOU 46,0,0,Aaron Rodgers pass incomplete short left intended for Randall Cobb (defended by Brice McCain),2.460,1.750
1,11:57,3,3,HOU 46,0,0,Aaron Rodgers pass incomplete deep left intended for James Jones,1.750,0.200
1,11:51,4,3,HOU 46,0,0,"Penalty on DeVier Posey: Defensive Offside, 5 yards (no play)",0.200,2.850
1,11:42,1,10,HOU 41,6,0,"Aaron Rodgers pass complete deep right to Jordy Nelson for 41 yards, touchdown",2.850,7.000
1,11:42,,,HOU 2,7,0,"Mason Crosby kicks extra point good. Penalty on Danieal Manning: Defensive Offside (Declined), Penalty on Bradie James: Unnecessary Roughness, 15 yards",0.000,0.000
1,11:34,,,,7,0,"Mason Crosby kicks off 50 yards, returned by Keshawn Martin for 14 yards (tackle by Robert Francois)",0.000,-0.280
1,11:29,1,10,HOU 14,7,0,Matt Schaub pass complete short left to James Casey for 15 yards (tackle by D.J. Smith),-0.280,0.870
1,11:02,1,10,HOU 29,7,0,Matt Schaub pass incomplete deep left intended for Kevin Walter,0.870,0.330
1,10:55,2,10,HOU 29,7,0,Arian Foster right tackle for 4 yards (tackle by Clay Matthews),0.330,0.170
1,10:16,3,6,HOU 33,7,0,Matt Schaub sacked by Jerel Worthy for -10 yards,0.170,-1.830
1,9:50,4,16,HOU 23,7,0,"Donnie Jones punts 50 yards, out of bounds",-1.830,-0.740
1,9:41,1,10,GNB 27,7,0,Aaron Rodgers pass complete short left to Randall Cobb for 9 yards (tackle by Brice McCain and Johnathan Joseph),0.740,1.410
1,9:12,2,1,GNB 36,7,0,Alex Green up the middle for 10 yards (tackle by Bradie James and Troy Nolan),1.410,1.990
1,8:51,1,10,GNB 46,7,0,Aaron Rodgers pass complete short right to Jermichael Finley for 1 yard (tackle by Glover Quin),1.990,1.590
1,8:25,2,9,GNB 47,7,0,Aaron Rodgers sacked by J.J. Watt for -6 yards,1.590,0.100
1,7:49,3,15,GNB 41,7,0,Aaron Rodgers pass complete deep right to Randall Cobb for 16 yards (tackle by Johnathan Joseph),0.100,2.720
1,7:30,1,10,HOU 43,7,0,Alex Green right guard for 1 yard (tackle by Glover Quin),2.720,2.310
1,7:02,2,9,HOU 42,7,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,2.310,1.620
1,6:56,3,9,HOU 42,7,0,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,1.620,0.460
1,6:50,4,9,HOU 42,7,0,Tim Masthay punts 39 yards,0.460,0.380
1,6:39,1,10,HOU 3,7,0,Arian Foster left tackle for 2 yards (tackle by Clay Matthews),-0.380,-0.630
1,6:01,2,8,HOU 5,7,0,Matt Schaub pass complete short right to Owen Daniels for 4 yards (tackle by Tramon Williams),-0.630,-0.720
1,5:16,3,4,HOU 9,7,0,"Penalty on Duane Brown: False Start, 4 yards (no play)",-0.720,-1.190
1,4:58,3,8,HOU 5,7,0,Matt Schaub pass complete short right to Andre Johnson for 12 yards (tackle by M.D. Jennings),-1.190,-0.060
1,4:19,1,10,HOU 17,7,0,Arian Foster left tackle for 2 yards (tackle by Morgan Burnett),-0.060,-0.250
1,3:45,2,8,HOU 19,7,0,Arian Foster left tackle for -2 yards (tackle by Clay Matthews),-0.250,-1.250
1,3:03,3,10,HOU 17,7,0,Matt Schaub pass incomplete short middle intended for Owen Daniels,-1.250,-2.320
1,2:59,4,10,HOU 17,7,0,"Donnie Jones punts 55 yards, returned by Randall Cobb for 16 yards (tackle by Mister Alexander)",-2.320,-1.860
1,2:46,1,10,GNB 44,7,0,Aaron Rodgers pass complete short middle to Randall Cobb for 24 yards (tackle by Kareem Jackson),1.860,3.450
1,2:11,1,10,HOU 32,7,0,Aaron Rodgers pass complete short left to James Jones for 9 yards (tackle by Troy Nolan),3.450,4.120
1,1:56,2,1,HOU 23,7,0,Alex Green left tackle for 3 yards (tackle by Earl Mitchell),4.120,4.240
1,1:25,1,10,HOU 20,7,0,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,4.240,3.690
1,1:19,2,10,HOU 20,7,0,Aaron Rodgers pass complete short middle to Tom Crabtree for 14 yards (tackle by Glover Quin and Earl Mitchell),3.690,5.830
1,0:32,1,6,HOU 6,13,0,"Aaron Rodgers pass complete short right to James Jones for 6 yards, touchdown",5.830,7.000
1,0:32,,,HOU 2,14,0,Mason Crosby kicks extra point good,0.000,0.000
1,0:24,,,GNB 35,14,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,0:24,1,10,HOU 20,14,0,Arian Foster left guard for -1 yards (tackle by Jerel Worthy),0.280,-0.460
Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,HOU 19,14,0,Matt Schaub pass complete short left to Andre Johnson for 12 yards (tackle by Tramon Williams and Morgan Burnett),-0.460,1.000
