Quarter,Time,Down,ToGo,Location,OAK,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 50 yards, returned by Mike Sellers for 17 yards (tackle by Derrick Burgess)",0.000,1.400
1,14:53,1,10,WAS 37,0,0,Mark Brunell pass complete to Chris Cooley for 7 yards (tackle by Renaldo Hill),1.400,1.800
1,14:13,2,3,WAS 44,0,0,Clinton Portis left end for 6 yards (tackle by Stuart Schweigert and Tommy Kelly),1.800,2.260
1,13:32,1,10,WAS 50,0,0,Clinton Portis right end for 1 yard (tackle by Derrick Burgess),2.260,1.850
1,12:53,2,9,OAK 49,0,0,Clinton Portis right tackle for 5 yards (tackle by Danny Clark),1.850,1.820
1,12:13,3,4,OAK 44,0,0,Mark Brunell pass incomplete intended for Chris Cooley,1.820,0.330
1,12:09,4,4,OAK 44,0,0,"Derrick Frost punts 33 yards, fair catch by Chris Carr",0.330,0.370
1,12:02,1,10,OAK 11,0,0,LaMont Jordan left tackle for 1 yard (tackle by Lemar Marshall),-0.370,-0.710
1,11:29,2,9,OAK 12,0,0,Kerry Collins pass complete to LaMont Jordan for 1 yard (tackle by Shawn Springs),-0.710,-1.190
1,10:43,3,8,OAK 13,0,6,"Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Lemar Marshall at OAK-17 and returned for 17 yards, touchdown",-1.190,-7.000
1,,,,OAK 2,0,7,John Hall kicks extra point good,0.000,0.000
1,,,,WAS 30,0,7,"John Hall kicks off 59 yards, returned by Chris Carr for 7 yards (tackle by Sean Taylor)",0.000,0.040
1,10:30,1,10,OAK 18,0,7,LaMont Jordan left end for 2 yards (tackle by Lemar Marshall),0.040,-0.130
1,9:55,2,8,OAK 20,0,7,LaMont Jordan right end for -3 yards (tackle by Marcus Washington),-0.130,-1.340
1,9:11,3,11,OAK 17,0,7,Kerry Collins pass incomplete intended for Courtney Anderson,-1.340,-2.320
1,9:06,4,11,OAK 17,0,7,"Shane Lechler punts 50 yards, returned by Santana Moss for 3 yards (tackle by Isaiah Ekejiuba)",-2.320,-1.330
1,8:56,1,10,WAS 36,0,7,Mark Brunell pass complete to Chris Cooley for 15 yards (tackle by Stuart Schweigert),1.330,2.320
1,8:32,1,10,OAK 49,0,7,Clinton Portis left end for 2 yards (tackle by Danny Clark and Nnamdi Asomugha),2.320,2.050
1,7:57,2,8,OAK 47,0,7,Clinton Portis left end for 6 yards (tackle by Nnamdi Asomugha),2.050,2.150
1,7:24,3,2,OAK 41,0,7,Clinton Portis left tackle for 1 yard (tackle by Danny Clark),2.150,0.590
1,7:24,4,1,OAK 40,0,7,"Penalty on Derrick Frost: Delay of Game, 5 yards (no play)",0.590,0.270
1,6:29,4,6,OAK 45,0,7,Derrick Frost punts 36 yards,0.270,0.380
1,6:16,1,10,OAK 9,0,7,LaMont Jordan left end for 1 yard (tackle by Joe Salave'a),-0.380,-0.710
1,5:39,2,9,OAK 10,0,7,Kerry Collins pass complete to Jerry Porter for 29 yards,-0.710,1.530
1,5:15,1,10,OAK 39,0,7,Kerry Collins pass incomplete intended for Randy Moss (defended by Sean Taylor),1.530,0.990
1,5:07,2,10,OAK 39,0,7,Kerry Collins pass incomplete intended for Alvis Whitted,0.990,0.300
