Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Todd Sauerbrun kicks off 64 yards, returned by Terrence McGee for 19 yards (tackle by Nate Jackson)",0.000,0.610
1,14:56,1,10,BUF 25,0,0,Marshawn Lynch left guard for 4 yards (tackle by Amon Gordon and John Engelberger),0.610,0.600
1,14:17,2,6,BUF 29,0,0,Marshawn Lynch right tackle for 9 yards (tackle by Elvis Dumervil),0.600,1.470
1,13:35,1,10,BUF 38,0,0,Marshawn Lynch right tackle for 5 yards (tackle by D.J. Williams and Champ Bailey),1.470,1.600
1,12:56,2,5,BUF 43,0,0,J.P. Losman right end for 13 yards (tackle by D.J. Williams),1.600,2.650
1,12:22,1,10,DEN 44,0,0,J.P. Losman pass complete short left to Roscoe Parrish for 14 yards (tackle by Elvis Dumervil),2.650,3.580
1,11:34,1,10,DEN 30,0,0,Anthony Thomas left guard for no gain (tackle by Amon Gordon),3.580,3.030
1,10:54,2,10,DEN 30,0,0,J.P. Losman sacked by D.J. Williams for -14 yards,3.030,0.500
1,10:15,3,24,DEN 44,0,0,J.P. Losman pass complete short left to Lee Evans for 4 yards (tackle by Dre' Bly),0.500,0.590
1,9:35,4,20,DEN 40,0,0,Brian Moorman punts 39 yards,0.590,0.380
1,9:22,1,10,DEN 1,0,0,Cecil Sapp up the middle for 1 yard (tackle by Paul Posluszny and Coy Wire),-0.380,-0.710
1,8:47,2,9,DEN 2,0,0,Travis Henry right end for 33 yards (tackle by Chris Kelsay),-0.710,1.270
1,8:07,1,10,DEN 35,0,0,Travis Henry right tackle for -2 yards (tackle by Donte Whitner),1.270,0.450
1,7:24,2,12,DEN 33,0,0,Travis Henry right tackle for -1 yards (tackle by Terrence McGee),0.450,-0.360
1,6:38,3,13,DEN 32,0,0,Jay Cutler pass incomplete short middle intended for Travis Henry,-0.360,-1.240
1,6:34,4,13,DEN 32,0,6,"Todd Sauerbrun punts 42 yards, returned by Roscoe Parrish for 74 yards, touchdown",-1.240,-7.000
1,,,,DEN 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
