Quarter,Time,Tm,Detail,MIN,DET
1.0,5:29,Vikings,Kyle Rudolph 1 yard pass from Case Keenum (Kai Forbath kick failed),6,0
,3:55,Vikings,Case Keenum 9 yard rush (Kai Forbath kick),13,0
2.0,10:15,Lions,Matt Prater 32 yard field goal,13,3
,0:37,Vikings,Kyle Rudolph 22 yard pass from Case Keenum (Kai Forbath kick),20,3
,0:10,Lions,Marvin Jones 6 yard pass from Matthew Stafford (Matt Prater kick),20,10
3.0,12:52,Vikings,Latavius Murray 2 yard rush (Kai Forbath kick),27,10
,7:08,Lions,Matt Prater 32 yard field goal,27,13
,1:03,Lions,Matt Prater 50 yard field goal,27,16
4.0,14:16,Lions,Marvin Jones 43 yard pass from Matthew Stafford (Matt Prater kick),27,23
,3:42,Vikings,Kai Forbath 36 yard field goal,30,23
