Quarter,Time,Down,ToGo,Location,SDG,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Olindo Mare kicks off 71 yards, returned by Darren Sproles for 20 yards (tackle by Michael Robinson)",0.000,0.150
1,14:54,1,10,SDG 19,0,0,Darren Sproles right guard for 16 yards (tackle by Marcus Trufant and Earl Thomas),0.150,1.270
1,14:13,1,10,SDG 35,0,0,Mike Tolbert right tackle for 1 yard (tackle by Aaron Curry and David Hawthorne),1.270,0.860
1,13:28,2,9,SDG 36,0,0,"Philip Rivers pass complete short left to Legedu Naanee for 9 yards (tackle by Lofa Tatupu). Legedu Naanee fumbles (forced by Lofa Tatupu), recovered by Red Bryant at SDG-46 (tackle by Mike Tolbert)",0.860,-2.520
1,13:20,1,10,SDG 46,0,0,Justin Forsett middle for 1 yard (tackle by Antonio Garay),2.520,2.110
1,12:45,2,9,SDG 45,0,0,Matt Hasselbeck pass complete short left to Golden Tate for 5 yards (tackle by Shaun Phillips),2.110,2.080
1,12:08,3,4,SDG 40,0,0,Matt Hasselbeck pass incomplete short right intended for Justin Forsett,2.080,0.590
1,12:02,4,4,SDG 40,0,0,"Jon Ryan punts 40 yards, touchback",0.590,-0.280
1,11:52,1,10,SDG 20,0,0,Philip Rivers pass incomplete short left intended for Jacob Hester,0.280,-0.270
1,11:49,2,10,SDG 20,0,0,Philip Rivers pass complete short right to Malcom Floyd for 11 yards (tackle by Marcus Trufant),-0.270,1.000
1,11:10,1,10,SDG 31,0,0,Philip Rivers pass complete deep left to Legedu Naanee for 20 yards (tackle by Earl Thomas),1.000,2.320
1,10:27,1,10,SEA 49,0,0,Legedu Naanee left end for -7 yards (tackle by Chris Clemons and Aaron Curry),2.320,0.840
1,9:43,2,17,SDG 44,0,0,Mike Tolbert right tackle for 2 yards (tackle by David Hawthorne and Lawyer Milloy),0.840,0.430
1,9:02,3,15,SDG 46,0,0,Philip Rivers sacked by Chris Clemons for -6 yards,0.430,-0.720
1,8:38,4,21,SDG 40,0,0,"Mike Scifres punts 46 yards, returned by Golden Tate for no gain",-0.720,0.280
1,8:27,1,10,SEA 14,0,0,Matt Hasselbeck pass incomplete deep right intended for Mike Williams (defended by Quentin Jammer),-0.280,-0.750
1,8:23,2,10,SEA 14,0,0,Justin Forsett middle for 3 yards (tackle by Brandon Siler),-0.750,-1.040
1,7:46,3,7,SEA 17,0,0,"Penalty on Chris Spencer: False Start, 5 yards (no play)",-1.040,-1.650
1,7:26,3,12,SEA 12,0,0,Matt Hasselbeck pass complete short left to Mike Williams for 13 yards (tackle by Antoine Cason),-1.650,0.610
1,6:44,1,10,SEA 25,0,0,Justin Forsett right tackle for 4 yards (tackle by Antonio Garay),0.610,0.600
1,6:09,2,6,SEA 29,0,0,Matt Hasselbeck pass complete short left to John Carlson for 4 yards (tackle by Shawne Merriman),0.600,0.430
1,5:31,3,2,SEA 33,0,0,Justin Forsett right tackle for 6 yards (tackle by Brandon Siler),0.430,1.530
1,4:48,1,10,SEA 39,0,0,Matt Hasselbeck pass incomplete short middle intended for John Carlson,1.530,0.990
1,4:45,2,10,SEA 39,0,0,Matt Hasselbeck pass complete short left to Deion Branch for no gain,0.990,0.300
1,4:07,3,10,SEA 39,0,0,Matt Hasselbeck sacked by Antwan Applewhite for -4 yards,0.300,-1.040
1,3:43,4,14,SEA 35,0,0,"Jon Ryan punts 41 yards, returned by Patrick Crayton for 13 yards (tackle by Will Herring)",-1.040,-1.400
1,3:32,1,10,SDG 37,0,0,Mike Tolbert right end for 12 yards (tackle by Earl Thomas and Lawyer Milloy),1.400,2.190
1,2:52,1,10,SDG 49,0,0,Philip Rivers pass incomplete deep middle intended for Malcom Floyd (defended by Kelly Jennings),2.190,1.650
1,2:45,2,10,SDG 49,0,0,Legedu Naanee left tackle for 5 yards (tackle by Lofa Tatupu and Chris Clemons),1.650,1.620
1,2:01,3,5,SEA 46,0,0,"Penalty on Chris Clemons: Neutral Zone Infraction, 4 yards (no play)",1.620,2.150
1,1:41,3,1,SEA 42,0,0,Mike Tolbert right tackle for -1 yards (tackle by Red Bryant),2.150,0.400
1,1:12,4,2,SEA 43,0,0,"Mike Scifres punts 28 yards, fair catch by Golden Tate",0.400,0.220
1,1:06,1,10,SEA 15,0,0,Justin Forsett right guard for -1 yards (tackle by Brandon Siler),-0.220,-0.820
1,0:27,2,11,SEA 14,0,0,Matt Hasselbeck pass incomplete short right intended for Deion Branch (defended by Donald Strickland),-0.820,-1.510
1,0:22,3,11,SEA 14,0,0,Matt Hasselbeck pass complete short right to Golden Tate for 11 yards (tackle by Quentin Jammer),-1.510,0.610
Quarter,Time,Down,ToGo,Location,SDG,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 25,0,0,Justin Forsett left guard for 28 yards (tackle by Eric Weddle),0.610,2.460
2,14:20,1,10,SDG 47,0,0,Matt Hasselbeck pass complete deep left to John Carlson for 37 yards (tackle by Steve Gregory),2.460,4.910
2,13:37,1,10,SDG 10,0,0,Matt Hasselbeck pass complete short left to Golden Tate for 8 yards (tackle by Antoine Cason),4.910,5.720
2,12:53,2,2,SDG 2,0,0,Justin Forsett middle for -3 yards (tackle by Eric Weddle),5.720,4.260
2,12:11,3,5,SDG 5,0,0,Justin Forsett right end for no gain (tackle by Steve Gregory),4.260,3.010
2,11:31,4,5,SDG 5,0,3,Olindo Mare 23 yard field goal good,3.010,3.000
2,,,,SEA 30,0,3,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
2,11:28,1,10,SDG 20,0,3,Philip Rivers sacked by Brandon Mebane for -7 yards,0.280,-1.280
2,10:55,2,17,SDG 13,0,3,Philip Rivers pass incomplete deep right intended for Antonio Gates,-1.280,-2.190
2,10:50,3,17,SDG 13,0,3,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Jordan Babineaux and Lofa Tatupu),-2.190,-2.140
2,10:11,4,11,SDG 19,0,3,"Mike Scifres punts 53 yards, returned by Golden Tate for 31 yards (tackle by Mike Tolbert)",-2.140,-2.850
2,9:57,1,10,SDG 41,0,3,Matt Hasselbeck pass incomplete deep right intended for Mike Williams is intercepted by Quentin Jammer at SDG-0,2.850,-0.280
2,9:48,1,10,SDG 20,0,3,"Penalty on Tyronne Green: False Start, 5 yards (no play)",0.280,-0.310
2,9:48,1,15,SDG 15,0,3,Mike Tolbert left tackle for 3 yards (tackle by Red Bryant),-0.310,-0.630
2,9:07,2,12,SDG 18,0,3,Philip Rivers pass incomplete short left intended for Antonio Gates,-0.630,-1.330
2,9:03,3,12,SDG 18,0,3,Philip Rivers pass complete deep left to Malcom Floyd for 16 yards (tackle by Kelly Jennings),-1.330,1.200
2,8:30,1,10,SDG 34,0,3,Philip Rivers pass incomplete short right intended for Legedu Naanee,1.200,0.660
2,8:26,2,10,SDG 34,0,3,Philip Rivers pass complete deep right to Legedu Naanee for 16 yards (tackle by Marcus Trufant),0.660,2.260
2,7:39,1,10,,0,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Kelly Jennings),2.260,1.710
2,7:34,2,10,,0,3,Philip Rivers pass complete short middle to Patrick Crayton for 16 yards (tackle by Lawyer Milloy),1.710,3.310
2,7:08,1,10,SEA 34,0,3,Mike Tolbert left guard for 2 yards (tackle by Lofa Tatupu),3.310,3.040
2,6:34,,,,0,3,Timeout #1 by San Diego Chargers,0.000,3.040
2,6:34,2,8,SEA 32,0,3,Philip Rivers sacked by Raheem Brock for -4 yards,3.040,1.820
2,6:00,3,12,SEA 36,0,3,Philip Rivers pass complete deep middle to Malcom Floyd for 24 yards (tackle by Roy Lewis and Lawyer Milloy),1.820,4.780
2,5:21,1,10,SEA 12,0,3,"Mike Tolbert middle for 5 yards (tackle by David Hawthorne). Mike Tolbert fumbles (forced by David Hawthorne), recovered by Red Bryant at SEA-7 (tackle by Kris Dielman)",4.780,0.380
2,5:15,1,10,SEA 7,0,3,Justin Forsett left guard for -1 yards (tackle by Brandon Siler),-0.380,-0.850
2,4:39,2,11,SEA 6,0,3,Matt Hasselbeck pass complete short left to Deion Branch for 7 yards (tackle by Antoine Cason),-0.850,-0.720
