Quarter,Time,Down,ToGo,Location,NYG,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Doug Brien kicks off 61 yards, returned by Brian Mitchell for 14 yards (tackle by Kenyatta Wright)",0.000,0.480
1,14:56,1,10,NYG 23,0,0,Tiki Barber right tackle for 6 yards (tackle by Ray Mickens),0.480,0.740
1,14:24,2,4,NYG 29,0,0,Kerry Collins pass incomplete intended for Tiki Barber,0.740,0.040
1,14:20,3,4,NYG 29,0,0,Tiki Barber left end for no gain (tackle by Bryan Thomas),0.040,-1.440
1,13:46,4,4,NYG 29,0,0,"Jeff Feagles punts 38 yards, returned by Santana Moss for 7 yards (tackle by Marcellus Rivers)",-1.440,-1.600
1,13:35,1,10,NYJ 40,0,0,Chad Pennington pass complete to Jerald Sowell for 10 yards (tackle by Brandon Short),1.600,2.260
1,13:05,1,10,NYJ 50,0,0,Chad Pennington pass incomplete intended for Curtis Conway,2.260,1.710
1,12:59,2,10,NYJ 50,0,0,Curtis Martin right guard for 8 yards (tackle by Omar Stoutmire),1.710,2.080
1,12:16,3,2,NYG 42,0,0,Curtis Martin up the middle for 3 yards (tackle by Micheal Barrow and Keith Hamilton),2.080,2.980
1,11:38,1,10,NYG 39,0,0,Chad Pennington pass complete to Anthony Becht for 10 yards (tackle by Brandon Short),2.980,3.640
1,11:15,1,10,NYG 29,0,0,Curtis Martin left end for 9 yards (tackle by Ralph Brown),3.640,4.320
1,10:44,2,1,NYG 20,0,0,Curtis Martin right tackle for no gain (tackle by Micheal Barrow),4.320,3.600
1,9:57,3,1,NYG 20,0,0,LaMont Jordan right guard for 7 yards (tackle by Shaun Williams and Micheal Barrow),3.600,4.710
1,9:18,1,10,NYG 13,0,0,Curtis Martin right tackle for 2 yards (tackle by Michael Strahan and Brandon Short),4.710,4.390
1,8:39,2,8,NYG 11,0,0,Curtis Martin up the middle for 3 yards (tackle by Keith Hamilton and Micheal Barrow),4.390,4.100
1,7:53,3,5,NYG 8,0,6,"Chad Pennington pass complete to Santana Moss for 8 yards, touchdown",4.100,7.000
1,,,,NYG 2,0,7,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,0,7,"Doug Brien kicks off 62 yards, returned by Brian Mitchell for 26 yards (tackle by Derek Pagel)",0.000,1.200
1,7:40,1,10,NYG 34,0,7,Tiki Barber left end for 3 yards (tackle by Sam Cowart and Marvin Jones),1.200,1.060
1,7:09,2,7,NYG 37,0,7,Kerry Collins pass complete to Jeremy Shockey for 11 yards (tackle by Sam Garnes),1.060,2.130
1,6:26,1,10,NYG 48,0,7,Kerry Collins pass incomplete intended for Jeremy Shockey (defended by Bryan Thomas),2.130,1.580
1,6:22,2,10,NYG 48,0,7,Tiki Barber left tackle for 3 yards (tackle by Sam Cowart and Tyrone Carter),1.580,1.290
1,5:42,3,7,NYJ 49,0,7,Kerry Collins pass incomplete intended for Amani Toomer,1.290,0.000
1,5:36,4,7,NYJ 49,0,7,"Jeff Feagles punts 49 yards, touchback",0.000,-0.280
1,5:25,1,10,NYJ 20,0,7,Curtis Martin right tackle for 15 yards (tackle by Omar Stoutmire),0.280,1.270
1,4:42,1,10,NYJ 35,0,7,Chad Pennington pass complete to Santana Moss for -1 yards (tackle by Ralph Brown),1.270,0.590
1,3:58,2,11,NYJ 34,0,7,Chad Pennington pass incomplete intended for Santana Moss,0.590,-0.100
1,3:51,,,,0,7,Timeout #1 by New York Jets,0.000,-0.100
1,3:51,3,11,NYJ 34,0,7,Chad Pennington sacked by Michael Strahan for -7 yards. Penalty on Jason Fabini: Illegal Use of Hands (Declined),-0.100,-1.570
1,3:49,4,18,NYJ 27,0,7,"Dan Stryzinski punts 27 yards, fair catch by Brian Mitchell. Penalty on James Dearth: Offensive Holding (Declined)",-1.570,-1.990
1,3:30,1,10,NYG 46,0,7,Tiki Barber right tackle for 4 yards (tackle by James Reed and Victor Hobson),1.990,1.990
1,2:54,2,6,NYJ 50,0,7,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",1.990,1.320
1,2:34,2,11,NYG 45,0,7,Kerry Collins pass complete to Amani Toomer for 16 yards (tackle by Aaron Beasley),1.320,2.980
1,2:09,1,10,NYJ 39,0,7,Kerry Collins pass incomplete intended for Jeremy Shockey,2.980,2.440
1,2:02,2,10,NYJ 39,0,7,Tiki Barber right guard for 5 yards (tackle by Chester McGlockton),2.440,2.410
