Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"John Hall kicks off 63 yards, returned by Allen Rossum for 19 yards (tackle by Rashad Bauman)",0.000,0.670
1,14:55,1,10,ATL 26,0,0,Warrick Dunn left tackle for 6 yards (tackle by Ifeanyi Ohalete),0.670,0.940
1,14:19,2,4,ATL 32,0,0,T.J. Duckett right end for 3 yards (tackle by Martin Chase),0.940,0.630
1,13:39,3,1,ATL 35,0,0,Warrick Dunn left end for 1 yard (tackle by Todd Franz),0.630,1.330
1,13:34,1,10,ATL 36,0,0,"Warrick Dunn right end for no gain (tackle by LaVar Arrington). Penalty on Bernard Holsey: Defensive Offside, 5 yards (no play)",1.330,2.060
1,12:34,1,5,ATL 41,0,0,Doug Johnson pass incomplete intended for Brian Kozlowski,2.060,1.470
1,12:29,2,5,ATL 41,0,0,"Penalty on Bruce Smith: Defensive Offside, 5 yards (no play)",1.470,1.990
1,12:29,1,10,ATL 46,0,0,Justin Griffith up the middle for 3 yards (tackle by Renaldo Wynn),1.990,1.860
1,11:51,2,7,ATL 49,0,0,Warrick Dunn up the middle for 3 yards (tackle by Jeremiah Trotter),1.860,1.550
1,11:10,3,4,WAS 48,0,0,Doug Johnson pass complete to Warrick Dunn for 3 yards (tackle by Peppi Zellner),1.550,0.270
1,11:10,4,1,WAS 45,0,0,"Chris Mohr punts 45 yards, touchback",0.270,-0.280
1,10:27,1,10,WAS 20,0,0,Patrick Ramsey pass complete to Laveranues Coles for 5 yards (tackle by Tyrone Williams),0.280,0.410
1,9:55,2,5,WAS 25,0,0,Patrick Ramsey pass incomplete intended for Laveranues Coles,0.410,-0.300
1,9:50,,,,0,0,Timeout #1 by Washington Redskins,0.000,-0.300
1,9:50,3,5,WAS 25,0,0,"Penalty on Brady Smith: Neutral Zone Infraction, 5 yards (no play)",-0.300,0.940
1,9:50,1,10,WAS 30,0,0,"Penalty on Chris Samuels: False Start, 5 yards (no play)",0.940,0.610
1,9:50,1,15,WAS 25,0,0,Trung Canidate up the middle for 6 yards (tackle by Chris Draft),0.610,0.530
1,9:15,2,9,WAS 31,0,0,Patrick Ramsey pass incomplete intended for Rod Gardner,0.530,-0.160
1,9:09,3,9,WAS 31,0,0,Patrick Ramsey sacked by Brady Smith for -10 yards,-0.160,-1.960
1,8:47,4,19,WAS 21,0,0,"Bryan Barker punts 52 yards, returned by Allen Rossum for 15 yards (tackle by Bryan Johnson)",-1.960,-1.730
1,8:36,1,10,ATL 42,0,0,Doug Johnson pass complete to Justin Griffith for 24 yards (tackle by Matt Bowen),1.730,3.310
1,8:10,1,10,WAS 34,0,0,Warrick Dunn left end for 3 yards (tackle by Ifeanyi Ohalete),3.310,3.180
1,7:35,2,7,WAS 31,0,0,Doug Johnson pass complete to Alge Crumpler for 19 yards (tackle by Jessie Armstead),3.180,4.780
1,6:57,1,10,WAS 12,0,0,Warrick Dunn up the middle for 3 yards (tackle by Ifeanyi Ohalete and Jeremiah Trotter),4.780,4.640
1,6:19,2,7,WAS 9,0,0,Doug Johnson pass incomplete intended for Warrick Dunn,4.640,3.700
1,6:14,3,7,WAS 9,0,0,Doug Johnson pass incomplete intended for Alge Crumpler,3.700,2.830
1,6:10,4,7,WAS 9,0,0,"Jay Feely 28 yard field goal good. Penalty on Alge Crumpler: Offensive Holding, 10 yards (no play)",2.830,2.180
1,6:06,4,17,WAS 19,0,3,Jay Feely 37 yard field goal good,2.180,3.000
1,,,,ATL 30,0,3,"Jay Feely kicks off 67 yards, returned by Chad Morton for 19 yards (tackle by Karon Riley)",0.000,0.410
1,5:56,1,10,WAS 22,0,3,"Penalty on Chris Samuels: False Start, 5 yards (no play)",0.410,-0.120
1,5:56,1,15,WAS 17,0,3,Trung Canidate right end for 11 yards (tackle by Gerald McBurrows),-0.120,0.680
1,5:21,2,4,WAS 28,0,3,Trung Canidate left tackle for 11 yards (tackle by Keith Brooking),0.680,1.530
1,4:48,1,10,WAS 39,0,3,Trung Canidate right end for 5 yards (tackle by Ray Buchanan),1.530,1.660
1,4:10,2,5,WAS 44,0,3,Patrick Ramsey pass incomplete intended for Rod Gardner,1.660,0.960
1,4:06,3,5,WAS 44,0,3,Patrick Ramsey pass complete to Ladell Betts for 14 yards (tackle by Keith Brooking),0.960,2.790
1,3:24,1,10,ATL 42,0,3,Trung Canidate up the middle for 2 yards (tackle by Matt Stewart and Keith Brooking),2.790,2.510
1,2:46,2,8,ATL 40,0,3,Patrick Ramsey pass complete to Laveranues Coles for 16 yards (tackle by Kevin McCadam),2.510,3.970
1,2:14,1,10,ATL 24,0,3,Patrick Ramsey pass incomplete intended for Robert Royal,3.970,3.430
1,2:09,2,10,ATL 24,0,3,Patrick Ramsey pass incomplete intended for Darnerien McCants (defended by Ray Buchanan),3.430,2.740
1,2:03,3,10,ATL 24,0,3,Patrick Ramsey sacked by Ellis Johnson for -9 yards,2.740,1.150
1,1:58,4,19,ATL 33,0,3,John Hall 51 yard field goal no good,1.150,-1.660
1,1:53,1,10,ATL 41,0,3,T.J. Duckett right tackle for 2 yards (tackle by Jessie Armstead and Todd Franz),1.660,1.390
1,1:16,2,8,ATL 43,0,3,Doug Johnson pass complete to Peerless Price for 19 yards (tackle by Matt Bowen),1.390,3.050
1,0:27,1,10,WAS 38,0,3,Warrick Dunn sacked by Jessie Armstead for -3 yards,3.050,2.100
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,WAS 41,0,3,Doug Johnson pass complete to Alge Crumpler for 28 yards (tackle by Ifeanyi Ohalete),2.100,4.710
2,14:13,1,10,WAS 13,0,9,"T.J. Duckett left end for 13 yards, touchdown",4.710,7.000
2,,,,WAS 2,0,10,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,0,10,"Jay Feely kicks off 70 yards, returned by Chad Morton for 28 yards (tackle by Bryan Scott). Penalty on Robert Royal: Offensive Holding, 10 yards",0.000,-0.380
2,13:58,1,10,WAS 10,0,10,Ladell Betts up the middle for 2 yards (tackle by Ed Jasper),-0.380,-0.630
