Quarter,Time,Tm,Detail,SFO,LAR
1.0,11:57,Rams,Brandin Cooks 3 yard pass from Jared Goff (Greg Zuerlein kick),0,7
,10:42,Rams,C.J. Anderson 1 yard rush (Greg Zuerlein kick),0,14
,2:11,49ers,Robbie Gould 30 yard field goal,3,14
2.0,12:37,Rams,Cory Littleton 19 yard interception return (Greg Zuerlein kick),3,21
,6:00,Rams,Brandin Cooks 18 yard pass from Jared Goff (Greg Zuerlein kick),3,28
,2:07,49ers,Richie James 9 yard pass from Nick Mullens (Robbie Gould kick),10,28
,0:00,Rams,Greg Zuerlein 28 yard field goal,10,31
3.0,12:19,Rams,Josh Reynolds 29 yard pass from Jared Goff (Greg Zuerlein kick),10,38
,8:23,49ers,Alfred Morris 1 yard rush (Robbie Gould kick),17,38
,2:58,Rams,Josh Reynolds 2 yard pass from Jared Goff (Greg Zuerlein kick),17,45
4.0,11:44,Rams,Greg Zuerlein 51 yard field goal,17,48
,6:54,49ers,Kendrick Bourne 2 yard pass from Nick Mullens (Robbie Gould kick),24,48
,2:20,49ers,George Kittle 43 yard pass from Nick Mullens (Trent Taylor pass from Nick Mullens),32,48
