Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 69 yards, returned by Jordy Nelson for 99 yards. Penalty on Evan Dietrich-Smith: Offensive Holding, 10 yards",0.000,0.280
1,14:47,1,10,GNB 20,0,0,Aaron Rodgers pass complete short left to Jermichael Finley for 3 yards (tackle by Louis Delmas),0.280,0.140
1,14:47,2,7,GNB 23,0,0,"Penalty on Josh Sitton: False Start, 5 yards (no play)",0.140,-0.630
1,13:49,2,12,GNB 18,0,0,"Aaron Rodgers pass complete short left to Donald Lee for 4 yards (tackle by Louis Delmas). Penalty on Cliff Avril: Defensive Offside, 5 yards (no play)",-0.630,0.140
1,13:23,2,7,GNB 23,0,0,Aaron Rodgers pass incomplete short right intended for Donald Lee,0.140,-0.560
1,13:20,3,7,GNB 23,0,0,Aaron Rodgers pass complete deep middle to Greg Jennings for 26 yards (tackle by Jordon Dizon),-0.560,2.190
1,12:45,1,10,GNB 49,0,0,Ryan Grant middle for 4 yards (tackle by Larry Foote),2.190,2.190
1,12:12,2,6,DET 47,0,0,Ryan Grant middle for no gain (tackle by Cliff Avril and Julian Peterson),2.190,1.490
1,11:36,3,6,DET 47,0,6,"Aaron Rodgers pass complete deep right to James Jones for 47 yards, touchdown. Penalty on Julian Peterson: Defensive Offside (Declined)",1.490,7.000
1,,,,DET 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 30,0,7,"Mason Crosby kicks off 48 yards, returned by Derrick Williams for 8 yards (tackle by Derrick Martin)",0.000,0.940
1,11:25,1,10,DET 30,0,7,Kevin Smith middle for -1 yards (tackle by Johnny Jolly and Clay Matthews),0.940,0.260
1,10:50,2,11,DET 29,0,7,Kevin Smith left guard for -4 yards (tackle by Clay Matthews),0.260,-0.960
1,10:14,3,15,DET 25,0,7,Daunte Culpepper pass incomplete short left intended for Kevin Smith is intercepted by Cullen Jenkins at DET-21 and returned for 4 yards,-0.960,-4.440
1,10:08,1,10,DET 17,0,7,Aaron Rodgers pass complete short right to Ryan Grant for 6 yards (tackle by Cliff Avril),4.440,4.890
1,9:28,2,4,DET 11,0,7,"Aaron Rodgers pass complete short left to Donald Driver for 5 yards (tackle by Louis Delmas). Penalty on Daryn Colledge: Unnecessary Roughness, 15 yards",4.890,4.170
1,9:10,1,10,DET 21,0,7,Aaron Rodgers pass complete short left to Jermichael Finley for 8 yards (tackle by Louis Delmas),4.170,4.950
1,8:46,2,2,DET 13,0,7,Ryan Grant middle for 4 yards (tackle by Landon Cohen),4.950,5.140
