Quarter,Time,Tm,Detail,KAN,TAM
1.0,9:42,Chiefs,Johnnie Morton 25 yard pass from Trent Green (Lawrence Tynes kick),7,0
,7:39,Buccaneers,Jameel Cook 8 yard pass from Brian Griese (Martin Gramatica kick),7,7
2.0,13:49,Buccaneers,Michael Pittman 1 yard rush (Martin Gramatica kick),7,14
,9:05,Chiefs,Priest Holmes 2 yard rush (Lawrence Tynes kick),14,14
,6:25,Chiefs,Lawrence Tynes 31 yard field goal,17,14
,1:55,Buccaneers,Ken Dilger 3 yard pass from Brian Griese (Martin Gramatica kick),17,21
,0:35,Chiefs,Tony Gonzalez 23 yard pass from Trent Green (Lawrence Tynes kick),24,21
3.0,14:00,Buccaneers,Michael Pittman 78 yard rush (Martin Gramatica kick),24,28
,2:13,Chiefs,Jason Dunn 1 yard pass from Trent Green (Lawrence Tynes kick),31,28
4.0,11:50,Buccaneers,Michael Pittman 3 yard rush (Martin Gramatica kick failed),31,34
