Quarter,Time,Tm,Detail,ARI,STL
1.0,8:31,Rams,Jeff Wilkins 46 yard field goal,0,3
,3:57,Cardinals,Neil Rackers 50 yard field goal,3,3
2.0,14:55,Rams,Drew Bennett 16 yard pass from Gus Frerotte (Jeff Wilkins kick),3,10
,3:32,Cardinals,Reggie Wells offensive fumble recovery in end zone (Neil Rackers kick),10,10
,1:17,Rams,Jeff Wilkins 35 yard field goal,10,13
,0:00,Cardinals,Kurt Warner 1 yard rush (Neil Rackers kick),17,13
3.0,11:44,Rams,Torry Holt 11 yard pass from Gus Frerotte (Jeff Wilkins kick),17,20
,1:40,Cardinals,Neil Rackers 32 yard field goal,20,20
4.0,13:47,Cardinals,Roderick Hood 68 yard interception return (Neil Rackers kick),27,20
,8:46,Rams,Jeff Wilkins 31 yard field goal,27,23
,3:11,Cardinals,Larry Fitzgerald 7 yard pass from Kurt Warner (Neil Rackers kick),34,23
,0:13,Rams,Randy McMichael 29 yard pass from Gus Frerotte (Torry Holt pass from Gus Frerotte),34,31
