Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DAL 25,0,0,Dak Prescott pass complete short left to Ezekiel Elliott for 4 yards (tackle by Brandon Marshall),0.610,0.600
1,14:34,2,6,DAL 29,0,0,Ezekiel Elliott left guard for no gain (tackle by Shaquil Barrett and Adam Gotsis),0.600,-0.100
1,13:55,3,6,DAL 29,0,0,Dak Prescott pass complete short right to Jason Witten for 5 yards (tackle by Chris Harris),-0.100,-1.110
1,13:19,4,1,DAL 34,0,0,"Chris Jones punts 44 yards, out of bounds",-1.110,-0.410
1,13:10,1,10,DEN 22,0,0,Trevor Siemian pass complete short middle to Demaryius Thomas for 4 yards (tackle by Sean Lee),0.410,0.410
1,12:35,2,6,DEN 26,0,0,C.J. Anderson middle for 2 yards (tackle by Sean Lee),0.410,-0.030
1,11:59,3,4,DEN 28,0,0,Trevor Siemian pass complete short right to Demaryius Thomas for 27 yards (tackle by Kavon Frazier),-0.030,2.590
1,11:29,1,10,DAL 45,0,0,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders,2.590,2.040
1,11:23,2,10,DAL 45,0,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 25 yards (tackle by Jeff Heath and Jaylon Smith),2.040,4.240
1,10:40,1,10,DAL 20,0,0,Trevor Siemian pass complete short left to C.J. Anderson for 8 yards (tackle by Damien Wilson),4.240,5.040
1,10:08,2,2,DAL 12,0,0,C.J. Anderson left tackle for 2 yards (tackle by Brian Price),5.040,4.910
1,9:30,1,10,DAL 10,0,6,"Trevor Siemian pass complete short middle to Emmanuel Sanders for 10 yards, touchdown",4.910,7.000
1,9:25,,,DAL 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,9:25,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,9:25,1,10,DAL 25,0,7,Dak Prescott pass complete short left to Dez Bryant for 12 yards (tackle by Chris Harris and Justin Simmons),0.610,1.400
1,8:46,1,10,DAL 37,0,7,Dak Prescott pass complete short left to Cole Beasley for 6 yards,1.400,1.670
1,8:14,2,4,DAL 43,0,7,Ezekiel Elliott middle for 3 yards (tackle by Adam Gotsis and Shaquil Barrett),1.670,1.360
1,7:30,3,1,DAL 46,0,7,"Penalty on Chaz Green: False Start, 5 yards (no play)",1.360,0.000
1,7:04,,,,,,Timeout #1 by Dallas Cowboys,0.000,-0.700
1,7:04,3,6,DAL 41,0,7,Dak Prescott pass complete short left to Ezekiel Elliott for -1 yards (tackle by Darian Stewart),0.700,-0.720
1,6:31,4,7,DAL 40,0,7,"Chris Jones punts 54 yards, out of bounds",-0.720,0.380
1,6:23,1,10,DEN 6,0,7,C.J. Anderson right guard for 6 yards (tackle by Sean Lee and Jaylon Smith),-0.380,-0.340
1,5:48,2,4,DEN 12,0,7,Trevor Siemian pass complete short left to Demaryius Thomas for 9 yards (tackle by Anthony Brown),-0.340,0.340
1,5:07,1,10,DEN 21,0,7,Trevor Siemian pass complete short right to Cody Latimer for 9 yards (tackle by Jourdan Lewis),0.340,1.020
1,4:32,2,1,DEN 30,0,7,C.J. Anderson right guard for 3 yards (tackle by Byron Jones),1.020,1.140
1,3:58,1,10,DEN 33,0,7,Trevor Siemian pass incomplete,1.140,0.590
1,3:51,2,10,DEN 33,0,7,C.J. Anderson right tackle for 28 yards (tackle by Byron Jones),0.590,2.980
1,3:32,1,10,DAL 39,0,7,Trevor Siemian right end for 4 yards (tackle by Jourdan Lewis),2.980,2.980
1,3:04,2,6,DAL 35,0,7,Jamaal Charles right end for 4 yards (tackle by Sean Lee),2.980,2.810
1,2:33,3,2,DAL 31,0,7,Trevor Siemian pass incomplete short right intended for Bennie Fowler,2.810,1.400
1,2:29,4,2,DAL 31,0,7,Brandon McManus 49 yard field goal no good,1.400,-1.530
1,2:24,1,10,DAL 39,0,7,Ezekiel Elliott middle for 2 yards (tackle by Adam Gotsis and Shaquil Barrett),1.530,1.260
1,1:50,2,8,DAL 41,0,7,Dak Prescott pass complete short left to Dez Bryant for 4 yards (tackle by Chris Harris),1.260,1.090
1,1:14,3,4,DAL 45,0,7,Dak Prescott pass complete short left to Jason Witten for 9 yards (tackle by Darian Stewart),1.090,2.520
1,0:38,1,10,DEN 46,0,7,Dak Prescott pass incomplete deep left intended for Dez Bryant,2.520,1.980
1,0:33,2,10,DEN 46,0,7,Dak Prescott pass incomplete short right intended for Terrance Williams,1.980,1.290
1,0:28,3,10,DEN 46,0,7,Dak Prescott right end for 7 yards (tackle by Shaquil Barrett),1.290,0.660
Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,DEN 39,0,7,"Chris Jones punts 39 yards, touchback",0.660,-0.280
2,14:48,1,10,DEN 20,0,7,C.J. Anderson middle for 4 yards (tackle by Jaylon Smith and Demarcus Lawrence),0.280,0.270
2,14:11,2,6,DEN 24,0,7,C.J. Anderson right guard for 1 yard (tackle by Jaylon Smith and Maliek Collins),0.270,-0.300
2,13:35,3,5,DEN 25,0,7,"Trevor Siemian sacked by Demarcus Lawrence for -16 yards. Trevor Siemian fumbles (forced by Demarcus Lawrence), recovered by Maliek Collins at DEN-9 and returned for 6 yards (tackle by Ronald Leary)",-0.300,-6.510
2,13:25,1,3,DEN 3,0,7,Ezekiel Elliott middle for no gain (tackle by Shelby Harris and Derek Wolfe),6.510,5.530
2,12:43,2,3,DEN 3,6,7,"Dak Prescott pass complete short right to Dez Bryant for 3 yards, touchdown",5.530,7.000
2,12:39,,,DEN 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
2,12:39,,,DAL 35,7,7,"Dan Bailey kicks off 71 yards, returned by Cody Latimer for 25 yards (tackle by Jeff Heath). Cody Latimer fumbles, recovered by Cody Latimer at DEN-19",0.000,-0.150
2,12:32,1,10,DEN 19,7,7,Trevor Siemian pass complete short left to Virgil Green for 9 yards (tackle by Jourdan Lewis),0.150,0.880
2,11:57,2,1,DEN 28,7,7,C.J. Anderson left tackle for 5 yards (tackle by Anthony Brown),0.880,1.140
2,11:23,1,10,DEN 33,7,7,Trevor Siemian pass complete short middle to Bennie Fowler for 8 yards (tackle by Sean Lee),1.140,1.670
2,10:51,2,2,DEN 41,7,7,C.J. Anderson middle for 3 yards (tackle by Jourdan Lewis),1.670,1.860
2,10:20,1,10,DEN 44,7,7,Trevor Siemian pass complete short left to Cody Latimer for 13 yards (tackle by Jourdan Lewis),1.860,2.720
2,10:20,1,10,DAL 43,7,7,Jamaal Charles right tackle for 4 yards (tackle by Sean Lee),2.720,2.720
2,9:00,2,6,DAL 39,7,7,Trevor Siemian right end for 4 yards (tackle by Jeff Heath),2.720,2.540
