Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Matt Prater kicks off 67 yards, returned by Adrian Peterson for 22 yards (tackle by Tony Taylor)",0.000,0.610
1,14:55,1,10,MIN 25,0,0,Tarvaris Jackson pass complete short middle to Chester Taylor for 3 yards (tackle by Demorrio Williams),0.610,0.470
1,14:16,2,7,MIN 28,0,0,Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 10 yards (tackle by Jimmy F. Williams),0.470,1.470
1,13:34,1,10,MIN 38,0,0,Chester Taylor left guard for no gain (tackle by Lawyer Milloy),1.470,0.920
1,13:01,2,10,MIN 38,0,0,Chester Taylor right guard for 14 yards (tackle by Lawyer Milloy),0.920,2.390
1,12:17,1,10,ATL 48,0,0,Tarvaris Jackson pass incomplete short left intended for Chester Taylor,2.390,1.850
1,12:12,2,10,ATL 48,0,0,Chester Taylor right tackle for 4 yards (tackle by DeAngelo Hall),1.850,1.690
1,11:33,3,6,ATL 44,0,0,Tarvaris Jackson pass complete short left to Sidney Rice for 4 yards (tackle by Lewis Sanders),1.690,0.590
1,10:51,4,2,ATL 40,0,0,Chris Kluwe punts 29 yards,0.590,0.370
1,10:42,1,10,ATL 11,0,0,"Joey Harrington pass complete short right to Alge Crumpler for 8 yards (tackle by Antoine Winfield). Penalty on Ben Leber: Roughing the Passer, 15 yards",-0.370,1.200
1,10:14,1,10,ATL 34,0,0,Warrick Dunn up the middle for 2 yards (tackle by Kevin Williams),1.200,0.930
1,9:37,2,8,ATL 36,0,0,Joey Harrington pass complete short right to Roddy White for 5 yards (tackle by Marcus McCauley),0.930,0.890
1,8:55,3,3,ATL 41,0,0,Joey Harrington pass complete short middle to Roddy White for 9 yards (tackle by E.J. Henderson),0.890,2.260
1,8:22,1,10,,0,0,Warrick Dunn right guard for 5 yards (tackle by Antoine Winfield and Chad Greenway),2.260,2.390
1,8:00,2,5,MIN 45,0,0,Joey Harrington pass incomplete short right intended for Michael Jenkins (defended by Dwight Smith),2.390,1.690
1,7:56,3,5,MIN 45,0,6,"Joey Harrington pass incomplete is intercepted by Kevin Williams at MIN-46 and returned for 54 yards, touchdown",1.690,-7.000
1,,,,ATL 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Ryan Longwell kicks off 69 yards, returned by Adam Jennings for 21 yards (tackle by Charles Gordon). Penalty on Stephen Nicholas: Offensive Holding, 10 yards",0.000,-0.350
1,7:38,1,10,ATL 12,0,7,Joey Harrington pass complete short right to Joe Horn for 14 yards (tackle by Darren Sharper),-0.350,0.670
1,7:14,1,10,ATL 26,0,7,Jerious Norwood up the middle for 12 yards (tackle by Cedric Griffin and Darren Sharper),0.670,1.470
1,6:37,1,10,ATL 38,0,7,Joey Harrington sacked by Kevin Williams for -4 yards,1.470,0.380
1,5:59,2,14,ATL 34,0,7,Warrick Dunn up the middle for -5 yards (tackle by E.J. Henderson),0.380,-0.960
1,5:20,3,19,ATL 29,0,7,Joey Harrington pass complete short left to Alge Crumpler for 9 yards (tackle by Cedric Griffin),-0.960,-0.850
1,4:45,4,10,ATL 38,0,7,"Michael Koenen punts 53 yards, returned by Bobby Wade for 13 yards (tackle by Chris Houston)",-0.850,-0.410
1,4:32,1,10,MIN 22,0,7,Adrian Peterson left tackle for 13 yards (tackle by Jimmy F. Williams),0.410,1.270
1,3:53,1,10,MIN 35,0,7,Tarvaris Jackson pass complete short left to Troy Williamson for 13 yards (tackle by Lewis Sanders),1.270,2.130
1,3:14,1,10,MIN 48,0,7,Adrian Peterson right end for 7 yards (tackle by Michael Boley and Keith Brooking),2.130,2.530
1,2:46,2,3,ATL 45,0,7,Adrian Peterson left guard for 5 yards (tackle by Grady Jackson),2.530,2.920
1,2:07,1,10,ATL 40,0,7,"Penalty on Montavious Stanley: Encroachment, 5 yards (no play)",2.920,3.650
1,1:48,1,5,ATL 35,0,7,"Adrian Peterson left end for 2 yards (tackle by Keith Brooking). Penalty on Artis Hicks: Offensive Holding, 10 yards (no play)",3.650,2.590
1,1:31,1,15,ATL 45,0,7,Tarvaris Jackson pass incomplete right intended for Chester Taylor,2.590,1.700
1,1:26,2,15,ATL 45,0,7,Tarvaris Jackson pass incomplete short middle intended for Bobby Wade (defended by Antoine Harris),1.700,1.030
1,1:22,3,15,ATL 45,0,7,Adrian Peterson left guard for 4 yards (tackle by Lewis Sanders),1.030,0.530
1,0:34,4,11,ATL 41,0,7,"Chris Kluwe punts 31 yards, fair catch by Adam Jennings",0.530,0.380
1,0:27,1,10,ATL 10,0,7,Warrick Dunn right end for 4 yards (tackle by Darren Sharper),-0.380,-0.460
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,ATL 14,0,7,Warrick Dunn left end for -1 yards (tackle by Pat Williams),-0.460,-1.070
2,14:18,3,7,ATL 13,0,7,Joey Harrington pass incomplete short middle intended for Joe Horn,-1.070,-2.490
2,14:13,4,7,ATL 13,0,7,"Michael Koenen punts 51 yards, returned by Bobby Wade for 7 yards (tackle by Corey McIntyre)",-2.490,-1.800
2,14:01,1,10,MIN 43,0,7,Adrian Peterson up the middle for 3 yards (tackle by Keith Brooking),1.800,1.660
2,13:28,2,7,MIN 46,0,7,Adrian Peterson right end for 4 yards (tackle by Keith Brooking),1.660,1.490
