#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:06,PHI 21,10,4:11,68,Field Goal
2,1,6:05,PHI 49,7,3:17,51,Touchdown
3,2,11:44,PHI 20,3,1:54,-7,Punt
4,2,9:12,PHI 11,8,4:20,40,Punt
5,2,3:04,WAS 21,6,2:15,15,Field Goal
6,2,0:19,WAS 28,3,0:16,5,Field Goal
7,3,15:00,PHI 20,3,1:29,9,Punt
8,3,8:34,PHI 21,3,1:43,9,Punt
9,3,2:25,PHI 20,3,0:54,4,Punt
10,4,14:22,PHI 10,3,0:50,3,Interception
11,4,11:42,PHI 10,10,4:18,90,Touchdown
12,4,5:35,PHI 20,10,3:47,66,Field Goal
13,4,1:04,WAS 25,2,1:04,-2,End of Game
