Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,15:00,1,10,JAX 25,0,0,Laviska Shenault left end for 11 yards (tackle by Vonn Bell and Germaine Pratt),,
1,14:23,1,10,JAX 36,0,0,James Robinson right guard for 3 yards (tackle by Larry Ogunjobi),,
1,13:50,2,6,JAX 40,0,0,James Robinson right end for 6 yards (tackle by Germaine Pratt),,
1,13:15,3,1,JAX 45,0,0,James Robinson left tackle for 2 yards (tackle by D.J. Reader and Logan Wilson),,
1,12:28,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,12:28,1,10,JAX 47,0,0,Trevor Lawrence sacked by Logan Wilson for -2 yards,,
1,11:52,2,12,JAX 45,0,0,James Robinson right guard for 4 yards (tackle by Sam Hubbard and Logan Wilson),,
1,11:05,3,8,JAX 49,0,0,Trevor Lawrence pass incomplete deep left intended for Laviska Shenault (defended by Eli Apple),,
1,11:01,4,8,JAX 49,0,0,"Logan Cooke punts 43 yards, returned by Darius Phillips for 10 yards (tackle by Andrew Wingard). Penalty on Mike Thomas: Offensive Illegal Block Above the Waist, 9 yards (accepted)",,
1,10:49,1,10,CIN 9,0,0,Joe Burrow pass complete short left to Tyler Boyd for 33 yards (tackle by Andrew Wingard),,
1,10:08,1,10,CIN 42,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for -2 yards (tackle by Tyson Campbell),,
1,9:28,2,12,CIN 40,0,0,Joe Burrow pass incomplete short left intended for Tyler Boyd,,
1,9:25,3,12,CIN 40,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 15 yards (tackle by Tyson Campbell),,
1,8:39,1,10,JAX 45,0,0,Joe Burrow pass complete short middle to Auden Tate for 18 yards (tackle by Tre Herndon),,
1,7:53,1,10,JAX 27,0,0,Joe Mixon right guard for 2 yards (tackle by Rayshawn Jenkins and Adam Gotsis),,
1,7:20,2,8,JAX 25,0,0,Joe Burrow pass complete short right to Joe Mixon for no gain (tackle by Damien Wilson),,
