Quarter,Time,Tm,Detail,BAL,NYG
1.0,10:10,Ravens,Justin Tucker 23 yard field goal,3,0
,6:42,Ravens,Terrance West 1 yard rush (Justin Tucker kick),10,0
2.0,2:28,Giants,Roger Lewis 24 yard pass from Eli Manning (Josh Brown kick),10,7
3.0,9:48,Giants,Josh Brown 21 yard field goal,10,10
,2:22,Ravens,Justin Tucker 39 yard field goal,13,10
,2:10,Giants,Odell Beckham Jr. 75 yard pass from Eli Manning (Josh Brown kick),13,17
4.0,9:14,Ravens,Justin Tucker 35 yard field goal,16,17
,5:54,Giants,Josh Brown 31 yard field goal,16,20
,2:04,Ravens,Terrance West 2 yard rush (Justin Tucker kick),23,20
,1:24,Giants,Odell Beckham Jr. 66 yard pass from Eli Manning (Josh Brown kick),23,27
