Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,TAM 20,0,0,Josh Freeman pass incomplete short right intended for Cadillac Williams,0.280,-0.270
1,14:56,2,10,TAM 20,0,0,Cadillac Williams left tackle for 5 yards (tackle by Nick Barnett),-0.270,-0.300
1,14:13,3,5,TAM 25,0,0,Josh Freeman for 4 yards (tackle by Nick Barnett),-0.300,-1.440
1,13:28,4,1,TAM 29,0,0,"Dirk Johnson punts 41 yards, returned by Tramon Williams for 27 yards (tackle by Dirk Johnson). Penalty on Brandon Underwood: Offensive Holding, 10 yards",-1.440,-0.280
1,13:10,1,10,GNB 20,0,0,Aaron Rodgers pass complete short right to Greg Jennings for 6 yards (tackle by Aqib Talib),0.280,0.540
1,12:27,2,4,GNB 26,6,0,"Aaron Rodgers pass complete deep right to James Jones for 74 yards, touchdown",0.540,7.000
1,12:27,,,TAM 2,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,12:27,,,GNB 30,7,0,"Mason Crosby kicks off 66 yards, returned by Clifton Smith for 24 yards (tackle by Spencer Havner)",0.000,0.810
1,12:08,1,10,TAM 28,7,0,Cadillac Williams left guard for 6 yards (tackle by Clay Matthews and A.J. Hawk),0.810,1.070
1,11:32,2,4,TAM 34,7,0,Cadillac Williams left end for 5 yards (tackle by Charles Woodson and Aaron Kampman),1.070,1.530
1,10:54,1,10,TAM 39,7,0,Josh Freeman pass incomplete (defended by Ryan Pickett),1.530,0.990
1,10:49,2,10,TAM 39,7,0,Cadillac Williams right guard for -1 yards (tackle by Nick Collins),0.990,0.170
1,10:07,3,11,TAM 38,7,0,Josh Freeman pass incomplete short right intended for Kellen Winslow,0.170,-0.850
1,10:01,4,11,TAM 38,7,0,"Dirk Johnson punts 51 yards, returned by Tramon Williams for 6 yards (tackle by Torrie Cox)",-0.850,0.060
1,9:48,1,10,GNB 17,7,0,Aaron Rodgers pass incomplete deep middle intended for Donald Driver is intercepted by Elbert Mack at GNB-44 and returned for 36 yards,-0.060,-5.370
1,9:32,1,8,GNB 8,7,0,Derrick Ward for 2 yards (tackle by A.J. Hawk),5.370,4.950
1,8:52,2,6,GNB 6,7,6,"Josh Freeman pass complete short right to Derrick Ward for 6 yards, touchdown",4.950,7.000
1,8:52,,,GNB 2,7,7,Connor Barth kicks extra point good,0.000,0.000
1,8:52,,,TAM 30,7,7,"Connor Barth kicks off 55 yards, returned by Spencer Havner for 16 yards (tackle by Niko Koutouvides)",0.000,1.000
1,8:37,1,10,GNB 31,7,7,Ryan Grant left tackle for 5 yards (tackle by Elbert Mack),1.000,1.140
1,8:02,2,5,GNB 36,7,7,Ryan Grant left tackle for 20 yards (tackle by Tanard Jackson),1.140,2.650
1,7:22,1,10,TAM 44,7,7,Ryan Grant for 6 yards (tackle by Chris Hovan),2.650,2.920
