#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,,0,0:13,0,Touchdown
2,1,13:37,PHI 49,8,2:53,51,Touchdown
3,1,9:06,PHI 17,5,1:46,10,Punt
4,1,6:18,PHI 36,9,2:53,46,Field Goal
5,1,1:01,PHI 6,2,0:31,2,Interception
6,2,14:51,PHI 20,8,3:22,73,Field Goal
7,2,8:22,PHI 31,10,3:47,69,Touchdown
8,2,0:51,PHI 20,7,0:49,49,Missed FG
9,3,12:32,TEN 33,3,1:05,33,Touchdown
10,3,7:26,PHI 39,6,2:26,18,Interception
11,3,4:47,PHI 47,12,5:33,36,Field Goal
12,4,12:26,TEN 42,6,2:08,30,Field Goal
13,4,8:11,PHI 17,3,0:51,-2,Punt
14,4,5:43,TEN 47,7,3:17,15,Field Goal
15,4,2:04,TEN 41,3,1:38,-7,Punt
