Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Martin Gramatica kicks off 54 yards, returned by Devin Hester for 16 yards (tackle by Chris Reis)",0.000,1.070
1,14:55,1,10,CHI 32,0,0,Adrian Peterson right tackle for 2 yards (tackle by Hollis Thomas),1.070,0.800
1,14:25,2,8,CHI 34,0,0,Kyle Orton pass complete to Greg Olsen for 5 yards (tackle by Mark Simoneau),0.800,0.760
1,13:52,3,3,CHI 39,0,0,Kyle Orton pass incomplete short middle intended for Desmond Clark,0.760,-0.780
1,13:47,4,3,CHI 39,0,0,"Brad Maynard punts 49 yards, returned by Lance Moore for no gain",-0.780,0.350
1,13:39,1,10,NOR 12,0,0,Drew Brees pass complete short right to David Patten for 8 yards (tackle by Charles Tillman),-0.350,0.290
1,13:24,2,2,NOR 20,0,0,Drew Brees sacked by Ricky Manning for -3 yards,0.290,-0.840
1,13:00,3,5,NOR 17,0,0,Drew Brees pass incomplete short left intended for Marques Colston is intercepted by Brian Urlacher at NOR-24 and returned for 3 yards (tackle by Pierre Thomas),-0.840,-4.170
1,12:54,1,10,NOR 21,0,0,Adrian Peterson right end for no gain (tackle by Charles Grant),4.170,3.630
1,12:16,2,10,NOR 21,0,0,Kyle Orton pass incomplete deep middle intended for Greg Olsen,3.630,2.940
1,12:09,,,,0,0,Timeout #1 by Chicago Bears,0.000,2.940
1,12:09,3,10,NOR 21,0,0,Kyle Orton pass incomplete short middle intended for Greg Olsen,2.940,2.060
1,12:05,4,10,NOR 21,0,3,Robbie Gould 39 yard field goal good,2.060,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 65 yards, returned by Chris Barclay for 19 yards (tackle by Adam Archuleta)",0.000,0.540
1,11:55,1,10,NOR 24,0,3,Pierre Thomas right tackle for 1 yard (tackle by Brian Urlacher and Hunter Hillenmeyer),0.540,0.130
1,11:24,2,9,NOR 25,0,3,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Ricky Manning and Brian Urlacher),0.130,0.230
1,10:47,3,3,NOR 31,0,3,Drew Brees pass incomplete short left intended for Marques Colston (defended by Lance Briggs),0.230,-1.310
1,10:43,4,3,NOR 31,0,3,"Penalty on Marvin Mitchell: False Start, 5 yards (no play)",-1.310,-1.630
1,10:43,4,8,NOR 26,0,3,"Penalty on Jamar Williams: Neutral Zone Infraction, 5 yards (no play)",-1.630,-1.310
1,10:43,4,3,NOR 31,0,3,Steve Weatherford punts 41 yards,-1.310,-0.870
1,10:34,1,10,CHI 29,0,3,Kyle Orton pass incomplete short left intended for Mark Bradley (defended by Jason David),0.870,0.330
1,10:29,2,10,CHI 29,0,3,Adrian Peterson right tackle for 9 yards (tackle by Scott Fujita),0.330,0.830
1,9:52,3,1,CHI 38,0,3,Adrian Peterson right guard for 2 yards (tackle by Antwan Lake),0.830,1.600
1,9:17,1,10,CHI 40,0,3,"Penalty on Roberto Garza: False Start, 5 yards (no play)",1.600,1.270
1,8:57,1,15,CHI 35,0,3,Kyle Orton pass complete short left to Bernard Berrian for 18 yards,1.270,2.460
1,8:33,1,10,NOR 47,0,3,"Kyle Orton pass complete short left to Bernard Berrian for 1 yard (tackle by Jason David). Penalty on Jason David: Unnecessary Roughness, 15 yards, Penalty on Will Smith: Unnecessary Roughness (Declined)",2.460,3.510
1,8:12,1,10,NOR 31,0,3,Kyle Orton pass incomplete deep right intended for Bernard Berrian,3.510,2.970
1,8:02,2,10,NOR 31,0,3,Adrian Peterson right end for 7 yards (tackle by Josh Bullocks),2.970,3.200
1,7:13,3,3,NOR 24,0,3,Adrian Peterson right end for 5 yards (tackle by Scott Shanle),3.200,4.310
1,6:32,1,10,NOR 19,0,9,"Kyle Orton pass complete deep middle to Mark Bradley for 19 yards, touchdown",4.310,7.000
1,,,,NOR 2,0,10,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,10,"Robbie Gould kicks off 62 yards, returned by Chris Barclay for 28 yards (tackle by Ricky Manning)",0.000,1.330
1,6:20,1,10,NOR 36,0,10,Pierre Thomas left guard for 10 yards (tackle by Danieal Manning),1.330,1.990
1,5:47,1,10,NOR 46,0,10,Pierre Thomas right guard for 6 yards (tackle by Alex Brown and Brian Urlacher),1.990,2.260
1,5:06,2,4,CHI 48,0,10,Drew Brees pass complete short right to Eric Johnson for 2 yards (tackle by Brandon McGowan),2.260,1.820
1,4:28,3,2,CHI 46,0,10,"Drew Brees pass incomplete. Penalty on Drew Brees: Intentional Grounding, 13 yards",1.820,-0.650
1,4:23,4,15,NOR 41,0,10,Steve Weatherford punts 50 yards,-0.650,0.380
1,4:13,1,10,CHI 9,0,10,Kyle Orton pass incomplete short left intended for Adrian Peterson,-0.380,-0.780
1,4:08,2,10,CHI 9,0,10,Adrian Peterson right end for 2 yards (tackle by Scott Shanle),-0.780,-1.190
1,3:32,3,8,CHI 11,0,10,Kyle Orton pass incomplete deep right intended for Devin Hester (defended by Roman Harper),-1.190,-2.490
1,3:23,4,8,CHI 11,0,10,"Brad Maynard punts 52 yards, returned by Lance Moore for 16 yards (tackle by Garrett Wolfe)",-2.490,-2.460
1,3:11,1,10,CHI 47,0,10,Drew Brees pass incomplete short middle intended for Marques Colston,2.460,1.910
1,3:06,2,10,CHI 47,0,10,Drew Brees pass incomplete deep left intended for Eric Johnson,1.910,1.220
1,3:01,3,10,CHI 47,0,10,Drew Brees pass complete short right to David Patten for 11 yards (tackle by Ricky Manning),1.220,3.180
1,2:21,1,10,CHI 36,0,10,Drew Brees pass incomplete deep left intended for Devery Henderson (defended by Trumaine McBride),3.180,2.640
1,2:17,2,10,CHI 36,0,10,Pierre Thomas right guard for 8 yards (tackle by Danieal Manning),2.640,3.010
1,1:36,3,2,CHI 28,0,10,Drew Brees pass incomplete short middle intended for Billy Miller (defended by Brandon McGowan),3.010,1.700
1,1:30,4,2,CHI 28,0,10,Drew Brees pass incomplete short right intended for Eric Johnson (defended by Adewale Ogunleye),1.700,-0.810
1,1:27,1,10,CHI 28,0,10,"Kyle Orton pass complete short right to Devin Hester for 10 yards (tackle by Jason Craft). Penalty on Devin Hester: Personal Foul, 15 yards",0.810,0.480
1,1:07,1,15,CHI 23,0,10,Garrett Wolfe right end for 10 yards (tackle by Jason Craft),0.480,0.940
1,0:22,2,5,CHI 33,0,10,Kyle Orton pass incomplete short right intended for Greg Olsen (defended by Charles Grant),0.940,0.230
1,0:18,3,5,CHI 33,0,10,Kyle Orton pass incomplete short left intended for Bernard Berrian,0.230,-1.180
1,0:13,4,5,CHI 33,0,10,Brad Maynard punts 34 yards,-1.180,-1.140
Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
