Quarter,Time,Tm,Detail,CIN,NYJ
1.0,7:40,Jets,Quincy Enunwa 3 yard pass from Ryan Fitzpatrick (Nick Folk kick),0,7
,1:29,Bengals,Mike Nugent 33 yard field goal,3,7
2.0,11:23,Bengals,A.J. Green 54 yard pass from Andy Dalton (Mike Nugent kick),10,7
,9:38,Jets,Eric Decker 15 yard pass from Ryan Fitzpatrick (Nick Folk kick failed),10,13
,3:19,Jets,Nick Folk 45 yard field goal,10,16
,0:00,Bengals,Mike Nugent 21 yard field goal,13,16
3.0,3:09,Bengals,Jeremy Hill 12 yard rush (Mike Nugent kick),20,16
4.0,11:26,Jets,Nick Folk 20 yard field goal,20,19
,3:23,Jets,Nick Folk 23 yard field goal,20,22
,0:54,Bengals,Mike Nugent 47 yard field goal,23,22
