Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 63 yards, returned by Justin Miller for 29 yards (tackle by Dominique Barber)",0.000,1.330
1,14:55,1,10,OAK 36,0,0,Justin Fargas right tackle for 4 yards (tackle by Mario Williams),1.330,1.330
1,14:22,2,6,OAK 40,0,0,JaMarcus Russell pass complete deep right to Zach Miller for 21 yards (tackle by DelJuan Robinson),1.330,2.980
1,13:57,1,10,HOU 39,0,0,Justin Fargas left tackle for 1 yard (tackle by Nick Ferguson),2.980,2.580
1,13:22,2,9,HOU 38,0,0,Justin Fargas right end for no gain (tackle by Morlon Greenwood and Amobi Okoye),2.580,1.880
1,12:39,3,9,HOU 38,0,0,JaMarcus Russell pass complete short left to Darren McFadden for 10 yards (tackle by DelJuan Robinson),1.880,3.710
1,11:57,1,10,HOU 28,0,0,Justin Fargas right tackle for 6 yards,3.710,3.980
1,11:20,2,4,HOU 22,0,0,Justin Fargas left tackle for 2 yards,3.980,3.530
1,10:41,3,2,HOU 20,0,6,"JaMarcus Russell pass complete deep right to Chaz Schilens for 20 yards, touchdown",3.530,7.000
1,,,,HOU 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,0,7,"Sebastian Janikowski kicks off 67 yards, returned by Andre' Davis for 26 yards (tackle by Michael Huff)",0.000,0.870
1,10:28,1,10,HOU 29,0,7,Matt Schaub pass complete short left to Owen Daniels for 20 yards (tackle by Chris Johnson),0.870,2.190
1,10:06,1,10,HOU 49,0,7,Matt Schaub pass complete short left to Owen Daniels for 35 yards (tackle by Hiram Eugene),2.190,4.510
1,9:32,1,10,OAK 16,0,7,Kevin Walter left end for 13 yards (tackle by Hiram Eugene),4.510,6.510
1,8:49,1,3,OAK 3,0,7,Matt Schaub pass incomplete short middle intended for Joel Dreessen,6.510,5.530
1,8:44,2,3,OAK 3,0,7,Steve Slaton right guard for 2 yards,5.530,5.170
1,8:06,3,1,OAK 1,6,7,"Vonta Leach up the middle for 1 yard, touchdown",5.170,7.000
1,,,,OAK 2,7,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,7,7,"Kris Brown kicks off 56 yards, returned by Justin Miller for 20 yards (tackle by Chaun Thompson)",0.000,1.200
1,7:55,1,10,OAK 34,7,7,JaMarcus Russell pass complete short right to Darren McFadden for 13 yards (tackle by Morlon Greenwood),1.200,2.060
1,7:16,1,10,OAK 47,7,7,Justin Fargas left tackle for 3 yards (tackle by Anthony Weaver),2.060,1.920
1,6:40,2,7,,7,7,JaMarcus Russell pass complete short middle to Luke Lawton for 3 yards (tackle by Morlon Greenwood),1.920,1.620
1,6:00,3,4,HOU 47,7,7,JaMarcus Russell pass complete short right to Chaz Schilens for 24 yards (tackle by Kevin Bentley),1.620,4.040
1,5:19,1,10,HOU 23,7,7,JaMarcus Russell pass incomplete deep left intended for Johnnie Lee Higgins,4.040,3.500
1,5:09,2,10,HOU 23,7,7,Justin Fargas left end for 9 yards (tackle by Kevin Bentley and DelJuan Robinson),3.500,4.280
1,4:29,3,1,HOU 14,7,7,Darren McFadden left end for -1 yards (tackle by DelJuan Robinson),4.280,2.570
1,3:47,4,2,HOU 15,7,10,Sebastian Janikowski 33 yard field goal good,2.570,3.000
1,,,,OAK 30,7,10,"Sebastian Janikowski kicks onside 14 yards, recovered by Rashad Baker (onside kick successful)",0.000,1.860
1,3:42,1,10,OAK 44,7,10,Justin Fargas right tackle for 7 yards (tackle by Eugene Wilson and Amobi Okoye),1.860,2.260
1,3:08,2,3,HOU 49,7,10,Justin Fargas left guard for -1 yards (tackle by Anthony Weaver),2.260,1.420
1,2:32,3,4,,7,10,JaMarcus Russell pass complete short left to Zach Miller for 8 yards (tackle by Morlon Greenwood),1.420,2.790
1,2:02,1,10,HOU 42,7,10,JaMarcus Russell pass complete deep left to Zach Miller for 22 yards (tackle by Nick Ferguson),2.790,4.240
1,1:18,1,10,HOU 20,7,10,Darren McFadden left end for no gain (tackle by Mario Williams and Travis Johnson),4.240,3.690
1,0:54,2,10,HOU 20,7,10,JaMarcus Russell pass complete short right to Chaz Schilens for 8 yards (tackle by Jacques Reeves),3.690,4.340
1,0:13,3,2,HOU 12,7,10,JaMarcus Russell pass incomplete short right intended for Zach Miller,4.340,2.760
1,0:08,4,2,HOU 12,7,13,Sebastian Janikowski 30 yard field goal good,2.760,3.000
