Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 62 yards, returned by Jerome Ford for 37 yards (tackle by Chase Hansen and Justin Evans)",0.000,1.600
1,14:53,1,10,CLE 40,0,0,Nick Chubb right tackle for no gain (tackle by Kaden Elliss),1.600,1.050
1,14:21,2,10,CLE 40,0,0,Deshaun Watson pass complete short left to Amari Cooper for 2 yards (tackle by Alontae Taylor),1.050,0.630
1,13:43,3,8,CLE 42,0,0,Deshaun Watson pass incomplete short left,0.630,-0.590
1,13:35,4,8,CLE 42,0,0,Corey Bojorquez punts 57 yards downed by D'Anthony Bell,-0.590,0.380
1,13:25,1,10,NOR 1,0,0,Adam Prentice left guard for 3 yards (tackle by Tony Fields),-0.380,-0.560
1,12:50,2,7,NOR 4,0,0,Alvin Kamara right guard for 4 yards (tackle by Grant Delpit),-0.560,-0.600
1,12:09,3,3,NOR 8,0,0,"Andy Dalton for no gain. Andy Dalton fumbles, recovered by Andy Dalton at NO-8 Andy Dalton pass incomplete short right intended for Rashid Shaheed (defended by Denzel Ward)",-0.600,-2.490
1,12:03,4,3,NOR 8,0,0,"Blake Gillikin punts 44 yards, returned by Donovan Peoples-Jones for 3 yards (tackle by Ty Summers)",-2.490,-2.320
1,11:53,1,10,NOR 49,0,0,Nick Chubb left tackle for 2 yards (tackle by Justin Evans and Demario Davis),2.320,2.050
1,11:23,2,8,NOR 47,0,0,Nick Chubb left tackle for 4 yards (tackle by Cameron Jordan and Demario Davis),2.050,1.880
1,10:46,3,4,NOR 43,0,0,Deshaun Watson pass incomplete short right,1.880,0.400
1,10:40,4,4,NOR 43,0,0,"Corey Bojorquez punts 43 yards, touchback.",0.400,-0.280
