Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 65 yards, returned by Pierre Thomas for 22 yards (tackle by Eric Bassey)",0.000,0.740
1,14:56,1,10,NOR 27,0,0,Aaron Stecker right tackle for 13 yards (tackle by Will Witherspoon and O.J. Atogwe),0.740,1.600
1,14:20,1,10,NOR 40,0,0,Drew Brees pass complete short right to Marques Colston for 11 yards (tackle by Tye Hill),1.600,2.320
1,13:35,1,10,STL 49,0,0,Drew Brees pass complete short middle to Reggie Bush for 5 yards (tackle by Will Witherspoon),2.320,2.460
1,13:00,2,5,STL 44,0,0,"Drew Brees pass incomplete deep left intended for Marques Colston. Penalty on James Hall: Defensive Offside (Declined), Penalty on Fakhir Brown: Defensive Pass Interference, 37 yards (no play)",2.460,5.600
1,12:52,1,7,STL 7,0,6,"Reggie Bush right guard for 7 yards, touchdown",5.600,7.000
1,,,,STL 2,0,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,NOR 30,0,7,"Olindo Mare kicks off 58 yards, returned by Travis Minor for 21 yards (tackle by Roman Harper)",0.000,1.140
1,12:39,1,10,STL 33,0,7,Steven Jackson left end for 1 yard (tackle by Antwan Lake),1.140,0.730
1,12:02,2,9,STL 34,0,7,Marc Bulger sacked by Will Smith for -9 yards,0.730,-1.150
1,11:30,3,18,STL 25,0,7,Marc Bulger pass complete short middle to Steven Jackson for 6 yards (tackle by Jason Craft),-1.150,-1.310
1,11:16,4,12,STL 31,0,7,Donnie Jones punts 48 yards (tackle by Eric Bassey),-1.310,-0.870
1,11:03,1,10,NOR 29,0,7,Reggie Bush right guard for 1 yard (tackle by Adam Carriker and Will Witherspoon),0.870,0.460
1,10:21,2,9,NOR 30,0,7,Drew Brees pass incomplete deep left intended for David Patten is intercepted by O.J. Atogwe at STL-36 and returned for 2 yards (tackle by David Patten),0.460,-1.470
1,10:10,1,10,STL 38,0,7,Steven Jackson left guard for 7 yards (tackle by Mark Simoneau and Antwan Lake),1.470,1.870
