Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Todd Peterson kicks off 64 yards, returned by James Thrash for 54 yards (tackle by Brandon T. Moore)",0.000,2.920
1,14:51,1,10,SFO 40,0,0,Donovan McNabb pass incomplete intended for James Thrash is intercepted by Tony Parrish at SFO-18 and returned for 34 yards (tackle by Duce Staley),2.920,-2.390
1,14:39,1,10,PHI 48,0,0,Kevan Barlow right guard for 6 yards (tackle by Brandon Whiting),2.390,2.660
1,14:06,2,4,PHI 42,0,0,"Penalty on Jed Weaver: False Start, 5 yards (no play)",2.660,1.980
1,13:43,2,9,PHI 47,0,0,Jeff Garcia pass complete to Tai Streets for 13 yards (tackle by Lito Sheppard),1.980,3.310
1,13:01,1,10,PHI 34,0,0,Kevan Barlow right guard for 2 yards (tackle by Michael Lewis),3.310,3.040
1,12:20,2,8,PHI 32,0,0,Jeff Garcia pass incomplete intended for Terrell Owens,3.040,2.350
1,12:16,3,8,PHI 32,0,0,Kevan Barlow left tackle for 13 yards (tackle by Bobby Taylor),2.350,4.310
1,11:35,1,10,PHI 19,0,0,Jeff Garcia pass complete to Fred Beasley for 4 yards (tackle by Lito Sheppard),4.310,4.350
1,10:53,2,6,PHI 15,0,0,Kevan Barlow right tackle for 2 yards (tackle by Mark Simoneau),4.350,3.960
1,10:09,3,4,PHI 13,0,0,Jeff Garcia pass incomplete intended for Cedrick Wilson (defended by Bobby Taylor),3.960,2.640
1,10:05,4,4,PHI 13,0,0,"Bill LaFleur for no gain. Bill LaFleur fumbles, recovered by Todd Peterson at PHI-24",2.640,-0.540
1,10:01,1,10,PHI 24,0,0,Jon Ritchie up the middle for 1 yard (tackle by Bryant Young),0.540,0.130
1,9:26,2,9,PHI 25,0,0,"Penalty on Tra Thomas: False Start, 5 yards (no play)",0.130,-0.540
1,9:05,2,14,PHI 20,0,0,Donovan McNabb for 4 yards (tackle by Derek Smith),-0.540,-0.690
1,8:31,3,10,PHI 24,0,0,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Dwaine Carpenter),-0.690,-1.770
1,8:24,4,10,PHI 24,0,0,"Dirk Johnson punts 33 yards, returned by Jimmy Williams for no gain",-1.770,-1.800
1,8:13,1,10,SFO 43,0,0,Jeff Garcia pass incomplete intended for Terrell Owens,1.800,1.250
1,8:08,2,10,SFO 43,0,0,Kevan Barlow left tackle for 17 yards (tackle by Carlos Emmons),1.250,2.920
1,7:32,1,10,PHI 40,0,0,Kevan Barlow right end for 2 yards (tackle by Brandon Whiting),2.920,2.640
1,6:53,2,8,PHI 38,0,0,Jeff Garcia pass complete to Jed Weaver for 23 yards (tackle by Michael Lewis),2.640,4.580
1,6:11,1,10,PHI 15,0,0,Jamal Robertson right tackle for no gain (tackle by Michael Lewis),4.580,3.950
1,5:33,2,10,PHI 15,6,0,"Jeff Garcia pass complete to Kevan Barlow for 15 yards, touchdown",3.950,7.000
1,,,,PHI 2,7,0,Todd Peterson kicks extra point good,0.000,0.000
1,,,,SFO 30,7,0,"Todd Peterson kicks off 71 yards, returned by James Thrash for 27 yards (tackle by Terry Jackson)",0.000,0.670
1,5:17,1,10,PHI 26,7,0,Donovan McNabb left tackle for 1 yard (tackle by Andre Carter),0.670,0.270
1,4:37,2,9,PHI 27,7,0,Duce Staley left tackle for 5 yards (tackle by Derek Smith),0.270,0.230
1,3:55,3,4,PHI 32,7,0,Donovan McNabb pass complete to Brian Westbrook for 8 yards (tackle by Tony Parrish),0.230,1.600
1,3:10,1,10,PHI 40,7,0,"Donovan McNabb pass incomplete intended for Brian Westbrook (defended by Julian Peterson). Penalty on Julian Peterson: Defensive Holding, 5 yards (no play)",1.600,1.930
1,2:59,1,10,PHI 45,7,0,Donovan McNabb pass incomplete intended for James Thrash,1.930,1.380
1,2:54,2,10,PHI 45,7,0,"Donovan McNabb pass incomplete intended for James Thrash (defended by Dwaine Carpenter). Penalty on Dwaine Carpenter: Defensive Pass Interference, 5 yards (no play)",1.380,2.260
1,2:51,1,10,PHI 50,7,0,Donovan McNabb pass complete to Todd Pinkston for 5 yards,2.260,2.390
1,2:13,2,5,SFO 45,7,0,Brian Westbrook right end for 6 yards (tackle by Julian Peterson),2.390,2.980
1,1:31,1,10,SFO 39,7,0,Donovan McNabb pass complete to Duce Staley for 1 yard (tackle by Jeff Ulbrich),2.980,2.580
1,0:52,2,9,SFO 38,7,0,Duce Staley right tackle for no gain (tackle by Tony Parrish),2.580,1.880
1,0:15,3,9,SFO 38,7,0,Donovan McNabb sacked by Chidi Ahanotu for -11 yards,1.880,0.000
Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,20,SFO 49,7,0,"Dirk Johnson punts 39 yards, returned by Jimmy Williams for 17 yards (tackle by Greg Lewis)",0.000,-0.740
2,14:48,1,10,SFO 27,7,0,"Jeff Garcia sacked by Corey Simon for -8 yards. Jeff Garcia fumbles (forced by Corey Simon), recovered by Carlos Emmons at SFO-20 (tackle by Kevan Barlow)",0.740,-4.240
2,14:40,1,10,SFO 20,7,0,Donovan McNabb pass complete to James Thrash for 13 yards (tackle by Mike Rumph),4.240,5.600
2,14:11,1,7,SFO 7,7,6,"Duce Staley left end for 7 yards, touchdown",5.600,7.000
2,,,,SFO 2,7,7,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,7,7,"David Akers kicks off 65 yards, returned by Cedrick Wilson for 26 yards (tackle by Quintin Mikell)",0.000,1.000
