Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Nick Novak kicks off 56 yards, returned by Jerious Norwood for 8 yards (tackle by Kolby Smith)",0.000,0.410
1,14:56,1,10,ATL 22,0,0,Michael Turner left tackle for 1 yard (tackle by Tamba Hali and Turk McBride),0.410,0.000
1,14:23,2,9,ATL 23,0,0,Michael Turner left tackle for no gain (tackle by Glenn Dorsey),0.000,-0.690
1,13:43,3,9,ATL 23,0,0,Matt Ryan pass incomplete short left intended for Michael Jenkins,-0.690,-1.830
1,13:36,4,9,ATL 23,0,0,"Michael Koenen punts 51 yards, returned by B.J. Sams for 10 yards (tackle by Stephen Nicholas)",-1.830,-1.330
1,13:25,1,10,KAN 36,0,0,Tyler Thigpen sacked by John Abraham for -7 yards,1.330,-0.160
1,12:49,2,17,KAN 29,0,0,Larry Johnson right tackle for 4 yards (tackle by Jonathan Babineaux),-0.160,-0.300
1,12:09,3,13,KAN 33,0,0,Tyler Thigpen pass incomplete deep right intended for Devard Darling (defended by Brent Grimes),-0.300,-1.180
1,12:00,4,13,KAN 33,0,0,"Dustin Colquitt punts 57 yards, returned by Adam Jennings for 18 yards (tackle by Erik Walden)",-1.180,-0.810
1,11:47,1,10,ATL 28,0,0,Matt Ryan pass complete short right to Harry Douglas for 4 yards (tackle by Derrick O. Johnson),0.810,0.800
1,11:15,2,6,ATL 32,0,0,Jerious Norwood right end for 2 yards (tackle by Tank Tyler),0.800,0.370
1,10:41,3,4,ATL 34,0,0,Matt Ryan pass incomplete short middle intended for Roddy White,0.370,-1.110
1,10:36,4,4,ATL 34,0,0,"Michael Koenen punts 44 yards, returned by B.J. Sams for -1 yards (tackle by Jason Snelling)",-1.110,-0.340
1,10:27,1,10,KAN 21,0,0,Larry Johnson right tackle for 3 yards (tackle by Curtis Lofton),0.340,0.210
1,9:47,2,7,KAN 24,0,0,Larry Johnson up the middle for no gain (tackle by Curtis Lofton),0.210,-0.490
1,9:09,3,7,KAN 24,0,0,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe (defended by Chris Houston),-0.490,-1.770
1,9:05,4,7,KAN 24,0,0,"Dustin Colquitt punts 57 yards, returned by Adam Jennings for no gain",-1.770,-0.150
1,8:52,1,10,ATL 19,0,0,Michael Turner up the middle for 1 yard (tackle by Glenn Dorsey),0.150,-0.200
1,8:19,2,9,ATL 20,0,0,"Penalty on Tank Tyler: Neutral Zone Infraction, 5 yards (no play)",-0.200,0.480
1,8:07,2,4,ATL 25,0,0,Michael Turner up the middle for no gain (tackle by Donnie Edwards and Pat Thomas),0.480,-0.290
1,7:28,3,4,ATL 25,0,0,Matt Ryan pass incomplete deep left intended for Michael Jenkins,-0.290,-1.700
1,7:22,4,4,ATL 25,0,0,"Michael Koenen punts 47 yards, returned by B.J. Sams for 5 yards (tackle by Adam Jennings)",-1.700,-1.140
1,7:10,1,10,KAN 33,0,0,Tyler Thigpen pass incomplete short left intended for Mike Cox,1.140,0.590
1,7:06,2,10,KAN 33,0,0,Tyler Thigpen pass incomplete short middle intended for Tony Gonzalez (defended by Lawyer Milloy),0.590,-0.100
1,7:01,3,10,KAN 33,0,0,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,-0.100,-1.180
1,6:56,4,10,KAN 33,0,0,"Dustin Colquitt punts 52 yards, returned by Adam Jennings for 16 yards (tackle by Jon McGraw). Penalty on Brent Grimes: Personal Foul, 7 yards",-1.180,0.380
1,6:44,1,10,ATL 8,0,0,Michael Turner left tackle for 38 yards (tackle by Brandon Carr),-0.380,1.990
1,5:54,1,10,ATL 46,0,0,Jerious Norwood right tackle for 11 yards (tackle by Bernard Pollard),1.990,2.720
1,5:13,1,10,KAN 43,0,0,Jerious Norwood right end for 4 yards (tackle by Brandon Carr),2.720,2.720
1,4:34,2,6,KAN 39,0,0,Matt Ryan pass complete short left to Jerious Norwood for 30 yards (tackle by Pat Thomas). Penalty on Turk McBride: Defensive Offside (Declined),2.720,5.140
1,4:09,1,9,KAN 9,0,0,Michael Turner left tackle for 5 yards (tackle by Tamba Hali),5.140,5.340
1,3:26,2,4,KAN 4,0,6,"Michael Turner up the middle for 4 yards, touchdown",5.340,7.000
1,,,,KAN 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Michael Koenen kicks off 62 yards, returned by B.J. Sams for 16 yards (tackle by Curtis Lofton)",0.000,0.540
1,3:15,1,10,KAN 24,0,7,Larry Johnson left tackle for 7 yards (tackle by Lawyer Milloy),0.540,0.940
1,2:33,2,3,KAN 31,0,7,Larry Johnson right tackle for no gain (tackle by Jonathan Babineaux),0.940,0.230
1,1:49,3,3,KAN 31,0,7,Tyler Thigpen pass incomplete short left intended for Jamaal Charles,0.230,-1.310
1,1:43,4,3,KAN 31,0,7,"Dustin Colquitt punts 48 yards, returned by Adam Jennings for 10 yards (tackle by Maurice Leggett)",-1.310,-1.000
1,1:33,1,10,ATL 31,0,7,Harry Douglas right end for -8 yards (tackle by Turk McBride),1.000,-0.620
1,0:56,2,18,ATL 23,0,7,Matt Ryan pass complete short right to Laurent Robinson for 7 yards (tackle by Brandon Carr),-0.620,-0.360
1,0:16,3,11,ATL 30,0,13,"Matt Ryan pass complete deep middle to Roddy White for 70 yards, touchdown",-0.360,7.000
1,,,,KAN 2,0,14,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,0,14,"Michael Koenen kicks off 60 yards, returned by B.J. Sams for 12 yards (tackle by Stephen Nicholas)",0.000,0.410
Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 22,0,14,Larry Johnson up the middle for no gain (tackle by Grady Jackson),0.410,-0.130
2,14:22,2,10,KAN 22,0,14,Tyler Thigpen pass incomplete short middle intended for Jamaal Charles,-0.130,-0.820
2,14:18,3,10,KAN 22,0,14,Tyler Thigpen pass complete short left to Jamaal Charles for -1 yards (tackle by Jonathan Babineaux),-0.820,-1.960
2,13:43,4,11,KAN 21,0,14,"Dustin Colquitt punts 50 yards, returned by Adam Jennings for 9 yards (tackle by Jean-Phillipe Darche)",-1.960,-1.470
