Quarter,Time,Tm,Detail,CIN,ARI
1.0,0:22,Bengals,Tyler Eifert 3 yard pass from Andy Dalton (Mike Nugent kick),7,0
2.0,9:44,Cardinals,Darren Fells 18 yard pass from Carson Palmer (Chandler Catanzaro kick),7,7
,1:07,Bengals,Jeremy Hill 2 yard rush (Mike Nugent kick),14,7
3.0,11:21,Cardinals,JJ Nelson 64 yard pass from Carson Palmer (Chandler Catanzaro kick),14,14
,5:32,Cardinals,John Brown 18 yard pass from Carson Palmer (Chandler Catanzaro kick),14,21
,1:26,Cardinals,David Johnson 16 yard pass from Carson Palmer (Chandler Catanzaro kick),14,28
4.0,11:26,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),21,28
,6:27,Cardinals,Chandler Catanzaro 24 yard field goal,21,31
,3:44,Bengals,Tyler Eifert 10 yard pass from Andy Dalton (Mike Nugent kick),28,31
,1:03,Bengals,Mike Nugent 43 yard field goal,31,31
,0:02,Cardinals,Chandler Catanzaro 32 yard field goal,31,34
