Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Mark Ingram right guard for 3 yards (tackle by Kawann Short),0.280,0.140
1,14:28,2,7,NOR 23,0,0,Mark Ingram left tackle for 19 yards (tackle by Tre Boston),0.140,1.730
1,13:59,1,10,NOR 42,0,0,Mark Ingram up the middle for no gain (tackle by Luke Kuechly and Charles Johnson),1.730,1.190
1,13:25,2,10,NOR 42,0,0,Drew Brees pass complete deep right to Brandin Cooks for 18 yards (tackle by Tre Boston and Luke Kuechly),1.190,2.920
1,12:50,1,10,CAR 40,0,0,Drew Brees pass complete short right to Brandin Cooks for 5 yards (tackle by Thomas Davis and Luke Kuechly),2.920,3.050
1,12:15,2,5,CAR 35,0,0,Drew Brees pass complete short right to Jimmy Graham for 18 yards (tackle by Josh Norman),3.050,4.440
1,11:35,1,10,CAR 17,0,0,Mark Ingram right tackle for no gain (tackle by Thomas Davis),4.440,3.850
1,11:00,2,10,CAR 17,0,0,Mark Ingram right tackle for 4 yards (tackle by Thomas Davis and Tre Boston),3.850,3.680
1,10:21,3,6,CAR 13,0,0,Drew Brees pass incomplete short right intended for Kenny Stills is intercepted by Dwan Edwards at CAR-3 and returned for 24 yards,3.680,-0.740
1,10:10,1,10,CAR 27,0,0,Cam Newton pass incomplete deep middle intended for Kelvin Benjamin,0.740,0.200
1,10:03,2,10,CAR 27,0,0,DeAngelo Williams left tackle for 2 yards (tackle by Cameron Jordan),0.200,-0.230
1,9:25,3,8,CAR 29,0,0,Cam Newton left end for 8 yards (tackle by Curtis Lofton and Vinnie Sunseri),-0.230,1.400
1,8:48,1,10,CAR 37,0,0,Jonathan Stewart up the middle for 12 yards (tackle by Rafael Bush),1.400,2.190
1,8:14,1,10,CAR 49,0,0,Cam Newton pass complete short left to Greg Olsen for 11 yards (tackle by Corey White),2.190,2.920
1,7:45,1,10,NOR 40,0,0,Cam Newton left tackle for 1 yard (tackle by Kenny Vaccaro),2.920,2.510
