Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,Michael Koenen kicks off 56 yards,0.000,1.600
1,15:00,1,10,CHI 40,0,0,Matt Forte up the middle for 1 yard (tackle by Adrian Clayborn),1.600,1.190
1,14:21,2,9,CHI 41,0,0,Jay Cutler pass complete short right to Matt Forte for 2 yards (tackle by Geno Hayes and Sean Jones),1.190,0.760
1,13:37,3,7,CHI 43,0,0,Jay Cutler pass incomplete deep left intended for Johnny Knox,0.760,-0.520
1,13:27,4,7,CHI 43,0,0,"Adam Podlesh punts 44 yards, returned by Preston Parker for 2 yards (tackle by Dom DeCicco)",-0.520,0.220
1,13:15,1,10,TAM 15,0,0,Earnest Graham left guard for 9 yards (tackle by Nick Roach),-0.220,0.620
1,12:39,2,1,TAM 24,0,0,Josh Freeman pass incomplete deep left intended for Arrelious Benn (defended by Brian Urlacher). Penalty on Demar Dotson: Illegal Formation (Declined),0.620,-0.270
1,12:33,3,1,TAM 24,0,0,Kregg Lumpkin right end for 5 yards (tackle by Tim Jennings),-0.270,0.870
1,11:49,1,10,TAM 29,0,0,Josh Freeman pass incomplete short middle intended for Dezmon Briscoe,0.870,0.330
1,11:44,2,10,TAM 29,0,0,Earnest Graham left guard for 4 yards (tackle by Israel Idonije and Brian Urlacher),0.330,0.170
1,11:01,3,6,TAM 33,0,0,Josh Freeman pass incomplete deep right intended for Kellen Winslow Jr.,0.170,-1.180
1,10:55,4,6,TAM 33,0,0,"Michael Koenen punts 52 yards, returned by Devin Hester for 4 yards (tackle by Corey Lynch)",-1.180,-0.150
1,10:44,1,10,CHI 19,0,0,Matt Forte left end for 4 yards (tackle by Tanard Jackson),0.150,0.210
1,10:08,2,6,CHI 23,0,0,Matt Forte left end for 22 yards (tackle by Sean Jones),0.210,1.930
1,9:37,1,10,CHI 45,0,0,"Jay Cutler pass incomplete short left intended for Roy E. Williams (defended by Ronde Barber). Penalty on Ronde Barber: Defensive Pass Interference, 14 yards (no play)",1.930,2.850
1,9:30,1,10,TAM 41,0,0,Jay Cutler pass complete short right to Devin Hester for 9 yards (tackle by Aqib Talib),2.850,3.520
1,8:53,2,1,TAM 32,6,0,"Matt Forte right end for 32 yards, touchdown",3.520,7.000
1,,,,TAM 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 35,7,0,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,8:42,1,10,TAM 20,7,0,Josh Freeman pass complete short left to Earnest Graham for -2 yards (tackle by Nick Roach),0.280,-0.630
1,8:05,2,12,TAM 18,7,0,Kregg Lumpkin up the middle for no gain (tackle by Israel Idonije),-0.630,-1.330
1,7:29,3,12,TAM 18,7,0,Josh Freeman pass complete short right to Preston Parker for 11 yards (tackle by Brian Urlacher),-1.330,-1.440
1,6:53,4,1,TAM 29,7,0,"Michael Koenen punts 58 yards, returned by Devin Hester for 18 yards (tackle by Dekoda Watson)",-1.440,-1.000
1,6:41,1,10,CHI 31,7,0,Matt Forte left end for 6 yards (tackle by Brian Price),1.000,1.270
1,6:02,2,4,CHI 37,7,0,Matt Forte left end for 15 yards (tackle by Sean Jones),1.270,2.390
1,5:17,1,10,TAM 48,7,0,Jay Cutler pass incomplete short middle intended for Roy E. Williams,2.390,1.850
1,5:12,2,10,TAM 48,7,0,Jay Cutler pass incomplete short right intended for Marion Barber is intercepted by Tanard Jackson at TAM-45 and returned for 43 yards (tackle by Marion Barber),1.850,-4.780
1,5:01,1,10,CHI 12,7,0,Josh Freeman pass incomplete short middle intended for Mike Williams is intercepted by Chris Conte at CHI-2,4.780,0.380
1,4:54,1,10,CHI 2,7,2,"Matt Forte for -2 yards, safety",-0.380,-2.000
1,,,,CHI 20,7,2,"Adam Podlesh kicks off 50 yards, returned by Preston Parker for 10 yards (tackle by Dom DeCicco)",0.000,1.600
1,4:44,1,10,TAM 40,7,2,Kregg Lumpkin right guard for 3 yards (tackle by Henry Melton),1.600,1.460
1,4:03,2,7,TAM 43,7,2,Josh Freeman pass complete short right to Luke Stocker for 10 yards (tackle by Chris Harris),1.460,2.460
1,3:26,1,10,CHI 47,7,2,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",2.460,2.130
1,3:03,1,15,TAM 48,7,2,Josh Freeman pass complete short left to Luke Stocker for 4 yards (tackle by Charles Tillman),2.130,1.780
1,2:24,2,11,CHI 48,7,2,"Kregg Lumpkin left guard for 12 yards (tackle by Tim Jennings and Chris Conte). Penalty on Jeremy Zuttah: Offensive Holding, 10 yards (no play)",1.780,0.430
1,2:06,2,21,TAM 42,7,2,"Penalty on Amobi Okoye: Neutral Zone Infraction, 5 yards (no play)",0.430,1.100
1,1:41,2,16,TAM 47,7,2,"Josh Freeman pass complete short left to Kregg Lumpkin for 2 yards (tackle by Brian Urlacher). Penalty on Jeremy Trueblood: Illegal Use of Hands, 10 yards (no play)",1.100,-0.250
1,1:14,2,26,TAM 37,7,2,"Josh Freeman pass incomplete short left intended for Preston Parker. Penalty on Amobi Okoye: Defensive Offside, 5 yards (no play)",-0.250,0.430
1,1:10,2,21,TAM 42,7,2,Josh Freeman pass incomplete short right intended for Dezmon Briscoe (defended by Chris Harris),0.430,-0.230
1,1:04,3,21,TAM 42,7,2,Josh Freeman pass complete short right to Kregg Lumpkin for 9 yards (tackle by Brian Urlacher),-0.230,0.000
1,0:35,4,12,CHI 49,7,2,Michael Koenen punts 45 yards,0.000,0.380
1,0:24,1,10,CHI 4,7,2,Jay Cutler pass complete short right to Tyler Clutts for 9 yards (tackle by Quincy Black),-0.380,-0.120
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,CHI 13,7,2,Matt Forte right guard for 1 yard (tackle by Adam Hayward),-0.120,-0.280
2,14:25,1,10,CHI 14,7,2,Matt Forte right tackle for 5 yards (tackle by Adam Hayward and Quincy Black),-0.280,-0.040
2,13:47,2,5,CHI 19,7,2,Matt Forte right tackle for 1 yard (tackle by Geno Hayes),-0.040,-0.680
2,13:10,3,4,CHI 20,7,2,Jay Cutler pass incomplete short left intended for Devin Hester (defended by Ronde Barber),-0.680,-2.030
2,13:06,4,4,CHI 20,7,2,Adam Podlesh punts 45 yards,-2.030,-1.270
2,12:56,1,10,TAM 35,7,2,Kregg Lumpkin left guard for -1 yards (tackle by Anthony Adams),1.270,0.590
2,12:17,2,11,TAM 34,7,2,Josh Freeman pass incomplete short middle intended for Kellen Winslow Jr. (defended by Lance Briggs),0.590,-0.100
