Quarter,Time,Tm,Detail,NYJ,CIN
1.0,9:59,Bengals,Marvin Jones 9 yard pass from Andy Dalton (Mike Nugent kick),0,7
,4:21,Bengals,Jermaine Gresham 4 yard pass from Andy Dalton (Mike Nugent kick),0,14
2.0,9:09,Jets,Nick Folk 45 yard field goal,3,14
,6:13,Bengals,Marvin Jones 6 yard pass from Andy Dalton (Mike Nugent kick),3,21
,1:08,Jets,Nick Folk 47 yard field goal,6,21
,0:16,Bengals,Marvin Jones 14 yard pass from Andy Dalton (Mike Nugent kick),6,28
3.0,14:45,Bengals,Chris Crocker 32 yard interception return (Mike Nugent kick),6,35
,4:49,Jets,Nick Folk 50 yard field goal,9,35
,1:13,Bengals,Marvin Jones 6 yard pass from Andy Dalton (Mike Nugent kick),9,42
4.0,13:09,Bengals,Adam Jones 60 yard interception return (Mike Nugent kick),9,49
