Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 60 yards, returned by Maurice Hicks for 27 yards (tackle by Adam Hayward)",0.000,1.400
1,14:53,1,10,SFO 37,0,0,Frank Gore right tackle for 5 yards (tackle by Phillip Buchanon and Jovan Haye),1.400,1.530
1,14:16,2,5,SFO 42,0,0,Shaun Hill sacked by Jovan Haye for -4 yards,1.530,0.300
1,13:32,3,9,SFO 38,0,0,Shaun Hill pass incomplete short right intended for Arnaz Battle,0.300,-0.850
1,13:27,4,9,SFO 38,0,0,"Andy Lee punts 47 yards, returned by Phillip Buchanon for 5 yards (tackle by Tarell Brown)",-0.850,-0.280
1,13:17,1,10,TAM 20,0,0,Jeff Garcia pass complete short left to Alex Smith for 11 yards (tackle by Mark Roman),0.280,1.000
1,13:02,1,10,TAM 31,0,0,Jeff Garcia pass complete short middle to Alex Smith for -4 yards (tackle by Derek Smith),1.000,-0.080
1,12:12,,,,0,0,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.080
1,12:12,2,14,TAM 27,0,0,Earnest Graham up the middle for 10 yards (tackle by Walt Harris),-0.080,0.560
1,11:34,3,4,TAM 37,0,0,Jeff Garcia pass complete short middle to Ike Hilliard for 26 yards (tackle by Mark Roman),0.560,3.120
1,10:56,1,10,SFO 37,0,0,Earnest Graham up the middle for 4 yards (tackle by Tully Banta-Cain),3.120,3.110
1,10:15,2,6,SFO 33,0,0,Jeff Garcia pass complete short left to Alex Smith for 10 yards (tackle by Patrick Willis),3.110,4.040
1,9:35,1,10,SFO 23,0,0,Earnest Graham up the middle for 1 yard (tackle by Aubrayo Franklin),4.040,3.630
1,9:02,2,9,SFO 22,0,0,Jeff Garcia pass incomplete short left intended for Alex Smith,3.630,2.940
1,8:54,3,9,SFO 22,0,0,Jeff Garcia pass complete short left to Earnest Graham for 6 yards (tackle by Patrick Willis),2.940,2.480
1,8:54,4,3,SFO 16,3,0,Matt Bryant 34 yard field goal good,2.480,3.000
1,,,,TAM 30,3,0,"Matt Bryant kicks off 61 yards, returned by Maurice Hicks for 15 yards (tackle by Byron Storer)",0.000,0.540
1,8:02,1,10,SFO 24,3,0,Shaun Hill up the middle for 1 yard (tackle by Derrick Brooks),0.540,0.130
1,7:17,2,9,SFO 25,3,0,Frank Gore left tackle for 3 yards (tackle by Jovan Haye),0.130,-0.160
1,6:40,3,6,SFO 28,3,0,Shaun Hill pass incomplete short middle intended for Vernon Davis,-0.160,-1.500
1,6:33,4,6,SFO 28,3,0,Andy Lee punts 33 yards,-1.500,-1.530
1,6:24,1,10,TAM 39,3,0,Jeff Garcia sacked by Patrick Willis for 0 yards,1.530,0.990
1,5:58,,,,3,0,Timeout #1 by San Francisco 49ers,0.000,0.990
1,5:58,2,10,TAM 39,3,0,Jeff Garcia pass complete deep left to Michael Clayton for 25 yards (tackle by Walt Harris),0.990,3.180
1,5:32,1,10,SFO 36,3,0,Jeff Garcia pass complete short left to Earnest Graham for 5 yards (tackle by Tully Banta-Cain),3.180,3.310
1,5:01,2,5,SFO 31,3,0,"Penalty on John Wade: False Start, 5 yards (no play)",3.310,2.640
